Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,20,UTA,NBA,SG,59,0,15.9,2.6,6.1,.429,0.3,0.8,.333,2.3,5.3,.442,.450,1.8,2.4,.727,1.0,1.3,2.2,0.9,0.5,0.1,0.9,1.4,7.2
2012-13,21,UTA,NBA,SG,64,0,17.8,2.5,6.1,.420,0.5,1.4,.359,2.0,4.6,.439,.463,1.4,2.0,.713,0.6,1.7,2.3,1.4,0.5,0.2,1.2,1.8,7.0
2013-14,22,UTA,NBA,SG,78,12,28.1,4.9,10.7,.457,0.6,1.8,.350,4.2,8.8,.480,.487,3.6,4.8,.748,0.8,2.5,3.3,2.7,0.9,0.2,1.9,2.4,14.0
2014-15,23,UTA,NBA,SG,27,27,33.3,4.5,11.1,.403,1.0,2.5,.382,3.5,8.6,.409,.447,3.9,4.8,.822,0.7,3.5,4.2,3.0,0.6,0.2,1.9,2.4,13.9
2015-16,24,UTA,NBA,SG,31,3,25.7,4.4,10.8,.410,1.0,2.5,.405,3.4,8.2,.412,.458,3.4,4.5,.752,0.5,3.0,3.5,2.0,0.6,0.1,1.6,2.3,13.3
2016-17,25,UTA,NBA,SG,42,0,15.5,2.4,5.9,.399,0.6,1.8,.329,1.8,4.1,.430,.450,1.4,1.9,.769,0.4,2.5,2.9,0.7,0.4,0.1,0.8,1.2,6.7
2017-18,26,UTA,NBA,SG,64,1,16.5,2.7,6.5,.411,0.7,2.2,.331,1.9,4.3,.452,.467,1.7,1.9,.863,0.3,2.7,3.0,1.0,0.6,0.1,0.9,1.2,7.7
2018-19,27,TOT,NBA,SG,64,24,21.5,3.0,7.4,.405,1.0,2.6,.363,2.0,4.8,.428,.469,1.8,2.2,.823,0.5,3.2,3.7,2.0,0.6,0.3,1.0,1.4,8.8
2019-20,28,TOT,NBA,"SF,SG",66,19,26.6,4.9,11.6,.418,1.8,4.6,.385,3.1,7.1,.439,.493,3.6,4.0,.887,0.7,3.5,4.3,2.9,0.9,0.3,1.4,1.9,15.0
2020-21,29,NYK,NBA,SG,49,5,25.6,4.3,10.2,.420,2.1,5.0,.415,2.2,5.2,.425,.522,2.1,2.4,.856,0.4,4.2,4.6,2.2,0.6,0.3,1.0,2.1,12.7
2021-22,30,NYK,NBA,SG,81,44,28.6,3.5,9.0,.391,1.9,4.8,.404,1.6,4.2,.378,.499,2.7,3.3,.822,0.6,4.3,4.9,3.0,1.0,0.3,1.1,2.7,11.7
2022-23,31,DET,NBA,SG,19,0,21.1,4.3,9.5,.448,1.8,4.6,.402,2.4,4.9,.489,.544,3.4,4.4,.783,0.3,2.7,3.0,1.8,0.8,0.1,1.1,2.5,13.8
