Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,18,DET,NBA,SF,3,0,13.0,2.3,3.3,.700,0.7,1.0,.667,1.7,2.3,.714,.800,1.3,1.3,1.000,1.0,0.3,1.3,1.0,0.0,0.7,1.3,2.3,6.7
2006-07,19,DET,NBA,PF,8,0,15.5,2.3,4.1,.545,0.0,0.4,.000,2.3,3.8,.600,.545,1.4,1.8,.786,1.9,2.8,4.6,0.4,0.6,1.6,1.1,2.4,5.9
2007-08,20,DET,NBA,PF,62,0,12.3,1.5,2.7,.558,0.0,0.0,,1.5,2.7,.558,.558,0.6,0.9,.673,1.4,2.4,3.8,0.5,0.4,1.3,0.6,2.3,3.6
2008-09,21,DET,NBA,PF,62,24,14.7,1.6,2.6,.595,0.0,0.0,,1.6,2.6,.595,.595,0.4,0.6,.657,1.6,2.1,3.7,0.3,0.3,1.0,0.5,2.8,3.5
2009-10,22,TOR,NBA,PF,82,5,17.7,2.5,4.1,.623,0.0,0.0,.000,2.5,4.0,.630,.623,1.2,1.8,.638,1.9,2.9,4.8,0.6,0.5,0.8,0.8,3.1,6.2
2010-11,23,TOR,NBA,PF,72,54,25.7,3.9,6.9,.568,0.0,0.0,.000,3.9,6.9,.569,.568,1.8,2.2,.788,2.6,3.8,6.4,1.1,0.7,1.2,1.0,3.7,9.6
2011-12,24,TOR,NBA,PF,64,43,24.3,3.1,5.3,.576,0.0,0.1,.400,3.0,5.2,.579,.579,0.9,1.3,.690,2.3,4.0,6.4,1.2,0.5,1.1,1.5,3.3,7.1
2012-13,25,TOR,NBA,PF,81,38,28.7,4.1,7.5,.554,0.1,0.2,.385,4.1,7.3,.558,.559,1.7,2.3,.727,2.8,4.7,7.5,1.5,1.0,1.4,1.4,3.7,10.0
2013-14,26,TOR,NBA,PF,77,72,28.8,4.5,7.9,.562,0.3,0.9,.303,4.2,7.1,.593,.578,1.2,1.9,.636,2.2,4.3,6.6,1.5,0.7,1.1,1.6,3.5,10.4
2014-15,27,TOR,NBA,PF,75,72,26.4,4.0,6.9,.574,0.3,0.6,.413,3.7,6.3,.590,.592,1.1,1.7,.612,2.1,4.0,6.1,1.6,0.6,0.8,1.5,3.0,9.3
2015-16,28,BOS,NBA,PF,79,76,22.8,3.2,5.4,.585,0.1,0.5,.233,3.0,4.8,.624,.596,0.9,1.5,.570,2.3,4.1,6.4,1.7,0.7,1.1,1.2,2.7,7.3
2016-17,29,BOS,NBA,PF,80,77,20.1,2.7,4.6,.576,0.3,0.8,.409,2.3,3.8,.612,.612,0.8,1.3,.670,1.5,3.1,4.6,1.8,0.6,0.8,1.0,2.6,6.5
2017-18,30,PHI,NBA,C,74,18,15.8,1.9,3.5,.538,0.1,0.4,.313,1.8,3.1,.570,.558,0.7,1.1,.612,1.7,2.8,4.5,1.6,0.6,0.6,0.7,2.6,4.6
2018-19,31,PHI,NBA,C,51,6,10.4,1.5,3.1,.503,0.2,0.8,.300,1.3,2.3,.573,.541,0.6,0.8,.756,0.9,2.0,2.9,1.2,0.3,0.3,0.9,1.9,3.9
