Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,21,TOR,NBA,PF,81,36,29.1,5.4,11.6,.463,0.9,2.6,.327,4.5,9.0,.503,.500,1.4,2.0,.706,2.2,4.2,6.4,1.1,0.7,0.8,1.2,3.0,13.0
2006-07,22,MIL,NBA,PF,39,17,25.2,4.6,9.8,.470,0.7,2.2,.337,3.9,7.6,.508,.508,1.9,2.3,.820,1.6,4.3,5.8,0.9,0.6,0.3,1.4,2.8,11.8
2007-08,23,MIL,NBA,PF,76,31,24.1,4.7,10.7,.435,0.7,2.4,.297,3.9,8.3,.475,.469,1.6,2.1,.783,1.9,4.2,6.1,1.0,0.4,0.5,1.4,2.3,11.7
2008-09,24,MIL,NBA,PF,78,47,26.9,6.2,14.0,.447,1.1,3.3,.345,5.1,10.7,.479,.488,2.6,3.1,.838,2.0,4.7,6.7,1.8,0.6,0.7,1.8,3.3,16.2
2009-10,25,DET,NBA,PF,78,16,23.7,4.7,10.6,.439,1.3,3.6,.351,3.4,7.0,.484,.499,1.4,1.7,.815,1.1,3.6,4.7,0.7,0.6,0.7,0.9,2.9,11.9
2010-11,26,DET,NBA,PF,76,11,21.9,4.1,9.3,.442,1.6,4.3,.387,2.5,5.1,.488,.530,1.2,1.5,.767,0.7,3.2,3.9,0.6,0.6,0.6,0.9,2.3,11.1
2011-12,27,DET,NBA,PF,13,0,13.8,2.7,7.0,.385,1.2,3.5,.333,1.5,3.5,.435,.467,0.5,0.5,.857,0.7,3.0,3.7,0.5,0.5,0.4,0.5,1.9,7.0
2012-13,28,DET,NBA,PF,69,0,15.8,2.5,6.7,.377,1.3,3.8,.347,1.2,3.0,.415,.474,0.4,0.7,.551,0.7,2.8,3.5,0.8,0.4,0.6,0.6,1.4,6.8
2013-14,29,DET,NBA,PF,20,0,9.0,1.8,4.6,.380,0.7,2.8,.250,1.1,1.8,.583,.457,0.4,0.7,.571,0.3,1.4,1.7,0.3,0.2,0.3,0.4,0.8,4.6
2014-15,30,DAL,NBA,PF,64,1,10.6,2.3,5.7,.414,1.3,3.5,.376,1.0,2.2,.475,.529,0.3,0.5,.571,0.5,1.9,2.3,0.3,0.2,0.3,0.4,1.0,6.3
2015-16,31,DAL,NBA,PF,62,4,10.7,2.0,5.3,.382,0.8,2.8,.273,1.3,2.5,.503,.454,0.4,0.4,.917,0.4,2.1,2.5,0.4,0.3,0.2,0.5,1.1,5.1
