Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,21,MIN,NBA,SF,79,35,22.8,2.3,6.2,.374,0.1,0.5,.194,2.2,5.7,.389,.382,1.1,1.4,.800,1.0,2.7,3.7,1.4,1.0,0.3,1.1,2.4,5.8
2008-09,22,MIN,NBA,SF,15,8,20.5,2.5,6.0,.411,0.3,0.8,.417,2.1,5.2,.410,.439,0.9,1.3,.737,1.2,2.1,3.3,1.7,1.0,0.2,0.9,2.5,6.2
2009-10,23,MIN,NBA,SG,82,82,30.3,5.0,11.6,.431,1.0,2.9,.346,4.0,8.7,.459,.474,2.0,3.1,.648,0.9,2.5,3.4,2.4,1.4,0.4,2.0,2.7,13.0
2010-11,24,TOT,NBA,"SF,SG",69,24,21.9,2.8,7.1,.395,0.4,1.6,.268,2.4,5.4,.434,.426,2.0,2.8,.708,0.8,1.7,2.5,1.3,1.4,0.2,1.3,2.3,8.0
2011-12,25,DEN,NBA,SF,59,17,21.8,3.4,7.8,.434,0.6,2.2,.260,2.8,5.7,.500,.470,1.5,2.2,.692,0.7,1.8,2.5,1.5,1.2,0.3,0.9,1.9,8.9
2012-13,26,DEN,NBA,SF,82,2,24.4,4.6,10.8,.425,1.1,3.7,.296,3.5,7.0,.493,.476,1.8,2.6,.690,0.7,2.2,2.9,1.5,1.4,0.3,1.2,1.9,12.1
2013-14,27,MIN,NBA,SF,81,81,32.2,4.8,10.0,.481,0.7,2.6,.280,4.1,7.4,.552,.517,2.0,2.8,.718,0.8,1.8,2.6,1.7,1.9,0.4,1.3,2.6,12.3
2014-15,28,TOT,NBA,SF,80,17,26.1,4.3,10.1,.426,0.8,2.9,.268,3.5,7.1,.491,.465,2.1,2.8,.743,1.0,2.7,3.7,2.2,1.4,0.2,1.6,2.2,11.5
2015-16,29,HOU,NBA,SF,82,12,20.4,2.6,6.7,.384,0.7,2.7,.272,1.8,4.0,.460,.439,1.3,1.7,.750,0.5,1.9,2.4,1.3,1.0,0.2,1.0,2.0,7.2
2016-17,30,TOT,NBA,SF,82,11,15.6,1.8,4.2,.422,0.3,1.4,.229,1.5,2.8,.522,.461,0.6,0.8,.735,0.4,1.6,2.0,1.2,0.7,0.2,0.7,1.6,4.5
2017-18,31,TOT,NBA,"SF,SG",72,18,16.8,2.0,4.4,.449,0.4,1.5,.282,1.5,2.9,.539,.498,0.9,1.3,.722,0.6,1.5,2.1,0.9,1.1,0.2,0.7,1.9,5.3
2018-19,32,TOT,NBA,SF,31,3,15.9,1.7,4.0,.431,0.5,1.4,.318,1.3,2.5,.494,.488,1.0,1.4,.721,0.8,1.6,2.5,1.3,1.0,0.2,0.6,2.0,4.9
2019-20,33,SAC,NBA,PF,5,0,6.6,0.4,0.8,.500,0.0,0.2,.000,0.4,0.6,.667,.500,0.2,0.6,.333,0.4,1.2,1.6,0.4,0.8,0.0,0.4,1.4,1.0
