Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,22,POR,NBA,PF,63,2,11.2,1.7,3.4,.495,0.0,0.0,.000,1.7,3.4,.500,.495,0.5,0.8,.646,0.9,1.7,2.5,0.2,0.4,0.3,0.2,1.5,3.9
2010-11,23,TOT,NBA,PF,78,18,21.0,2.8,6.1,.462,0.0,0.2,.077,2.8,5.9,.473,.463,0.6,0.8,.726,1.2,2.3,3.6,0.6,0.7,0.6,0.7,2.3,6.2
2011-12,24,MEM,NBA,PF,64,5,17.6,2.3,4.4,.516,0.0,0.0,.000,2.3,4.3,.520,.516,0.7,1.1,.652,1.4,2.4,3.8,0.6,0.7,0.5,0.5,1.5,5.2
2012-13,25,MIN,NBA,PF,80,9,25.1,3.9,8.4,.468,0.0,0.1,.000,3.9,8.3,.472,.468,0.8,1.3,.650,1.8,3.3,5.1,0.8,1.1,0.5,0.7,1.9,8.7
2013-14,26,MIN,NBA,PF,81,7,20.2,2.9,6.3,.464,0.0,0.1,.000,2.9,6.2,.468,.464,0.5,0.8,.567,1.4,2.7,4.1,1.0,0.8,0.7,0.5,1.8,6.3
2014-15,27,NOP,NBA,PF,66,27,25.0,2.3,5.1,.457,0.0,0.2,.100,2.3,5.0,.468,.459,0.4,0.7,.617,1.1,2.8,3.9,0.8,0.7,0.6,0.5,1.5,5.2
2015-16,28,NOP,NBA,SF,80,46,24.6,2.3,5.2,.451,0.7,2.2,.316,1.6,3.0,.550,.518,0.7,1.0,.695,0.7,2.2,3.0,1.0,0.5,0.4,0.5,2.2,6.1
2016-17,29,NOP,NBA,PF,66,35,25.0,2.6,5.4,.485,1.1,2.7,.392,1.6,2.7,.579,.584,0.2,0.4,.593,0.8,3.3,4.2,0.6,0.6,0.4,0.4,1.5,6.6
2017-18,30,TOT,NBA,SF,73,25,21.4,2.2,5.0,.451,0.8,2.3,.345,1.5,2.7,.541,.530,0.4,0.7,.596,1.1,3.0,4.1,0.7,0.5,0.4,0.5,1.5,5.7
2018-19,31,SAS,NBA,PF,64,21,14.5,1.2,2.5,.475,0.5,1.0,.462,0.7,1.5,.484,.570,0.2,0.3,.778,0.8,2.2,2.9,0.8,0.4,0.2,0.3,1.1,3.0
