Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,20,TOR,NBA,SG,77,65,21.6,3.3,6.6,.498,0.1,0.2,.250,3.3,6.4,.506,.502,1.9,2.5,.763,0.9,2.0,2.9,0.7,0.6,0.2,0.8,2.3,8.6
2010-11,21,TOR,NBA,SG,82,82,34.8,6.6,14.1,.467,0.1,0.6,.096,6.5,13.4,.485,.469,4.0,4.9,.813,0.9,2.9,3.8,1.8,1.0,0.4,1.8,2.6,17.2
2011-12,22,TOR,NBA,SG,63,63,35.0,6.0,14.3,.422,0.4,1.5,.261,5.7,12.9,.440,.435,4.3,5.3,.810,0.6,2.7,3.3,2.0,0.8,0.3,2.0,2.6,16.7
2012-13,23,TOR,NBA,SG,82,82,36.7,6.7,15.0,.445,0.4,1.5,.283,6.3,13.5,.463,.459,4.3,5.2,.831,0.6,3.3,3.9,2.5,0.9,0.3,1.8,2.1,18.1
2013-14,24,TOR,NBA,SG,79,79,38.2,7.6,17.8,.429,0.8,2.7,.305,6.8,15.2,.451,.452,6.6,8.0,.824,0.6,3.7,4.3,4.0,1.1,0.4,2.2,2.5,22.7
2014-15,25,TOR,NBA,SG,60,60,35.0,6.8,16.5,.413,0.4,1.5,.284,6.4,15.0,.426,.426,6.0,7.2,.832,0.7,3.9,4.6,3.5,1.2,0.2,2.3,2.0,20.1
2015-16,26,TOR,NBA,SG,78,78,35.9,7.9,17.7,.446,0.6,1.8,.338,7.3,15.9,.458,.463,7.1,8.4,.850,0.8,3.7,4.5,4.0,1.0,0.3,2.2,2.1,23.5
2016-17,27,TOR,NBA,SG,74,74,35.4,9.7,20.9,.467,0.4,1.7,.266,9.3,19.2,.484,.477,7.4,8.7,.842,0.9,4.3,5.2,3.9,1.1,0.2,2.4,1.8,27.3
2017-18,28,TOR,NBA,SG,80,80,33.9,8.1,17.7,.456,1.1,3.6,.310,7.0,14.1,.494,.488,5.8,7.0,.825,0.7,3.2,3.9,5.2,1.1,0.3,2.2,1.9,23.0
2018-19,29,SAS,NBA,SG,77,77,34.9,8.2,17.1,.481,0.1,0.6,.156,8.1,16.5,.492,.483,4.8,5.7,.830,0.7,5.3,6.0,6.2,1.1,0.5,2.6,2.3,21.2
2019-20,30,SAS,NBA,SF,68,68,34.1,8.2,15.4,.531,0.1,0.5,.257,8.1,14.9,.540,.535,5.6,6.6,.845,0.6,4.9,5.5,5.6,1.0,0.3,2.4,2.6,22.1
2020-21,31,SAS,NBA,PF,61,61,33.7,7.5,15.1,.495,0.3,1.2,.257,7.1,13.9,.515,.505,6.3,7.2,.880,0.7,3.6,4.2,6.9,0.9,0.2,2.0,2.1,21.6
2021-22,32,CHI,NBA,PF,76,76,36.1,10.2,20.2,.504,0.7,1.9,.352,9.5,18.3,.520,.521,6.8,7.8,.877,0.7,4.4,5.2,4.9,0.9,0.3,2.4,2.3,27.9
2022-23,33,CHI,NBA,SF,29,29,35.3,9.0,17.9,.504,0.4,1.4,.310,8.6,16.5,.521,.516,7.3,8.2,.891,0.4,4.5,4.9,4.7,0.8,0.4,2.1,2.7,25.9
