Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,19,TOT,NBA,PF,78,27,19.7,2.8,5.3,.517,0.0,0.0,,2.8,5.3,.517,.517,1.3,2.2,.595,2.2,3.1,5.3,0.5,0.4,0.9,1.0,3.2,6.8
2011-12,20,UTA,NBA,PF,65,9,21.2,3.4,6.8,.499,0.0,0.0,,3.4,6.8,.499,.499,1.9,3.0,.649,2.4,4.1,6.5,0.7,0.6,1.0,1.6,2.2,8.8
2012-13,21,UTA,NBA,PF,77,8,23.2,3.6,7.4,.482,0.0,0.1,.000,3.6,7.3,.487,.482,2.3,3.4,.688,2.4,4.7,7.1,1.0,0.9,1.7,1.7,3.2,9.4
2013-14,22,UTA,NBA,PF,73,73,30.2,5.3,10.2,.522,0.0,0.0,.000,5.3,10.2,.523,.522,2.6,3.9,.669,2.7,6.0,8.7,1.2,1.0,1.5,1.8,3.2,13.3
2014-15,23,UTA,NBA,PF,74,74,30.8,6.5,12.4,.525,0.0,0.1,.167,6.5,12.3,.527,.526,3.0,4.5,.669,2.6,5.6,8.2,1.5,0.8,1.7,1.6,2.8,16.0
2015-16,24,UTA,NBA,PF,62,59,32.0,6.7,13.1,.515,0.0,0.1,.000,6.7,13.0,.518,.515,2.9,4.1,.709,2.7,5.4,8.1,1.5,1.2,1.5,1.7,2.4,16.4
2016-17,25,UTA,NBA,PF,50,39,23.7,4.1,8.3,.487,0.1,0.2,.300,4.0,8.1,.491,.490,1.3,2.2,.615,1.8,4.3,6.1,1.1,0.9,0.8,1.2,2.1,9.5
2017-18,26,UTA,NBA,C,77,77,28.0,5.1,9.1,.563,0.2,0.8,.222,4.9,8.3,.596,.573,1.8,2.8,.651,2.6,4.6,7.2,1.3,0.7,1.1,1.1,2.1,12.3
2018-19,27,UTA,NBA,C,76,70,23.2,4.8,8.1,.586,0.2,1.0,.218,4.6,7.1,.640,.600,2.0,3.0,.675,2.7,4.6,7.4,1.2,0.7,1.4,1.1,2.1,11.8
2019-20,28,NOP,NBA,C,51,49,24.4,4.1,6.6,.617,0.0,0.1,.143,4.1,6.5,.627,.618,0.8,1.4,.563,3.2,6.6,9.8,1.6,0.6,0.9,1.1,2.1,9.0
2020-21,29,UTA,NBA,C,68,0,15.3,2.3,3.6,.638,0.0,0.0,.000,2.3,3.5,.643,.638,0.9,1.2,.738,2.0,3.5,5.5,0.6,0.5,1.0,0.5,2.1,5.4
2021-22,30,OKC,NBA,C,39,18,16.7,2.4,4.7,.516,0.1,0.4,.125,2.4,4.3,.554,.522,0.4,0.6,.640,1.5,3.2,4.7,0.6,0.4,0.3,0.2,1.6,5.3
