Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,22,SAC,NBA,PG,65,37,25.5,3.9,8.8,.448,1.3,3.4,.379,2.7,5.4,.491,.521,2.4,2.8,.832,0.7,1.8,2.6,4.1,0.8,0.1,1.6,1.9,11.5
2012-13,23,SAC,NBA,PG,79,62,26.9,4.6,10.5,.440,1.5,4.1,.358,3.2,6.5,.491,.509,3.2,3.6,.882,0.4,1.7,2.0,4.0,0.8,0.0,1.8,2.1,13.9
2013-14,24,SAC,NBA,PG,72,54,34.7,6.9,15.2,.453,1.8,5.1,.349,5.1,10.2,.504,.510,4.8,5.7,.850,0.7,2.3,2.9,6.3,1.3,0.1,3.0,2.6,20.3
2014-15,25,TOT,NBA,PG,67,1,25.8,5.0,11.9,.420,1.9,5.2,.373,3.1,6.7,.457,.501,4.5,5.2,.868,0.5,1.8,2.3,4.2,0.9,0.1,2.1,2.2,16.4
2015-16,26,BOS,NBA,PG,82,79,32.2,7.2,16.9,.428,2.0,5.7,.359,5.2,11.2,.462,.488,5.8,6.6,.871,0.6,2.4,3.0,6.2,1.1,0.1,2.7,2.0,22.2
2016-17,27,BOS,NBA,PG,76,76,33.8,9.0,19.4,.463,3.2,8.5,.379,5.8,10.9,.528,.546,7.8,8.5,.909,0.6,2.1,2.7,5.9,0.9,0.2,2.8,2.2,28.9
2017-18,28,TOT,NBA,PG,32,15,26.9,4.9,13.2,.373,1.7,5.9,.293,3.2,7.3,.438,.438,3.7,4.1,.893,0.5,1.6,2.1,4.8,0.5,0.1,3.0,1.8,15.2
2018-19,29,DEN,NBA,SG,12,0,15.1,2.8,8.3,.343,1.0,3.6,.279,1.8,4.7,.393,.404,1.4,2.3,.630,0.4,0.7,1.1,1.9,0.4,0.1,1.5,1.4,8.1
2019-20,30,WAS,NBA,PG,40,37,23.1,4.4,10.7,.408,2.0,4.7,.413,2.4,5.9,.405,.500,1.6,1.9,.816,0.3,1.4,1.7,3.7,0.3,0.2,1.9,1.9,12.2
2020-21,31,NOP,NBA,PG,3,0,16.0,3.0,9.0,.333,1.0,4.0,.250,2.0,5.0,.400,.389,0.7,0.7,1.000,0.3,1.0,1.3,1.7,0.3,0.0,2.0,1.0,7.7
2021-22,32,TOT,NBA,PG,22,1,15.1,3.0,7.6,.401,1.3,3.8,.337,1.8,3.8,.464,.485,1.0,1.2,.846,0.2,1.1,1.3,1.5,0.3,0.2,0.7,1.5,8.4
