Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,22,ORL,NBA,PG,79,21,20.4,3.6,7.9,.455,0.6,1.8,.312,3.1,6.2,.497,.490,0.9,1.4,.682,0.7,1.8,2.4,3.0,1.0,0.0,1.5,2.5,8.7
2005-06,23,ORL,NBA,PG,62,33,28.8,5.6,11.6,.483,1.1,2.7,.424,4.5,8.9,.500,.531,2.3,2.9,.779,0.6,2.3,2.9,4.9,1.1,0.1,2.4,2.8,14.6
2006-07,24,ORL,NBA,PG,77,77,30.3,4.9,11.4,.430,0.8,2.5,.335,4.0,8.8,.457,.467,2.4,2.9,.828,0.6,2.4,3.1,4.3,0.9,0.1,2.4,2.9,13.0
2007-08,25,ORL,NBA,PG,69,62,28.4,4.1,8.7,.469,0.9,2.2,.416,3.2,6.5,.488,.522,1.8,2.2,.828,0.4,3.1,3.5,5.6,0.9,0.1,2.0,2.4,10.9
2008-09,26,ORL,NBA,PG,42,42,31.2,6.4,12.6,.503,2.0,4.3,.453,4.4,8.3,.529,.580,2.0,2.3,.887,0.5,3.0,3.5,5.4,1.2,0.1,2.0,2.9,16.7
2009-10,27,ORL,NBA,PG,65,64,28.6,4.9,10.9,.449,1.3,3.5,.381,3.6,7.4,.481,.510,1.5,1.8,.845,0.4,2.6,3.0,5.4,0.7,0.0,2.1,2.3,12.6
2010-11,28,ORL,NBA,PG,76,76,30.5,4.9,11.0,.446,1.6,3.9,.401,3.4,7.1,.471,.517,1.7,2.1,.802,0.5,2.5,3.0,6.0,1.0,0.0,2.6,2.8,13.1
2011-12,29,ORL,NBA,PG,57,57,29.9,4.5,10.6,.427,1.5,4.1,.377,3.0,6.6,.459,.499,1.2,1.5,.807,0.5,2.7,3.2,5.7,0.7,0.1,2.4,2.3,11.9
2012-13,30,ORL,NBA,PG,56,56,35.3,5.5,13.9,.392,2.2,6.3,.341,3.3,7.6,.435,.470,1.6,1.8,.873,0.4,3.3,3.7,7.4,1.3,0.1,2.8,2.9,14.7
2013-14,31,ORL,NBA,PG,68,68,32.0,4.3,11.0,.394,2.0,5.8,.348,2.3,5.2,.444,.485,1.4,1.6,.857,0.4,3.0,3.4,7.0,0.8,0.1,2.4,2.1,12.1
2014-15,32,TOT,NBA,PG,63,29,22.3,3.3,8.0,.407,1.4,4.1,.345,1.8,3.9,.472,.495,0.4,0.6,.667,0.5,1.8,2.3,4.0,0.7,0.1,1.7,2.2,8.3
2015-16,33,DEN,NBA,PG,39,15,26.6,2.9,7.9,.368,1.1,3.7,.299,1.8,4.2,.429,.438,0.8,0.9,.857,0.5,2.5,2.9,4.9,0.6,0.1,1.7,2.6,7.7
2016-17,34,DEN,NBA,PG,75,39,27.3,3.6,8.1,.444,1.4,3.6,.388,2.2,4.4,.489,.531,0.6,0.8,.714,0.4,2.2,2.6,5.1,0.7,0.1,1.7,2.6,9.2
2017-18,35,TOT,NBA,PG,50,0,20.3,1.9,4.9,.389,0.8,2.5,.331,1.1,2.4,.450,.473,0.3,0.4,.800,0.3,1.8,2.1,3.6,0.5,0.1,1.3,1.6,4.9
