Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,22,CHA,NBA,PF,73,14,19.0,2.2,4.8,.468,0.1,0.6,.220,2.1,4.2,.502,.481,1.2,1.6,.737,1.7,2.3,3.9,1.1,0.8,0.1,0.7,1.8,5.8
2008-09,23,TOT,NBA,SF,68,7,17.0,2.0,4.2,.477,0.4,1.1,.392,1.6,3.1,.507,.528,1.0,1.5,.676,1.2,1.8,3.0,0.8,0.8,0.1,0.6,1.5,5.5
2009-10,24,PHO,NBA,SF,82,1,24.3,2.7,6.0,.459,1.5,3.2,.458,1.3,2.8,.461,.582,1.3,1.7,.754,1.2,2.2,3.4,1.4,1.0,0.2,0.8,2.0,8.2
2010-11,25,PHO,NBA,SF,82,15,26.1,3.7,7.7,.477,1.3,3.1,.415,2.4,4.6,.519,.560,2.0,2.7,.743,1.4,2.5,3.9,1.3,1.1,0.2,0.9,1.7,10.6
2011-12,26,PHO,NBA,SG,65,60,31.1,4.8,9.9,.485,1.2,3.2,.383,3.6,6.7,.535,.547,1.8,2.5,.726,1.5,3.2,4.6,1.7,0.8,0.3,1.1,1.6,12.7
2012-13,27,PHO,NBA,SF,79,50,27.5,4.0,8.5,.468,1.3,3.4,.391,2.6,5.0,.520,.547,1.6,2.1,.796,1.0,2.1,3.1,2.6,0.9,0.1,1.3,1.6,10.9
2013-14,28,LAC,NBA,SF,74,43,23.4,2.6,6.0,.438,1.1,3.0,.360,1.6,3.0,.518,.529,0.5,0.8,.655,0.5,1.7,2.2,1.4,0.6,0.1,0.8,2.0,6.9
2014-15,29,MIL,NBA,SG,72,22,23.8,2.8,5.9,.468,1.0,2.7,.385,1.7,3.2,.537,.556,0.7,0.9,.716,0.6,2.4,3.1,1.8,1.0,0.2,0.9,1.6,7.2
2015-16,30,WAS,NBA,PF,81,41,25.9,2.9,6.0,.478,1.2,2.9,.420,1.6,3.1,.534,.581,0.9,1.2,.735,0.7,2.9,3.5,2.1,0.9,0.2,1.0,2.3,7.9
2016-17,31,PHO,NBA,PF,64,7,21.3,2.5,5.4,.454,1.2,3.2,.379,1.3,2.2,.559,.565,0.7,1.0,.662,0.5,3.0,3.5,1.9,0.7,0.3,1.1,2.4,6.8
2017-18,32,PHO,NBA,PF,48,0,14.3,1.0,2.5,.393,0.6,1.7,.363,0.4,0.9,.452,.512,0.6,0.7,.771,0.2,1.8,2.0,1.6,0.5,0.2,0.6,1.8,3.2
2018-19,33,BRK,NBA,PF,59,25,20.7,1.7,4.1,.423,0.9,2.6,.351,0.8,1.5,.545,.533,0.5,0.8,.696,0.6,2.1,2.6,1.4,0.6,0.3,0.7,2.2,4.9
2019-20,34,LAL,NBA,PF,45,1,8.1,0.5,1.3,.400,0.4,0.9,.429,0.1,0.4,.333,.550,0.0,0.0,1.000,0.1,1.0,1.2,0.6,0.3,0.1,0.2,0.9,1.5
2020-21,35,LAL,NBA,PF,12,0,6.8,0.2,0.8,.222,0.2,0.5,.333,0.0,0.3,.000,.333,0.0,0.0,,0.3,1.4,1.8,0.4,0.1,0.1,0.2,0.6,0.5
