Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,22,CHI,NBA,PF,38,,7.7,1.4,3.1,.449,,,,1.4,3.1,.449,.449,1.0,1.5,.638,0.8,1.6,2.5,0.5,0.3,0.3,,1.5,3.8
1975-76,23,CHI,NBA,PF,81,,29.5,5.9,12.8,.463,,,,5.9,12.8,.463,.463,3.5,4.4,.786,3.4,5.9,9.4,1.6,1.1,0.8,,3.6,15.3
1976-77,24,CHI,NBA,PF,81,,35.1,6.6,14.9,.446,,,,6.6,14.9,.446,.446,4.0,5.0,.796,3.7,6.6,10.2,2.4,1.3,0.8,,3.9,17.3
1977-78,25,CHI,NBA,PF,81,,35.4,6.9,15.0,.462,,,,6.9,15.0,.462,.462,4.5,5.5,.812,2.7,6.4,9.1,3.3,1.1,0.8,3.3,3.9,18.3
1978-79,26,CHI,NBA,PF,82,,31.6,6.0,13.5,.449,,,,6.0,13.5,.449,.449,3.3,4.0,.830,2.4,5.3,7.6,4.6,1.1,0.7,3.8,3.5,15.4
1979-80,27,IND,NBA,PF,82,,32.3,7.2,15.5,.463,0.1,0.4,.156,7.1,15.1,.471,.465,4.7,5.9,.799,3.1,5.2,8.3,4.2,1.9,1.4,3.5,3.5,19.1
1980-81,28,MIL,NBA,PF,82,,25.8,4.6,10.3,.448,0.0,0.2,.167,4.6,10.1,.454,.450,3.2,4.0,.789,2.2,4.4,6.6,3.5,1.1,0.9,2.8,3.1,12.5
1981-82,29,MIL,NBA,PF,76,71,25.4,4.9,10.0,.491,0.0,0.1,.143,4.9,9.9,.495,.492,3.1,3.8,.801,1.8,4.2,6.0,2.8,0.9,0.6,2.5,3.2,12.9
1982-83,30,TOT,NBA,PF,78,16,26.3,5.0,11.8,.425,0.0,0.5,.083,5.0,11.3,.438,.426,4.0,4.9,.821,2.1,4.2,6.3,3.3,1.1,0.6,3.1,3.7,14.1
1983-84,31,GSW,NBA,PF,78,25,27.2,4.6,10.9,.421,0.1,0.4,.172,4.5,10.6,.430,.424,4.3,5.5,.785,2.5,4.1,6.6,2.8,1.3,0.4,2.8,3.7,13.6
1984-85,32,GSW,NBA,PF,66,9,23.7,4.6,10.8,.426,0.1,0.5,.233,4.5,10.4,.434,.431,3.9,4.8,.823,2.3,3.7,6.0,2.3,1.1,0.5,2.2,3.3,13.3
1985-86,33,NJN,NBA,PF,79,4,19.9,2.7,6.4,.422,0.1,0.3,.208,2.6,6.1,.433,.427,2.3,2.9,.785,1.2,3.0,4.2,2.7,0.8,0.3,2.1,3.1,7.8
