Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,19,BOS,NBA,C,10,0,3.5,0.8,1.5,.533,0.0,0.0,,0.8,1.5,.533,.533,0.6,0.9,.667,0.5,0.9,1.4,0.3,0.0,0.2,0.5,0.6,2.2
2004-05,20,BOS,NBA,C,60,3,9.1,0.9,2.0,.471,0.0,0.0,,0.9,2.0,.471,.471,0.6,1.0,.638,0.9,2.1,2.9,0.4,0.2,0.6,0.7,1.6,2.5
2005-06,21,BOS,NBA,C,68,40,19.6,2.0,3.9,.515,0.0,0.0,.000,2.0,3.9,.519,.515,1.2,1.9,.615,2.1,3.9,5.9,1.0,0.3,1.5,1.6,2.9,5.2
2006-07,22,BOS,NBA,C,72,53,21.9,1.8,3.7,.491,0.0,0.0,.000,1.8,3.7,.496,.491,0.8,1.4,.600,1.6,3.6,5.2,1.3,0.3,1.3,1.6,3.0,4.5
2007-08,23,BOS,NBA,C,78,78,24.5,2.7,4.5,.615,0.0,0.0,.000,2.7,4.4,.617,.615,1.5,2.3,.623,1.9,4.2,6.1,1.1,0.4,1.5,1.6,3.1,6.9
2008-09,24,BOS,NBA,C,76,76,29.6,3.6,6.3,.577,0.0,0.0,.000,3.6,6.3,.580,.577,1.3,2.1,.600,2.7,5.5,8.1,1.3,0.3,2.0,2.2,3.3,8.5
2009-10,25,BOS,NBA,C,78,78,27.6,4.0,6.7,.602,0.0,0.0,.000,4.0,6.7,.605,.602,2.1,3.6,.582,2.0,5.6,7.6,1.0,0.3,1.7,2.1,2.8,10.1
2010-11,26,TOT,NBA,C,29,24,25.6,2.3,4.5,.515,0.0,0.0,,2.3,4.5,.515,.515,1.4,2.5,.556,2.1,5.9,8.0,0.9,0.3,0.9,1.9,3.1,6.0
2011-12,27,OKC,NBA,C,65,65,26.8,2.0,4.0,.489,0.0,0.0,,2.0,4.0,.489,.489,1.1,1.7,.652,1.8,4.7,6.6,1.2,0.4,1.1,1.8,2.9,5.1
2012-13,28,OKC,NBA,C,78,78,25.1,1.8,4.0,.457,0.0,0.0,.000,1.8,4.0,.458,.457,0.6,0.9,.611,1.4,4.6,6.0,1.4,0.6,1.1,1.4,2.9,4.2
2013-14,29,OKC,NBA,C,62,62,19.5,1.4,3.1,.451,0.0,0.0,.000,1.4,3.1,.453,.451,0.6,1.1,.552,1.3,3.6,4.9,1.1,0.4,0.5,1.5,2.9,3.4
2014-15,30,TOT,NBA,C,68,3,16.9,1.5,3.3,.449,0.0,0.0,.000,1.5,3.3,.451,.449,0.6,1.2,.506,1.3,3.4,4.7,0.8,0.2,0.6,1.4,2.4,3.6
2015-16,31,NOP,NBA,C,37,5,14.6,1.1,2.0,.533,0.0,0.0,,1.1,2.0,.533,.533,0.3,0.7,.440,0.7,2.8,3.5,0.8,0.3,0.3,1.1,1.7,2.5
2017-18,33,CLE,NBA,C,1,0,15.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,1.0,2.0,.500,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0
