Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1981-82,22,PHO,NBA,PF,80,0,14.8,2.8,5.5,.521,0.0,0.0,.000,2.8,5.4,.522,.521,0.9,1.5,.641,1.2,2.0,3.2,1.0,0.5,0.9,1.3,2.1,6.6
1982-83,23,PHO,NBA,PF,82,82,35.5,7.2,13.0,.550,0.0,0.0,.333,7.2,13.0,.551,.551,2.4,3.5,.672,2.9,5.7,8.7,2.4,1.2,2.6,2.3,3.1,16.7
1983-84,24,PHO,NBA,PF,82,82,35.4,7.3,12.7,.576,0.0,0.1,.000,7.3,12.6,.580,.576,3.0,4.3,.707,2.8,5.5,8.3,2.6,1.0,2.1,2.2,3.3,17.7
1984-85,25,PHO,NBA,PF,61,55,36.1,8.4,14.4,.587,0.0,0.0,.500,8.4,14.3,.587,.588,3.0,4.2,.709,3.2,5.6,8.8,2.6,1.4,1.7,2.2,3.0,19.9
1985-86,26,PHO,NBA,PF,73,69,34.0,8.0,13.7,.581,0.0,0.1,.000,8.0,13.6,.586,.581,4.2,6.1,.698,2.3,6.2,8.5,3.3,1.0,1.8,2.9,3.4,20.2
1986-87,27,PHO,NBA,PF,69,67,37.2,8.5,15.4,.551,0.0,0.1,.200,8.5,15.3,.553,.551,5.5,7.1,.773,2.7,6.0,8.7,3.4,1.2,2.1,2.2,3.2,22.5
1987-88,28,TOT,NBA,PF,67,60,35.6,7.3,13.7,.529,0.0,0.1,.333,7.2,13.6,.531,.530,4.5,5.8,.779,2.9,6.2,9.1,3.1,0.9,2.4,2.3,3.6,19.1
1988-89,29,CLE,NBA,PF,73,72,34.6,6.8,12.6,.539,0.0,0.1,.000,6.8,12.5,.541,.539,3.7,4.6,.799,2.1,5.8,8.0,2.2,0.8,2.8,1.6,2.5,17.2
1989-90,30,CLE,NBA,PF,62,53,33.3,6.6,13.0,.511,0.0,0.0,1.000,6.6,13.0,.510,.511,3.0,3.9,.778,2.6,5.7,8.3,2.6,0.9,2.0,1.8,3.0,16.3
1990-91,31,CLE,NBA,PF,80,78,36.6,7.9,15.1,.524,0.0,0.1,.250,7.9,15.0,.526,.525,3.3,4.1,.803,2.5,6.1,8.6,3.0,0.8,2.5,1.6,2.7,19.2
1991-92,32,CLE,NBA,PF,81,81,35.6,6.9,12.7,.539,0.0,0.1,.000,6.9,12.7,.542,.539,3.2,4.0,.822,2.6,5.6,8.3,2.9,1.0,3.0,1.1,2.5,17.0
1992-93,33,CLE,NBA,PF,77,77,35.8,6.9,12.6,.549,0.0,0.1,.000,6.9,12.6,.551,.549,2.6,3.2,.818,2.4,6.3,8.7,2.9,0.7,2.6,1.4,2.9,16.5
1993-94,34,CLE,NBA,PF,33,19,27.5,4.6,9.5,.487,0.0,0.0,,4.6,9.5,.487,.487,1.9,2.6,.753,2.3,4.5,6.9,1.5,0.8,1.7,1.2,2.9,11.2
