Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,22,PHO,NBA,PF,63,7,19.5,2.8,6.9,.399,0.7,2.0,.347,2.1,5.0,.420,.448,1.2,1.7,.717,1.1,3.3,4.4,1.0,0.7,0.7,1.1,2.8,7.4
2012-13,23,PHO,NBA,PF,82,32,22.4,3.2,8.0,.407,0.5,1.6,.336,2.7,6.3,.426,.442,1.1,1.5,.732,1.6,3.2,4.8,1.3,0.9,0.8,1.3,2.5,8.2
2013-14,24,PHO,NBA,PF,81,0,26.6,5.1,10.4,.486,0.4,1.3,.315,4.7,9.1,.512,.507,3.2,4.0,.792,1.7,4.3,6.0,1.8,0.8,0.6,1.8,2.9,13.8
2014-15,25,PHO,NBA,PF,82,82,31.5,6.2,13.4,.465,0.7,2.2,.318,5.5,11.2,.494,.491,2.2,2.8,.763,1.3,4.8,6.2,2.3,1.2,0.5,2.1,3.0,15.3
2015-16,26,TOT,NBA,PF,64,45,25.5,4.8,11.2,.425,0.7,2.4,.303,4.0,8.8,.458,.458,1.7,2.3,.735,1.1,4.4,5.5,1.9,0.9,0.5,2.1,2.9,12.0
2016-17,27,WAS,NBA,PF,76,76,31.2,5.3,11.7,.457,0.9,2.6,.362,4.4,9.1,.483,.497,2.4,2.8,.837,1.4,5.1,6.5,1.7,1.1,0.6,1.7,3.3,14.0
2017-18,28,WAS,NBA,PF,73,73,27.0,4.5,9.4,.480,1.0,2.8,.367,3.5,6.6,.529,.536,1.4,1.8,.820,1.0,4.6,5.6,1.9,0.8,0.5,1.7,3.0,11.5
2018-19,29,TOT,NBA,PF,58,16,21.9,3.5,8.3,.421,1.2,3.5,.335,2.3,4.8,.484,.492,1.2,1.6,.772,1.1,3.5,4.6,1.4,0.6,0.4,0.9,3.0,9.4
2019-20,30,TOT,NBA,PF,58,17,20.5,3.5,7.9,.443,1.5,3.9,.386,2.0,4.0,.500,.539,1.1,1.5,.776,0.7,3.1,3.8,1.3,0.5,0.3,1.3,2.3,9.7
2020-21,31,LAL,NBA,PF,61,27,19.7,2.5,6.2,.405,1.1,3.4,.311,1.4,2.8,.521,.491,0.6,0.8,.720,0.8,3.6,4.4,1.2,0.4,0.3,0.9,1.7,6.7
2021-22,32,MIA,NBA,PF,17,1,17.5,3.2,6.7,.474,0.8,2.3,.333,2.4,4.4,.547,.531,0.5,0.5,.889,1.0,1.6,2.6,1.4,0.4,0.1,1.2,1.9,7.6
2022-23,33,BRK,NBA,PF,18,1,11.3,1.3,3.1,.429,0.9,1.9,.457,0.4,1.2,.381,.571,0.3,0.3,1.000,0.5,1.9,2.4,0.9,0.3,0.2,0.6,1.2,3.9
