Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,26,MIA,NBA,PG,15,0,7.9,1.0,2.9,.349,0.5,1.4,.381,0.5,1.5,.318,.442,0.3,0.5,.571,0.1,0.8,0.9,1.3,0.4,0.1,0.9,1.1,2.8
2002-03,27,MIA,NBA,PG,78,8,22.1,2.8,7.5,.373,0.9,2.9,.294,1.9,4.6,.423,.430,1.3,1.8,.732,0.3,1.6,1.9,3.2,0.8,0.1,1.4,2.3,7.8
2003-04,28,TOT,NBA,PG,81,55,27.1,3.4,8.1,.414,1.3,3.5,.377,2.0,4.6,.441,.495,1.3,1.6,.811,0.3,2.5,2.9,4.2,1.2,0.0,1.5,1.9,9.3
2004-05,29,TOT,NBA,PG,74,5,25.1,4.5,10.1,.441,1.4,3.5,.386,3.1,6.6,.470,.507,1.5,2.0,.752,0.5,2.3,2.8,3.6,0.9,0.1,1.4,2.4,11.8
2005-06,30,TOR,NBA,PG,79,79,37.0,7.3,15.5,.469,2.1,4.8,.442,5.2,10.7,.481,.538,3.6,4.3,.837,0.6,2.7,3.3,5.8,0.9,0.0,2.6,2.7,20.3
2006-07,31,MIN,NBA,PG,82,65,25.2,3.6,8.6,.422,1.0,2.6,.372,2.6,6.0,.445,.479,1.9,2.2,.837,0.3,1.7,2.0,3.6,0.7,0.1,1.6,2.1,10.1
2007-08,32,TOT,NBA,PG,54,1,13.3,1.9,5.4,.348,0.6,1.8,.320,1.3,3.6,.363,.402,0.7,0.9,.813,0.3,1.0,1.3,1.1,0.4,0.0,0.7,1.0,5.0
2008-09,33,TOT,NBA,PG,61,50,27.0,3.2,8.4,.383,1.1,3.0,.375,2.1,5.4,.388,.450,1.1,1.3,.829,0.4,1.8,2.2,3.3,0.7,0.1,1.5,1.8,8.7
2009-10,34,WAS,NBA,PG,4,0,11.5,1.5,5.0,.300,0.5,1.5,.333,1.0,3.5,.286,.350,1.0,2.0,.500,0.3,0.5,0.8,1.3,0.8,0.0,1.3,0.8,4.5
2011-12,36,CHI,NBA,PG,11,0,10.9,1.8,4.5,.408,0.5,0.9,.600,1.3,3.5,.359,.469,0.6,0.7,.875,0.2,0.7,0.9,2.6,0.4,0.2,1.3,1.8,4.8
2012-13,37,DAL,NBA,PG,45,23,19.2,2.2,6.0,.373,1.1,2.8,.384,1.2,3.2,.363,.461,0.5,0.6,.793,0.2,1.4,1.6,3.1,0.6,0.1,1.2,2.1,6.1
2013-14,38,CHI,NBA,PG,11,0,7.0,0.5,1.9,.238,0.1,0.5,.200,0.4,1.5,.250,.262,0.0,0.2,.000,0.0,0.6,0.6,1.5,0.2,0.0,0.5,1.0,1.0
