Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,20,SAC,NBA,SG,72,72,37.2,7.4,16.2,.458,0.5,2.0,.255,6.9,14.2,.485,.473,4.8,6.5,.748,0.9,4.4,5.3,5.8,1.5,0.4,3.0,2.8,20.1
2010-11,21,SAC,NBA,SG,57,53,37.0,6.7,16.4,.409,0.8,2.6,.291,5.9,13.8,.432,.432,3.6,4.7,.771,0.8,4.0,4.8,5.6,1.5,0.5,3.2,2.5,17.8
2011-12,22,SAC,NBA,SG,63,61,34.3,6.5,14.3,.453,0.3,1.6,.202,6.2,12.7,.484,.464,3.2,4.1,.779,1.0,3.6,4.6,4.5,1.3,0.5,2.7,2.2,16.5
2012-13,23,SAC,NBA,SG,65,61,31.0,5.6,11.8,.478,0.7,2.0,.338,4.9,9.7,.508,.508,3.2,4.2,.775,0.9,3.6,4.4,3.5,1.4,0.4,2.0,2.0,15.2
2013-14,24,NOP,NBA,SF,72,22,28.2,5.4,12.5,.436,0.3,1.3,.221,5.1,11.1,.461,.448,3.3,4.3,.771,1.1,3.7,4.7,5.0,1.2,0.3,2.4,2.2,14.5
2014-15,25,NOP,NBA,SG,79,76,34.1,6.6,14.7,.447,0.9,2.9,.304,5.7,11.9,.482,.477,2.6,3.7,.694,1.0,4.2,5.3,6.6,1.3,0.5,3.1,2.5,16.6
2015-16,26,NOP,NBA,SG,25,25,30.6,5.4,12.6,.433,1.3,3.4,.388,4.1,9.2,.450,.486,3.0,3.7,.796,0.8,4.4,5.2,6.6,1.3,0.3,2.9,2.6,15.2
2016-17,27,TOT,NBA,SF,40,6,19.7,3.8,9.3,.405,1.1,3.0,.356,2.7,6.3,.429,.462,1.7,2.3,.750,0.3,3.1,3.4,3.1,0.9,0.2,1.5,1.5,10.3
2017-18,28,MEM,NBA,PG,52,32,30.9,7.0,15.6,.452,2.2,5.5,.399,4.8,10.1,.482,.523,3.2,4.0,.785,0.8,4.3,5.1,5.2,1.1,0.3,2.3,1.8,19.4
2018-19,29,IND,NBA,SG,69,18,20.3,3.7,9.6,.389,1.1,3.1,.356,2.6,6.4,.405,.448,1.7,2.3,.719,0.5,2.4,2.9,2.4,0.8,0.3,1.7,1.7,10.2
