Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,20,POR,NBA,PF,41,0,5.8,1.2,2.6,.449,0.0,0.0,,1.2,2.6,.449,.449,0.4,0.7,.667,0.8,0.9,1.7,0.3,0.2,0.1,0.4,0.7,2.8
2002-03,21,POR,NBA,PF,77,11,16.9,3.4,6.7,.513,0.0,0.1,.000,3.4,6.6,.518,.513,1.6,2.1,.758,1.8,2.6,4.5,0.5,0.5,0.2,0.8,1.8,8.4
2003-04,22,POR,NBA,PF,81,80,37.9,8.2,16.9,.485,0.0,0.1,.200,8.2,16.8,.486,.485,3.7,4.9,.761,3.0,7.5,10.5,2.0,0.8,0.5,3.0,2.8,20.1
2004-05,23,POR,NBA,PF,46,37,34.8,7.2,16.1,.448,0.0,0.1,.000,7.2,16.0,.452,.448,4.5,5.5,.815,3.1,6.5,9.6,1.9,0.7,0.4,2.4,2.4,18.9
2005-06,24,POR,NBA,PF,74,71,34.4,7.2,16.6,.436,0.2,0.7,.291,7.0,15.9,.443,.443,3.3,4.6,.714,2.6,5.4,8.0,1.9,0.8,0.2,2.2,2.5,18.0
2006-07,25,POR,NBA,PF,68,67,35.7,8.8,18.9,.467,0.2,0.7,.292,8.6,18.2,.473,.472,5.8,7.1,.819,2.9,7.2,10.1,2.2,0.8,0.2,3.2,2.7,23.6
2007-08,26,NYK,NBA,C,69,68,32.5,7.0,15.3,.459,0.3,1.2,.275,6.7,14.2,.474,.470,3.2,4.2,.772,2.7,7.6,10.3,2.0,0.9,0.2,2.7,2.8,17.6
2008-09,27,TOT,NBA,"C,PF",50,45,35.1,8.3,17.5,.475,0.6,1.9,.330,7.7,15.5,.494,.494,3.6,4.9,.734,3.1,6.9,10.1,2.1,0.9,0.3,2.3,2.7,20.8
2009-10,28,MEM,NBA,PF,81,81,37.7,8.0,16.5,.488,0.2,0.6,.288,7.9,15.9,.496,.494,4.5,5.7,.778,4.1,7.7,11.7,1.8,1.0,0.4,2.1,2.8,20.8
2010-11,29,MEM,NBA,PF,75,74,36.3,8.0,15.8,.503,0.1,0.6,.186,7.9,15.3,.515,.507,4.0,5.3,.758,4.3,7.8,12.2,2.2,0.8,0.3,2.0,2.3,20.1
2011-12,30,MEM,NBA,PF,28,8,26.3,4.7,10.2,.463,0.1,0.3,.250,4.6,9.9,.469,.467,2.1,3.1,.659,2.8,5.3,8.0,1.7,0.8,0.1,1.4,2.0,11.6
2012-13,31,MEM,NBA,PF,76,75,34.3,6.2,13.5,.460,0.0,0.3,.087,6.2,13.2,.469,.461,3.0,3.9,.750,4.1,7.2,11.2,1.4,0.8,0.4,2.0,2.4,15.4
2013-14,32,MEM,NBA,PF,79,79,34.2,7.1,15.2,.467,0.0,0.3,.100,7.1,14.9,.474,.468,3.2,4.3,.742,3.4,6.7,10.1,2.5,0.7,0.3,2.3,2.7,17.4
2014-15,33,MEM,NBA,PF,71,71,32.5,6.4,13.1,.487,0.1,0.3,.350,6.3,12.8,.490,.491,3.2,4.2,.765,3.2,7.4,10.5,2.2,1.0,0.2,2.2,2.5,16.1
2015-16,34,MEM,NBA,PF,68,53,29.6,6.3,13.3,.475,0.1,0.4,.231,6.3,13.0,.482,.479,2.5,3.2,.796,2.6,5.1,7.8,2.1,0.6,0.2,1.5,2.1,15.3
2016-17,35,MEM,NBA,PF,73,5,24.5,5.9,13.2,.449,0.3,1.3,.223,5.6,11.9,.474,.460,1.9,2.6,.731,2.5,5.7,8.2,1.7,0.5,0.1,1.4,1.9,14.1
2017-18,36,SAC,NBA,PF,59,57,25.6,6.1,12.9,.473,0.9,2.5,.347,5.3,10.4,.503,.507,1.4,1.8,.785,1.6,5.1,6.7,2.2,0.7,0.2,2.0,2.0,14.5
