Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2007-08,23.0,ATL,NBA,PG,56.0,6.0,865.0,5.8,14.4,0.401,0.4,2.1,0.206,5.4,12.4,0.433,2.3,2.9,0.792,0.7,2.7,3.5,6.9,1.8,0.0,3.4,4.4,14.3,93.0,112.0,7.7,0.455,0.143,0.203,1.6,6.0,3.8,20.4,1.8,0.0,17.8,16.5,-0.5,0.4,-0.1,-0.007,-4.2,-1.0,-5.2,-0.7
2008-09,24.0,ATL,NBA,PG,55.0,1.0,560.0,5.0,13.3,0.374,0.9,2.8,0.31,4.1,10.5,0.391,4.7,5.7,0.817,0.6,5.0,5.5,8.2,1.1,0.3,2.8,4.1,15.5,105.0,111.0,10.6,0.49,0.209,0.432,1.3,10.9,6.1,23.4,1.1,0.4,14.9,16.3,0.3,0.4,0.7,0.062,-2.2,-0.6,-2.9,-0.1
2009-10,25.0,TOT,NBA,PG,26.0,1.0,234.0,7.6,16.2,0.467,1.1,3.5,0.313,6.5,12.8,0.508,8.2,10.6,0.776,0.6,3.0,3.7,5.6,2.4,0.2,3.7,3.5,24.5,111.0,109.0,16.0,0.585,0.213,0.653,1.4,6.6,4.1,17.5,2.3,0.4,15.0,21.7,0.3,0.2,0.6,0.115,-0.6,-0.4,-1.0,0.1
2009-10,25.0,GSW,NBA,PG,5.0,0.0,66.0,6.5,10.1,0.643,0.7,2.2,0.333,5.8,8.0,0.727,8.7,10.9,0.8,0.0,1.4,1.4,5.1,4.3,0.0,1.4,3.6,22.5,147.0,110.0,21.3,0.752,0.214,1.071,0.0,3.4,1.7,15.0,4.3,0.0,8.8,14.7,0.3,0.0,0.3,0.236,1.4,1.4,2.7,0.1
2009-10,25.0,CHA,NBA,PG,9.0,0.0,33.0,8.0,25.8,0.313,0.0,1.6,0.0,8.0,24.1,0.333,9.7,11.3,0.857,0.0,1.6,1.6,4.8,1.6,1.6,4.8,4.8,25.8,84.0,106.0,7.5,0.419,0.063,0.438,0.0,3.6,1.8,16.0,1.6,2.5,13.6,31.1,-0.1,0.0,0.0,-0.066,-7.2,-1.3,-8.5,-0.1
2009-10,25.0,CHI,NBA,PG,12.0,1.0,135.0,8.0,17.2,0.467,1.5,4.6,0.333,6.5,12.6,0.515,7.6,10.3,0.741,1.1,4.2,5.3,6.1,1.5,0.0,4.6,3.1,25.2,107.0,108.0,15.4,0.58,0.267,0.6,2.5,8.9,5.8,19.2,1.5,0.0,17.4,22.9,0.2,0.1,0.3,0.101,0.0,-1.0,-1.0,0.0
2010-11,26.0,TOT,NBA,PG,51.0,0.0,726.0,5.7,13.0,0.435,0.4,2.5,0.167,5.3,10.5,0.5,3.3,4.5,0.734,0.8,3.6,4.4,5.9,2.2,0.0,3.0,4.3,15.1,100.0,112.0,9.9,0.502,0.194,0.344,1.9,8.2,5.0,16.3,2.2,0.0,16.7,15.7,0.1,0.3,0.4,0.027,-3.5,-0.5,-4.0,-0.4
2010-11,26.0,MEM,NBA,PG,11.0,0.0,94.0,1.7,10.6,0.158,0.0,3.3,0.0,1.7,7.2,0.231,3.3,5.6,0.6,1.7,4.4,6.1,7.8,2.2,0.0,5.6,5.6,6.7,62.0,107.0,0.4,0.256,0.316,0.526,3.8,10.3,7.0,19.3,2.2,0.0,29.9,16.0,-0.4,0.1,-0.3,-0.138,-8.3,-0.9,-9.2,-0.2
2010-11,26.0,GSW,NBA,PG,40.0,0.0,632.0,6.2,13.4,0.467,0.5,2.4,0.2,5.8,11.0,0.526,3.3,4.3,0.759,0.7,3.4,4.2,5.6,2.2,0.0,2.6,4.1,16.3,106.0,113.0,11.3,0.532,0.18,0.323,1.6,7.9,4.7,15.9,2.2,0.0,14.7,15.6,0.5,0.2,0.7,0.052,-2.7,-0.5,-3.2,-0.2
Career,,,NBA,,188.0,8.0,2385.0,5.7,13.9,0.413,0.6,2.5,0.235,5.2,11.4,0.452,3.8,4.8,0.778,0.7,3.5,4.3,6.8,1.8,0.1,3.2,4.2,15.8,100.0,112.0,9.9,0.494,0.181,0.347,1.6,7.9,4.7,19.6,1.8,0.1,16.5,16.7,0.2,1.3,1.6,0.032,-3.2,-0.7,-3.9,-1.1
