Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017-18,25.0,TOR,NBA,SF,14.0,0.0,53.0,7.4,13.9,0.533,2.8,8.4,0.333,4.6,5.6,0.833,1.9,2.8,0.667,0.9,5.6,6.5,0.9,0.9,0.9,2.8,7.4,19.5,108.0,108.0,10.1,0.643,0.6,0.2,2.2,12.4,7.4,2.7,0.9,1.5,15.5,16.0,0.0,0.1,0.1,0.084,-2.6,-0.4,-3.0,0.0
2018-19,26.0,GSW,NBA,SF,72.0,5.0,1003.0,6.4,13.0,0.487,2.0,5.6,0.356,4.4,7.4,0.586,1.3,2.3,0.563,3.8,7.9,11.7,1.5,0.9,0.7,1.4,6.4,16.0,116.0,111.0,11.2,0.569,0.429,0.175,9.0,16.9,13.1,4.0,0.9,1.3,9.2,13.9,1.2,0.9,2.1,0.1,-2.2,-1.3,-3.5,-0.4
2019-20,27.0,CLE,NBA,SF,40.0,1.0,593.0,6.0,14.0,0.427,1.1,5.3,0.215,4.8,8.7,0.557,1.8,2.5,0.71,3.0,6.2,9.3,1.1,1.9,0.7,2.1,5.9,14.9,99.0,115.0,8.7,0.493,0.38,0.181,6.9,14.4,10.6,3.3,1.9,1.2,12.3,15.2,-0.2,0.3,0.2,0.014,-4.4,-0.9,-5.3,-0.5
2020-21,28.0,LAL,NBA,SF,39.0,0.0,258.0,9.1,17.5,0.516,3.0,7.4,0.41,6.0,10.2,0.593,1.9,3.4,0.556,4.1,6.0,10.2,1.1,1.3,0.0,0.9,4.9,23.0,123.0,110.0,15.5,0.604,0.419,0.194,9.6,13.9,11.8,3.6,1.3,0.0,4.7,17.8,0.5,0.3,0.8,0.156,0.3,-0.8,-0.4,0.1
2021-22,29.0,CHI,NBA,SF,17.0,3.0,206.0,5.7,14.5,0.393,2.1,6.4,0.333,3.6,8.1,0.441,0.5,1.9,0.25,3.1,4.7,7.8,1.2,0.5,0.7,1.7,6.2,14.0,95.0,117.0,5.6,0.457,0.443,0.131,7.1,10.9,9.0,3.2,0.5,1.3,9.8,15.3,-0.2,0.1,-0.1,-0.015,-5.6,-3.4,-9.0,-0.4
Career,,,NBA,,182.0,9.0,2113.0,6.5,14.0,0.467,1.9,5.9,0.326,4.6,8.1,0.569,1.4,2.5,0.583,3.5,6.8,10.3,1.3,1.2,0.6,1.6,6.1,16.4,110.0,113.0,10.4,0.544,0.42,0.176,8.1,15.1,11.7,3.6,1.2,1.1,9.7,14.9,1.4,1.8,3.1,0.071,-2.9,-1.3,-4.2,-1.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,GSW,NBA,,72.0,5.0,1003.0,6.4,13.0,0.487,2.0,5.6,0.356,4.4,7.4,0.586,1.3,2.3,0.563,3.8,7.9,11.7,1.5,0.9,0.7,1.4,6.4,16.0,116.0,111.0,11.2,0.569,0.429,0.175,9.0,16.9,13.1,4.0,0.9,1.3,9.2,13.9,1.2,0.9,2.1,0.1,-2.2,-1.3,-3.5,-0.4
1 season,,CLE,NBA,,40.0,1.0,593.0,6.0,14.0,0.427,1.1,5.3,0.215,4.8,8.7,0.557,1.8,2.5,0.71,3.0,6.2,9.3,1.1,1.9,0.7,2.1,5.9,14.9,99.0,115.0,8.7,0.493,0.38,0.181,6.9,14.4,10.6,3.3,1.9,1.2,12.3,15.2,-0.2,0.3,0.2,0.014,-4.4,-0.9,-5.3,-0.5
1 season,,LAL,NBA,,39.0,0.0,258.0,9.1,17.5,0.516,3.0,7.4,0.41,6.0,10.2,0.593,1.9,3.4,0.556,4.1,6.0,10.2,1.1,1.3,0.0,0.9,4.9,23.0,123.0,110.0,15.5,0.604,0.419,0.194,9.6,13.9,11.8,3.6,1.3,0.0,4.7,17.8,0.5,0.3,0.8,0.156,0.3,-0.8,-0.4,0.1
1 season,,CHI,NBA,,17.0,3.0,206.0,5.7,14.5,0.393,2.1,6.4,0.333,3.6,8.1,0.441,0.5,1.9,0.25,3.1,4.7,7.8,1.2,0.5,0.7,1.7,6.2,14.0,95.0,117.0,5.6,0.457,0.443,0.131,7.1,10.9,9.0,3.2,0.5,1.3,9.8,15.3,-0.2,0.1,-0.1,-0.015,-5.6,-3.4,-9.0,-0.4
1 season,,TOR,NBA,,14.0,0.0,53.0,7.4,13.9,0.533,2.8,8.4,0.333,4.6,5.6,0.833,1.9,2.8,0.667,0.9,5.6,6.5,0.9,0.9,0.9,2.8,7.4,19.5,108.0,108.0,10.1,0.643,0.6,0.2,2.2,12.4,7.4,2.7,0.9,1.5,15.5,16.0,0.0,0.1,0.1,0.084,-2.6,-0.4,-3.0,0.0
