Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018-19,22.0,IND,NBA,PF,14.0,0.0,64.0,3.1,12.2,0.25,0.8,1.5,0.5,2.3,10.7,0.214,3.1,6.1,0.5,3.1,11.5,14.5,0.8,0.8,2.3,0.0,5.4,9.9,86.0,105.0,6.3,0.333,0.125,0.5,7.1,25.5,16.5,2.0,0.8,4.2,0.0,13.3,-0.1,0.1,0.0,0.027,-5.7,-2.0,-7.7,-0.1
2019-20,23.0,IND,NBA,PF,17.0,1.0,118.0,4.9,11.9,0.414,1.2,3.3,0.375,3.7,8.6,0.429,2.9,4.1,0.7,6.6,13.2,19.7,2.9,1.2,0.8,2.9,4.9,14.0,108.0,105.0,13.3,0.509,0.276,0.345,15.0,29.4,22.3,7.7,1.2,1.5,17.3,15.0,0.1,0.2,0.3,0.111,-1.8,0.2,-1.6,0.0
2020-21,24.0,BRK,NBA,PF,18.0,0.0,189.0,10.2,17.4,0.588,0.3,1.5,0.167,10.0,15.8,0.629,3.3,3.3,1.0,6.9,16.1,23.0,3.6,1.3,1.3,2.3,4.1,24.0,131.0,109.0,23.5,0.638,0.088,0.191,16.6,35.0,26.3,10.9,1.3,2.3,10.9,19.1,0.6,0.3,0.9,0.227,2.7,0.0,2.7,0.2
2021-22,25.0,TOT,NBA,PF,23.0,0.0,167.0,5.0,11.4,0.436,0.0,1.2,0.0,5.0,10.3,0.486,2.1,3.5,0.583,8.2,9.7,17.9,2.6,1.5,0.0,3.5,5.3,12.0,103.0,113.0,10.7,0.463,0.103,0.308,18.8,22.1,20.4,7.1,1.5,0.0,21.3,14.8,0.0,0.1,0.1,0.041,-3.6,-1.8,-5.5,-0.1
2021-22,25.0,CHI,NBA,PF,16.0,0.0,121.0,4.8,9.3,0.522,0.0,0.8,0.0,4.8,8.5,0.571,1.6,2.8,0.571,6.5,8.1,14.5,3.2,1.2,0.0,3.2,6.1,11.3,110.0,115.0,10.2,0.537,0.087,0.304,15.0,18.5,16.7,8.6,1.2,0.0,23.5,12.4,0.1,0.1,0.2,0.063,-3.4,-0.6,-4.0,-0.1
2021-22,25.0,WAS,NBA,PF,3.0,0.0,18.0,5.5,16.5,0.333,0.0,5.5,0.0,5.5,11.0,0.5,0.0,2.7,0.0,13.7,19.2,33.0,0.0,0.0,0.0,8.2,0.0,11.0,72.0,112.0,5.7,0.311,0.333,0.167,31.3,42.4,36.9,0.0,0.0,0.0,31.8,23.3,-0.1,0.0,-0.1,-0.183,-7.7,-8.3,-16.1,-0.1
2021-22,25.0,NOP,NBA,PF,4.0,0.0,28.0,5.3,17.6,0.3,0.0,0.0,,5.3,17.6,0.3,5.3,7.1,0.75,12.3,10.6,22.9,1.8,3.5,0.0,1.8,5.3,15.9,106.0,108.0,15.9,0.383,0.0,0.4,27.1,24.3,25.7,4.9,3.5,0.0,7.8,19.6,0.0,0.0,0.1,0.088,-1.9,-3.0,-4.9,0.0
2022-23,26.0,SAS,NBA,PF,4.0,0.0,30.0,4.7,9.5,0.5,0.0,3.2,0.0,4.7,6.3,0.75,1.6,3.2,0.5,3.2,12.6,15.8,1.6,1.6,0.0,6.3,4.7,11.1,74.0,117.0,4.3,0.509,0.333,0.333,7.0,30.6,18.3,4.2,1.6,0.0,36.8,15.0,-0.1,0.0,-0.1,-0.098,-7.4,-1.7,-9.2,-0.1
Career,,,NBA,,76.0,1.0,568.0,6.5,13.5,0.481,0.4,1.9,0.227,6.1,11.6,0.522,2.7,3.8,0.711,6.6,12.9,19.5,2.7,1.3,0.9,2.7,4.8,16.2,112.0,109.0,14.7,0.531,0.139,0.285,15.3,28.7,22.2,7.7,1.3,1.6,15.3,16.1,0.5,0.8,1.3,0.108,-1.6,-0.8,-2.4,-0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
