Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2009-10,22.0,WAS,NBA,SG,11.0,2.0,182.0,8.1,17.0,0.475,2.0,2.6,0.778,6.0,14.4,0.42,5.2,8.3,0.621,4.3,5.2,9.5,2.0,2.0,0.3,2.9,3.7,23.3,111.0,110.0,16.2,0.564,0.153,0.492,9.3,11.6,10.4,6.4,2.0,0.4,12.2,20.4,0.3,0.1,0.4,0.108,1.7,-0.1,1.6,0.2
2010-11,23.0,TOT,NBA,SG,56.0,34.0,1118.0,5.6,12.2,0.458,0.8,2.4,0.333,4.8,9.8,0.488,3.3,4.2,0.783,2.9,5.5,8.4,1.8,1.8,0.8,2.5,4.3,15.3,103.0,112.0,10.8,0.544,0.193,0.348,6.2,12.7,9.3,5.4,1.8,1.2,15.3,14.5,0.5,0.6,1.0,0.045,-2.1,-0.4,-2.5,-0.1
2010-11,23.0,SAS,NBA,SG,5.0,0.0,18.0,2.9,8.7,0.333,0.0,0.0,,2.9,8.7,0.333,0.0,0.0,,5.8,2.9,8.7,0.0,0.0,5.8,8.7,8.7,5.8,52.0,106.0,-2.1,0.333,0.0,0.0,13.2,6.3,9.7,0.0,0.0,7.9,50.0,15.3,-0.1,0.0,-0.1,-0.175,-8.5,-0.7,-9.2,0.0
2010-11,23.0,WAS,NBA,SG,11.0,5.0,127.0,4.8,10.9,0.444,0.0,0.8,0.0,4.8,10.1,0.48,3.2,4.8,0.667,4.4,4.4,8.9,2.0,2.8,0.0,3.2,4.0,12.9,97.0,110.0,9.9,0.496,0.074,0.444,9.5,10.3,9.9,5.9,2.8,0.0,19.9,14.0,0.0,0.1,0.1,0.023,-2.6,-0.2,-2.8,0.0
2010-11,23.0,CLE,NBA,SG,40.0,29.0,973.0,5.7,12.4,0.462,0.9,2.6,0.347,4.8,9.8,0.492,3.4,4.2,0.8,2.6,5.7,8.3,1.7,1.7,0.8,2.3,4.3,15.7,105.0,112.0,11.1,0.552,0.209,0.342,5.6,13.1,9.3,5.5,1.7,1.3,14.0,14.6,0.6,0.5,1.0,0.052,-1.9,-0.4,-2.3,-0.1
2011-12,24.0,CLE,NBA,SG,63.0,31.0,1827.0,6.5,15.9,0.412,1.3,3.9,0.321,5.3,11.9,0.442,4.8,6.1,0.788,2.9,6.4,9.3,3.3,2.4,0.5,3.3,4.3,19.1,102.0,108.0,13.2,0.516,0.249,0.385,6.1,14.3,10.0,10.6,2.4,0.7,15.0,18.7,1.2,1.2,2.4,0.063,-1.2,-0.2,-1.4,0.3
2012-13,25.0,CLE,NBA,SF,82.0,82.0,2541.0,6.2,15.2,0.41,1.4,4.5,0.315,4.8,10.7,0.45,3.3,4.2,0.795,1.5,5.0,6.6,2.7,2.2,0.6,2.7,4.1,17.2,99.0,110.0,10.5,0.505,0.294,0.276,3.3,11.7,7.3,8.2,2.2,0.9,13.7,16.9,0.5,1.5,1.9,0.036,-2.2,-0.3,-2.6,-0.4
2013-14,26.0,CLE,NBA,SF,65.0,24.0,1020.0,5.0,11.9,0.415,1.0,2.9,0.328,4.0,9.0,0.444,2.2,3.1,0.705,1.8,5.8,7.5,2.4,2.0,0.8,2.2,4.9,13.0,97.0,107.0,8.6,0.491,0.246,0.258,3.8,12.8,8.2,6.9,2.0,1.2,14.3,13.4,-0.1,1.0,0.9,0.041,-3.7,0.6,-3.1,-0.3
2014-15,27.0,TOT,NBA,SF,54.0,2.0,662.0,6.6,14.1,0.468,1.0,2.7,0.371,5.6,11.4,0.49,4.1,5.8,0.701,2.8,4.3,7.1,1.9,2.7,0.5,2.5,4.4,18.3,106.0,107.0,13.0,0.548,0.188,0.414,5.9,9.5,7.7,5.8,2.7,0.8,13.0,16.7,0.6,0.6,1.2,0.086,-1.3,0.7,-0.6,0.2
2014-15,27.0,DEN,NBA,SF,39.0,0.0,511.0,6.5,13.4,0.482,1.0,2.3,0.417,5.5,11.0,0.496,4.7,6.4,0.738,2.8,4.0,6.8,1.9,2.7,0.6,2.4,4.1,18.6,111.0,108.0,14.0,0.574,0.175,0.474,5.9,9.0,7.4,5.7,2.7,0.9,13.1,16.1,0.7,0.4,1.1,0.1,-0.5,0.7,0.2,0.3
2014-15,27.0,POR,NBA,SF,15.0,2.0,151.0,7.1,16.5,0.429,1.0,3.7,0.273,6.1,12.8,0.474,2.0,4.0,0.5,2.7,5.4,8.1,2.0,2.4,0.3,2.7,5.4,17.2,93.0,104.0,9.7,0.47,0.224,0.245,5.8,11.1,8.5,6.0,2.4,0.5,12.8,18.5,-0.1,0.2,0.1,0.039,-3.8,0.6,-3.2,0.0
2015-16,28.0,NOP,NBA,SF,73.0,38.0,1632.0,4.0,7.7,0.518,0.5,1.8,0.283,3.5,5.9,0.59,1.3,2.0,0.667,1.8,5.6,7.4,2.2,1.9,0.4,1.7,5.1,9.9,108.0,110.0,8.4,0.572,0.235,0.259,3.9,13.0,8.3,6.2,1.9,0.7,16.2,9.2,1.0,0.9,1.9,0.056,-3.2,0.6,-2.6,-0.2
2016-17,29.0,DEN,NBA,SF,13.0,0.0,89.0,1.6,7.7,0.214,0.0,1.6,0.0,1.6,6.0,0.273,2.7,4.9,0.556,2.2,6.0,8.2,3.3,2.7,0.5,2.2,7.7,6.0,78.0,111.0,3.1,0.306,0.214,0.643,5.0,13.5,9.3,8.2,2.7,0.9,18.2,10.5,-0.1,0.1,-0.1,-0.032,-7.5,0.7,-6.7,-0.1
Career,,,NBA,,417.0,213.0,9071.0,5.7,13.1,0.434,1.1,3.2,0.325,4.6,9.8,0.469,3.2,4.3,0.754,2.2,5.5,7.7,2.5,2.1,0.6,2.5,4.5,15.6,102.0,109.0,10.7,0.522,0.248,0.325,4.7,12.6,8.5,7.6,2.1,0.9,14.5,15.2,3.8,5.9,9.7,0.051,-2.3,0.1,-2.2,-0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,CLE,NBA,,250.0,166.0,6361.0,6.0,14.4,0.418,1.2,3.8,0.322,4.8,10.6,0.452,3.6,4.6,0.783,2.1,5.6,7.8,2.7,2.1,0.6,2.7,4.3,16.9,101.0,109.0,11.1,0.513,0.262,0.316,4.5,12.9,8.5,8.3,2.1,1.0,14.2,16.5,2.2,4.1,6.3,0.047,-2.1,-0.1,-2.3,-0.4
1 season,,NOP,NBA,,73.0,38.0,1632.0,4.0,7.7,0.518,0.5,1.8,0.283,3.5,5.9,0.59,1.3,2.0,0.667,1.8,5.6,7.4,2.2,1.9,0.4,1.7,5.1,9.9,108.0,110.0,8.4,0.572,0.235,0.259,3.9,13.0,8.3,6.2,1.9,0.7,16.2,9.2,1.0,0.9,1.9,0.056,-3.2,0.6,-2.6,-0.2
2 seasons,,DEN,NBA,,52.0,0.0,600.0,5.7,12.5,0.457,0.8,2.2,0.37,4.9,10.3,0.476,4.4,6.1,0.716,2.7,4.3,7.1,2.1,2.7,0.6,2.4,4.6,16.7,107.0,108.0,12.4,0.548,0.179,0.49,5.8,9.7,7.7,6.1,2.7,0.9,13.6,15.3,0.6,0.5,1.0,0.081,-1.6,0.7,-0.8,0.2
