Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2002-03,20.0,PHO,NBA,PF,82.0,71.0,2570.0,8.0,16.9,0.472,0.0,0.2,0.2,8.0,16.7,0.476,6.5,9.9,0.661,5.1,9.6,14.7,1.6,1.3,1.8,3.9,5.5,22.6,103.0,101.0,16.2,0.53,0.012,0.583,10.9,20.9,15.9,5.0,1.3,2.5,15.3,21.5,2.6,3.6,6.2,0.116,-0.9,-0.4,-1.4,0.4
2003-04,21.0,PHO,NBA,PF,55.0,53.0,2025.0,10.5,22.1,0.475,0.0,0.1,0.2,10.5,22.0,0.477,7.9,11.1,0.713,4.0,8.7,12.7,2.0,1.6,2.3,4.5,4.8,29.0,102.0,103.0,19.8,0.536,0.006,0.503,8.8,19.2,14.0,7.0,1.6,3.3,14.4,27.5,2.4,2.0,4.4,0.105,0.8,-0.7,0.1,1.1
2004-05,22.0,PHO,NBA,C,80.0,80.0,2889.0,12.9,23.1,0.559,0.1,0.3,0.188,12.9,22.9,0.564,10.1,13.8,0.733,3.8,8.6,12.4,2.3,1.3,2.3,3.3,4.8,36.0,121.0,105.0,26.6,0.617,0.012,0.595,8.5,17.4,13.2,7.7,1.3,3.0,10.1,28.3,11.3,3.3,14.6,0.243,4.1,0.3,4.4,4.7
2005-06,23.0,PHO,NBA,C,3.0,3.0,50.0,9.0,27.0,0.333,0.0,1.0,0.0,9.0,26.0,0.346,8.0,9.0,0.889,6.0,10.0,16.0,2.0,1.0,3.0,1.0,4.0,26.0,99.0,102.0,17.8,0.42,0.037,0.333,13.6,21.7,17.8,5.9,1.0,4.2,3.1,28.7,0.0,0.1,0.1,0.085,-2.0,-2.4,-4.4,0.0
2006-07,24.0,PHO,NBA,C,82.0,78.0,2689.0,11.3,19.7,0.575,0.0,0.1,0.0,11.3,19.6,0.577,8.5,10.9,0.781,4.1,10.5,14.7,1.6,1.5,2.1,4.3,5.5,31.2,116.0,103.0,23.1,0.637,0.003,0.555,10.1,23.3,17.0,5.0,1.5,2.9,15.0,25.8,7.2,4.0,11.2,0.201,1.5,0.3,1.8,2.6
2007-08,25.0,PHO,NBA,C,79.0,79.0,2677.0,13.2,22.5,0.59,0.1,0.6,0.161,13.2,21.9,0.601,10.3,12.8,0.805,3.3,10.0,13.3,2.2,1.2,3.0,3.2,5.5,36.9,124.0,104.0,27.6,0.656,0.026,0.571,8.2,21.1,15.2,7.5,1.2,4.0,10.3,28.2,10.9,3.8,14.6,0.262,4.2,0.6,4.8,4.6
2008-09,26.0,PHO,NBA,PF,53.0,53.0,1948.0,10.4,19.2,0.539,0.1,0.2,0.429,10.3,19.1,0.54,8.3,9.9,0.835,3.0,8.1,11.0,2.7,1.3,1.5,3.9,4.2,29.1,117.0,111.0,20.3,0.617,0.009,0.517,7.2,18.1,12.9,8.3,1.3,2.1,14.0,24.2,4.6,1.4,6.1,0.149,1.9,-0.3,1.7,1.8
2009-10,27.0,PHO,NBA,PF,82.0,82.0,2838.0,12.5,22.4,0.557,0.0,0.1,0.167,12.5,22.3,0.559,8.6,11.2,0.771,4.1,8.9,13.0,1.5,0.9,1.5,3.8,5.0,33.6,117.0,109.0,22.6,0.615,0.005,0.5,9.7,18.9,14.5,4.8,0.9,2.1,12.1,27.3,8.2,2.5,10.7,0.181,2.1,-1.1,1.0,2.2
2010-11,28.0,NYK,NBA,C,78.0,78.0,2870.0,13.0,25.9,0.502,0.2,0.4,0.435,12.8,25.5,0.503,8.3,10.4,0.792,3.5,7.7,11.1,3.5,1.2,2.6,4.4,4.8,34.5,109.0,108.0,22.7,0.565,0.016,0.403,7.8,17.6,12.7,13.2,1.2,3.8,12.5,30.9,5.4,2.6,8.0,0.134,2.0,-0.6,1.4,2.4
2011-12,29.0,NYK,NBA,PF,47.0,47.0,1543.0,10.6,21.8,0.483,0.2,0.7,0.238,10.4,21.1,0.491,6.2,8.1,0.765,3.5,8.7,12.3,1.7,1.3,1.5,3.7,4.6,27.5,104.0,101.0,17.7,0.541,0.032,0.372,7.9,19.8,13.7,6.3,1.3,2.3,12.8,25.4,1.8,2.3,4.1,0.128,0.1,-0.4,-0.3,0.7
2012-13,30.0,NYK,NBA,PF,29.0,0.0,682.0,12.1,20.9,0.577,0.0,0.0,,12.1,20.9,0.577,8.2,10.2,0.808,4.7,6.7,11.4,1.0,0.8,1.6,3.9,7.0,32.4,118.0,108.0,22.1,0.637,0.0,0.487,10.0,15.1,12.4,3.6,0.8,2.7,13.4,25.7,2.1,0.6,2.7,0.191,1.6,-0.9,0.7,0.5
