Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2004-05,22.0,CLE,NBA,PF,54.0,0.0,863.0,6.1,12.0,0.513,0.0,0.1,0.0,6.1,11.8,0.518,4.2,7.9,0.535,6.8,9.2,15.9,1.7,2.5,2.4,1.6,7.6,16.5,117.0,101.0,17.0,0.534,0.01,0.658,14.6,20.7,17.6,4.9,2.5,3.3,9.5,14.4,1.5,1.4,3.0,0.164,-0.4,0.6,0.2,0.5
2005-06,23.0,CLE,NBA,C,48.0,4.0,760.0,5.6,10.5,0.527,0.0,0.1,0.0,5.6,10.5,0.53,4.3,8.4,0.513,5.4,11.1,16.5,1.3,2.2,1.3,1.9,8.3,15.4,113.0,101.0,14.8,0.541,0.007,0.793,11.9,24.8,18.3,4.0,2.2,1.9,11.8,14.0,1.1,1.3,2.3,0.146,-1.5,0.7,-0.8,0.2
2006-07,24.0,CLE,NBA,C,81.0,6.0,1932.0,5.2,11.0,0.476,0.0,0.2,0.0,5.2,10.7,0.487,4.5,7.3,0.616,5.2,9.7,14.9,2.1,2.1,1.4,1.8,7.4,15.0,113.0,98.0,14.4,0.527,0.022,0.668,11.2,21.8,16.4,6.0,2.1,2.1,11.4,13.7,2.6,4.0,6.6,0.164,-1.8,1.8,0.0,1.0
2007-08,25.0,CLE,NBA,C,48.0,13.0,1320.0,5.5,11.9,0.461,0.0,0.1,0.0,5.5,11.8,0.464,2.0,3.3,0.598,5.4,10.7,16.1,2.1,1.5,1.0,2.4,5.4,12.9,103.0,104.0,12.0,0.485,0.007,0.278,11.2,23.6,17.2,6.3,1.5,1.6,15.1,13.4,0.5,1.9,2.4,0.086,-2.7,0.1,-2.6,-0.2
2008-09,26.0,CLE,NBA,PF,81.0,42.0,2306.0,6.3,11.8,0.536,0.0,0.0,0.0,6.3,11.8,0.538,3.6,5.9,0.616,3.9,9.7,13.6,1.9,1.8,1.5,1.9,5.6,16.3,116.0,100.0,14.6,0.565,0.004,0.496,8.9,20.6,15.0,5.4,1.8,2.3,11.5,14.2,3.3,4.7,8.0,0.166,-1.0,1.6,0.6,1.5
2009-10,27.0,CLE,NBA,PF,76.0,7.0,2166.0,6.5,11.3,0.572,0.0,0.1,0.2,6.5,11.2,0.576,2.8,4.2,0.663,4.6,9.4,14.0,2.1,1.7,1.6,1.6,5.4,15.8,123.0,102.0,15.8,0.598,0.011,0.375,10.9,20.4,15.9,6.1,1.7,2.4,11.0,13.1,4.3,3.8,8.1,0.179,0.1,1.2,1.3,1.8
2010-11,28.0,CLE,NBA,C,31.0,31.0,994.0,5.9,11.2,0.528,0.0,0.1,0.0,5.9,11.1,0.533,2.8,4.2,0.667,5.1,10.5,15.6,2.3,1.4,2.0,2.1,4.5,14.6,114.0,108.0,15.2,0.56,0.009,0.375,11.0,24.1,17.4,7.4,1.4,2.9,13.7,13.3,1.3,0.9,2.2,0.105,-0.9,0.1,-0.8,0.3
2011-12,29.0,CLE,NBA,C,25.0,25.0,785.0,7.6,14.9,0.514,0.0,0.3,0.0,7.6,14.6,0.523,2.9,4.3,0.672,7.3,11.9,19.2,2.9,2.3,1.1,3.0,4.2,18.1,110.0,103.0,18.9,0.542,0.018,0.288,15.2,26.8,20.8,9.7,2.3,1.6,15.2,16.9,1.2,0.9,2.1,0.131,1.3,-0.2,1.1,0.6
2012-13,30.0,CLE,NBA,C,25.0,25.0,901.0,8.0,16.7,0.478,0.0,0.3,0.0,8.0,16.4,0.486,4.4,5.9,0.755,8.0,12.9,20.8,4.8,2.1,0.8,2.5,3.9,20.4,117.0,104.0,21.7,0.529,0.017,0.353,16.9,30.1,23.2,15.4,2.1,1.3,11.6,18.7,2.2,1.1,3.3,0.173,3.8,-0.1,3.7,1.3
2013-14,31.0,CLE,NBA,C,65.0,29.0,1800.0,6.5,13.1,0.495,0.0,0.2,0.0,6.5,12.9,0.502,2.6,3.9,0.681,5.4,12.7,18.0,4.0,2.0,1.1,2.1,4.7,15.6,114.0,103.0,17.0,0.527,0.015,0.294,11.4,28.2,19.6,12.2,2.0,1.8,12.2,14.6,2.7,2.7,5.4,0.144,0.3,1.1,1.4,1.6
