Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2001-02,20.0,UTA,NBA,SF,82.0,40.0,2151.0,7.0,15.7,0.45,0.6,2.5,0.25,6.4,13.2,0.488,7.0,9.2,0.768,3.7,6.3,9.9,2.3,2.9,3.9,2.7,3.9,21.8,113.0,100.0,18.8,0.553,0.158,0.586,8.3,14.2,11.2,7.4,2.9,5.9,11.9,19.0,4.0,3.3,7.3,0.164,1.8,1.9,3.7,3.1
2002-03,21.0,UTA,NBA,SF,80.0,11.0,2213.0,7.7,15.6,0.491,0.9,2.8,0.325,6.8,12.8,0.527,7.2,9.0,0.8,3.6,6.6,10.2,3.4,2.9,4.3,3.3,4.5,23.4,116.0,98.0,21.1,0.598,0.178,0.576,8.4,14.4,11.5,10.6,2.9,6.1,14.5,19.6,5.3,3.8,9.2,0.199,3.0,2.9,5.8,4.4
2003-04,22.0,UTA,NBA,PF,78.0,78.0,2895.0,7.9,17.8,0.443,1.3,3.8,0.338,6.6,14.0,0.471,7.5,9.5,0.79,4.3,7.7,12.0,4.7,2.9,4.1,4.1,3.3,24.6,111.0,97.0,22.6,0.559,0.216,0.533,9.5,17.5,13.5,15.7,2.9,6.3,15.8,21.9,6.5,5.0,11.6,0.192,5.0,2.9,7.9,7.2
2004-05,23.0,UTA,NBA,PF,41.0,37.0,1349.0,8.3,16.9,0.493,0.9,3.1,0.299,7.4,13.8,0.536,8.2,10.4,0.784,3.6,6.7,10.3,5.3,2.7,5.5,3.6,4.1,25.8,117.0,102.0,24.4,0.599,0.183,0.617,8.0,15.7,11.7,17.4,2.7,8.5,14.4,21.3,3.5,2.0,5.5,0.197,5.5,3.7,9.2,3.8
2005-06,24.0,UTA,NBA,SF,69.0,63.0,2604.0,7.1,15.3,0.46,0.8,2.5,0.308,6.3,12.9,0.489,7.3,10.4,0.699,3.4,8.2,11.6,6.3,2.1,4.6,4.3,3.4,22.1,108.0,101.0,20.7,0.556,0.16,0.678,7.4,18.4,12.9,20.5,2.1,7.0,17.6,20.5,3.6,4.3,7.9,0.145,3.4,3.1,6.6,5.6
2006-07,25.0,UTA,NBA,SF,70.0,70.0,2049.0,5.0,10.7,0.471,0.4,1.9,0.213,4.6,8.8,0.528,4.5,6.1,0.728,2.3,6.2,8.4,5.2,1.9,3.7,3.5,4.4,14.9,106.0,103.0,14.3,0.558,0.179,0.572,5.2,14.3,9.8,14.5,1.9,5.8,20.5,14.4,1.6,2.9,4.4,0.104,0.7,3.1,3.8,3.0
2007-08,26.0,UTA,NBA,SF,72.0,72.0,2217.0,6.4,12.6,0.506,1.0,2.7,0.379,5.4,9.9,0.54,4.6,6.0,0.77,2.8,5.1,7.9,6.6,2.0,2.5,3.3,3.8,18.4,118.0,105.0,17.2,0.603,0.213,0.472,6.7,11.9,9.3,18.2,2.0,4.0,17.6,16.1,4.3,2.8,7.1,0.154,3.1,2.0,5.2,4.0
2008-09,27.0,UTA,NBA,PF,67.0,10.0,1831.0,7.2,16.0,0.449,0.6,2.1,0.274,6.6,14.0,0.475,6.9,8.8,0.785,2.4,6.6,9.0,4.9,2.3,2.2,3.4,3.6,21.8,109.0,105.0,16.8,0.549,0.128,0.546,5.5,15.3,10.4,14.7,2.3,3.3,14.6,20.3,2.0,2.6,4.6,0.122,0.9,1.7,2.6,2.2
2009-10,28.0,UTA,NBA,SF,58.0,35.0,1681.0,7.4,14.7,0.506,0.8,2.7,0.292,6.6,12.0,0.555,5.3,7.1,0.744,2.3,5.7,8.0,4.8,2.5,2.2,2.4,3.1,20.9,117.0,103.0,18.2,0.588,0.185,0.485,5.5,12.9,9.3,14.0,2.5,3.4,11.9,17.7,3.3,2.7,6.0,0.171,2.7,2.4,5.1,3.0
2010-11,29.0,UTA,NBA,SF,64.0,62.0,1999.0,6.7,14.3,0.467,0.9,2.6,0.367,5.7,11.7,0.489,5.5,7.1,0.77,2.6,6.0,8.6,5.1,2.1,2.0,3.1,3.0,19.8,112.0,109.0,16.6,0.567,0.181,0.498,6.0,13.8,9.9,14.9,2.1,3.0,15.0,17.8,2.9,1.7,4.5,0.109,1.7,0.5,2.2,2.1
2012-13,31.0,MIN,NBA,SF,64.0,64.0,2034.0,7.2,14.2,0.507,0.9,3.1,0.292,6.3,11.2,0.566,4.8,6.4,0.752,2.6,6.6,9.2,4.5,2.4,1.6,3.0,2.1,20.1,113.0,104.0,17.6,0.59,0.214,0.446,5.6,15.1,10.2,14.4,2.4,2.4,15.1,17.4,3.4,2.6,6.0,0.142,1.8,1.8,3.5,2.9
2013-14,32.0,BRK,NBA,PF,45.0,4.0,857.0,5.0,9.8,0.513,0.1,0.3,0.2,5.0,9.5,0.523,3.7,7.3,0.513,3.4,5.6,8.9,4.4,2.4,1.2,3.3,4.0,13.8,103.0,107.0,12.4,0.532,0.031,0.744,7.7,12.7,10.2,13.1,2.4,1.9,20.3,14.6,0.4,0.9,1.3,0.07,-1.1,0.8,-0.4,0.4
2014-15,33.0,BRK,NBA,SF,7.0,0.0,36.0,0.0,7.2,0.0,0.0,0.0,,0.0,7.2,0.0,4.3,5.8,0.75,2.9,8.6,11.5,1.4,1.4,0.0,1.4,1.4,4.3,65.0,108.0,2.8,0.222,0.0,0.8,6.2,18.6,12.5,3.6,1.4,0.0,12.9,9.8,-0.1,0.0,0.0,-0.058,-4.4,-1.3,-5.7,0.0
Career,,,NBA,,797.0,546.0,23916.0,7.0,14.7,0.474,0.8,2.6,0.31,6.2,12.1,0.51,6.1,8.1,0.754,3.1,6.5,9.6,4.8,2.4,3.2,3.4,3.6,20.9,112.0,103.0,18.7,0.571,0.179,0.554,7.1,14.9,11.0,14.7,2.4,5.0,15.5,18.6,40.7,34.7,75.4,0.151,2.6,2.3,4.9,41.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 seasons,,UTA,NBA,,681.0,478.0,20989.0,7.0,15.0,0.47,0.8,2.7,0.312,6.2,12.3,0.505,6.4,8.4,0.763,3.1,6.6,9.7,4.9,2.4,3.5,3.4,3.7,21.3,112.0,102.0,19.1,0.571,0.179,0.559,7.2,15.0,11.1,14.9,2.4,5.4,15.4,18.9,37.0,31.2,68.2,0.156,2.8,2.4,5.3,38.5
1 season,,MIN,NBA,,64.0,64.0,2034.0,7.2,14.2,0.507,0.9,3.1,0.292,6.3,11.2,0.566,4.8,6.4,0.752,2.6,6.6,9.2,4.5,2.4,1.6,3.0,2.1,20.1,113.0,104.0,17.6,0.59,0.214,0.446,5.6,15.1,10.2,14.4,2.4,2.4,15.1,17.4,3.4,2.6,6.0,0.142,1.8,1.8,3.5,2.9
2 seasons,,BRK,NBA,,52.0,4.0,893.0,4.8,9.7,0.497,0.1,0.3,0.2,4.8,9.4,0.506,3.8,7.2,0.52,3.3,5.7,9.0,4.3,2.4,1.1,3.2,3.9,13.5,102.0,107.0,12.1,0.523,0.03,0.745,7.6,12.9,10.3,12.7,2.4,1.8,20.1,14.4,0.3,0.9,1.2,0.065,-1.3,0.7,-0.6,0.3
