Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2004-05,18.0,GSW,NBA,C,30.0,1.0,384.0,6.0,10.5,0.577,0.0,0.1,0.0,6.0,10.3,0.584,2.5,5.4,0.475,6.3,9.5,15.8,1.6,1.6,3.2,1.6,11.7,14.6,119.0,102.0,14.8,0.57,0.013,0.513,12.7,21.1,16.7,4.9,1.6,4.4,11.2,12.4,0.7,0.6,1.2,0.154,-3.2,1.5,-1.7,0.0
2005-06,19.0,GSW,NBA,C,68.0,2.0,1000.0,6.1,9.5,0.638,0.0,0.0,,6.1,9.5,0.638,1.1,3.7,0.306,6.4,8.2,14.6,1.2,1.2,2.4,1.7,9.8,13.3,119.0,104.0,13.6,0.595,0.0,0.389,13.5,18.2,15.8,3.9,1.2,3.5,13.6,11.2,1.6,1.3,2.9,0.137,-2.3,0.6,-1.6,0.1
2006-07,20.0,GSW,NBA,C,82.0,63.0,2382.0,7.1,11.8,0.599,0.0,0.0,,7.1,11.8,0.599,1.8,3.4,0.521,5.1,10.4,15.5,1.8,1.4,2.8,2.4,6.2,15.9,115.0,104.0,16.2,0.598,0.0,0.287,11.3,24.0,17.5,5.4,1.4,4.3,15.4,13.8,3.5,3.3,6.7,0.136,-1.0,0.6,-0.3,1.0
2007-08,21.0,GSW,NBA,C,76.0,59.0,2078.0,7.9,12.7,0.626,0.0,0.0,,7.9,12.7,0.626,2.7,4.4,0.62,6.0,11.4,17.4,1.8,1.3,2.2,2.0,6.1,18.6,127.0,106.0,19.2,0.637,0.0,0.344,12.7,26.2,19.1,5.2,1.3,3.3,12.0,14.4,5.4,2.6,8.0,0.185,1.1,0.1,1.1,1.6
2008-09,22.0,GSW,NBA,C,62.0,58.0,1863.0,8.1,14.0,0.578,0.0,0.0,0.0,8.1,14.0,0.579,3.1,5.7,0.551,5.9,12.3,18.2,3.2,1.7,2.5,2.9,6.2,19.3,116.0,107.0,19.1,0.585,0.002,0.405,13.0,27.4,20.2,10.0,1.7,3.6,14.9,16.9,3.3,2.1,5.4,0.139,0.9,0.4,1.3,1.5
2009-10,23.0,GSW,NBA,C,33.0,29.0,763.0,5.1,8.6,0.591,0.0,0.0,,5.1,8.6,0.591,0.3,1.6,0.16,3.9,12.3,16.2,3.6,1.3,2.8,2.0,7.3,10.4,113.0,107.0,13.0,0.561,0.0,0.182,9.1,29.0,18.9,10.1,1.3,4.1,17.8,10.1,0.7,0.9,1.6,0.101,-1.9,1.7,-0.2,0.4
2010-11,24.0,GSW,NBA,C,59.0,55.0,1397.0,5.1,9.6,0.534,0.0,0.0,,5.1,9.6,0.534,0.4,1.1,0.323,5.3,10.2,15.4,2.2,1.9,1.9,2.1,7.2,10.7,109.0,107.0,12.1,0.526,0.0,0.117,11.5,23.3,17.3,6.0,1.9,2.8,16.9,10.6,1.1,1.5,2.6,0.088,-2.5,0.2,-2.3,-0.1
2011-12,25.0,GSW,NBA,C,47.0,35.0,739.0,2.7,4.5,0.609,0.0,0.0,,2.7,4.5,0.609,0.1,0.6,0.111,3.2,9.2,12.4,1.1,1.6,3.2,1.0,8.8,5.6,118.0,105.0,8.8,0.581,0.0,0.141,6.9,20.0,13.5,3.0,1.6,4.7,17.1,5.1,0.6,0.7,1.3,0.085,-3.8,1.5,-2.3,0.0
2012-13,26.0,GSW,NBA,C,53.0,9.0,495.0,1.0,2.2,0.476,0.0,0.0,,1.0,2.2,0.476,0.4,1.3,0.308,3.5,12.2,15.7,1.4,1.5,4.3,1.4,10.4,2.5,102.0,98.0,7.7,0.449,0.0,0.619,7.8,25.7,17.0,3.7,1.5,6.6,34.4,3.7,0.1,1.0,1.1,0.102,-4.8,3.8,-1.0,0.1
2013-14,27.0,UTA,NBA,C,6.0,0.0,45.0,1.2,1.2,1.0,0.0,0.0,,1.2,1.2,1.0,1.2,7.0,0.167,2.3,17.5,19.8,0.0,0.0,0.0,2.3,7.0,3.5,62.0,109.0,2.4,0.412,0.0,6.0,5.0,39.7,21.8,0.0,0.0,0.0,35.5,5.7,-0.1,0.0,0.0,-0.033,-6.2,-2.0,-8.2,-0.1
Career,,,NBA,,516.0,311.0,11146.0,6.4,10.7,0.594,0.0,0.0,0.0,6.4,10.7,0.595,1.7,3.4,0.5,5.3,10.8,16.1,2.1,1.5,2.6,2.1,7.2,14.4,117.0,105.0,15.3,0.591,0.001,0.318,11.5,24.5,17.9,6.1,1.5,3.8,14.9,12.4,16.7,14.0,30.7,0.132,-1.1,0.7,-0.4,4.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 seasons,,GSW,NBA,,510.0,311.0,11101.0,6.4,10.7,0.594,0.0,0.0,0.0,6.4,10.7,0.595,1.7,3.4,0.503,5.3,10.8,16.1,2.1,1.5,2.6,2.1,7.2,14.4,117.0,105.0,15.3,0.591,0.001,0.316,11.5,24.4,17.9,6.1,1.5,3.9,14.8,12.5,16.8,13.9,30.7,0.133,-1.1,0.7,-0.3,4.6
1 season,,UTA,NBA,,6.0,0.0,45.0,1.2,1.2,1.0,0.0,0.0,,1.2,1.2,1.0,1.2,7.0,0.167,2.3,17.5,19.8,0.0,0.0,0.0,2.3,7.0,3.5,62.0,109.0,2.4,0.412,0.0,6.0,5.0,39.7,21.8,0.0,0.0,0.0,35.5,5.7,-0.1,0.0,0.0,-0.033,-6.2,-2.0,-8.2,-0.1
