Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2015-16,23.0,LAL,NBA,SF,29.0,11.0,599.0,3.3,10.6,0.31,1.7,5.9,0.286,1.6,4.7,0.339,1.4,1.7,0.85,0.8,5.1,5.9,1.6,1.2,0.4,1.3,2.9,9.6,88.0,114.0,4.9,0.427,0.556,0.159,1.6,11.3,6.3,4.8,1.2,0.7,10.0,11.0,-0.4,0.1,-0.3,-0.024,-4.5,-1.0,-5.5,-0.5
2016-17,24.0,TOT,NBA,SF,11.0,0.0,159.0,5.6,15.4,0.36,2.2,8.3,0.259,3.4,7.1,0.478,0.0,0.0,,2.5,7.7,10.2,2.5,1.5,0.3,1.9,4.6,13.3,89.0,108.0,7.2,0.43,0.54,0.0,5.3,16.9,11.0,7.6,1.5,0.5,10.7,15.6,-0.2,0.2,0.0,0.001,-4.5,0.1,-4.4,-0.1
2016-17,24.0,NOP,NBA,SF,9.0,0.0,143.0,4.8,14.0,0.341,2.1,8.2,0.25,2.7,5.8,0.471,0.0,0.0,,2.1,6.8,8.9,2.1,1.7,0.3,1.7,4.5,11.6,85.0,108.0,5.9,0.415,0.585,0.0,4.4,14.8,9.6,5.9,1.7,0.6,10.9,14.2,-0.2,0.2,0.0,-0.007,-5.0,0.5,-4.5,-0.1
2016-17,24.0,ORL,NBA,SF,2.0,0.0,16.0,12.4,27.9,0.444,3.1,9.3,0.333,9.3,18.6,0.5,0.0,0.0,,6.2,15.5,21.7,6.2,0.0,0.0,3.1,6.2,27.9,104.0,110.0,18.5,0.5,0.333,0.0,13.2,35.0,23.8,23.0,0.0,0.0,10.0,27.5,0.0,0.0,0.0,0.076,-0.1,-3.1,-3.2,0.0
2017-18,25.0,MIN,NBA,SF,1.0,0.0,4.0,12.5,12.5,1.0,12.5,12.5,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,37.5,279.0,120.0,41.9,1.5,1.0,0.0,0.0,0.0,0.0,41.7,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.571,26.2,4.3,30.5,0.0
Career,,,NBA,,41.0,11.0,762.0,3.8,11.6,0.328,1.8,6.4,0.286,2.0,5.2,0.38,1.1,1.3,0.85,1.1,5.6,6.8,1.8,1.2,0.4,1.4,3.2,10.6,90.0,113.0,5.6,0.433,0.554,0.113,2.3,12.4,7.2,5.6,1.2,0.6,10.2,12.0,-0.5,0.2,-0.2,-0.016,-4.3,-0.8,-5.1,-0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,LAL,NBA,,29.0,11.0,599.0,3.3,10.6,0.31,1.7,5.9,0.286,1.6,4.7,0.339,1.4,1.7,0.85,0.8,5.1,5.9,1.6,1.2,0.4,1.3,2.9,9.6,88.0,114.0,4.9,0.427,0.556,0.159,1.6,11.3,6.3,4.8,1.2,0.7,10.0,11.0,-0.4,0.1,-0.3,-0.024,-4.5,-1.0,-5.5,-0.5
1 season,,NOP,NBA,,9.0,0.0,143.0,4.8,14.0,0.341,2.1,8.2,0.25,2.7,5.8,0.471,0.0,0.0,,2.1,6.8,8.9,2.1,1.7,0.3,1.7,4.5,11.6,85.0,108.0,5.9,0.415,0.585,0.0,4.4,14.8,9.6,5.9,1.7,0.6,10.9,14.2,-0.2,0.2,0.0,-0.007,-5.0,0.5,-4.5,-0.1
1 season,,ORL,NBA,,2.0,0.0,16.0,12.4,27.9,0.444,3.1,9.3,0.333,9.3,18.6,0.5,0.0,0.0,,6.2,15.5,21.7,6.2,0.0,0.0,3.1,6.2,27.9,104.0,110.0,18.5,0.5,0.333,0.0,13.2,35.0,23.8,23.0,0.0,0.0,10.0,27.5,0.0,0.0,0.0,0.076,-0.1,-3.1,-3.2,0.0
1 season,,MIN,NBA,,1.0,0.0,4.0,12.5,12.5,1.0,12.5,12.5,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,37.5,279.0,120.0,41.9,1.5,1.0,0.0,0.0,0.0,0.0,41.7,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.571,26.2,4.3,30.5,0.0
