Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1997-98,22.0,PHI,NBA,SG,37.0,0.0,196.0,6.8,17.1,0.397,2.4,7.6,0.321,4.3,9.5,0.457,3.5,5.4,0.65,2.2,4.9,7.0,5.1,3.0,0.8,3.0,4.6,19.5,103.0,105.0,14.0,0.501,0.444,0.317,4.7,10.6,7.6,16.4,3.0,1.1,13.3,19.0,0.2,0.2,0.4,0.088,0.0,1.0,1.0,0.1
1998-99,23.0,PHI,NBA,SG,2.0,0.0,3.0,18.1,18.1,1.0,0.0,0.0,,18.1,18.1,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1,200.0,109.0,30.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0.0,0.0,0.0,0.274,10.2,2.6,12.7,0.0
1999-00,24.0,ORL,NBA,SG,16.0,0.0,185.0,6.4,15.2,0.421,0.3,3.7,0.071,6.1,11.5,0.535,2.1,2.9,0.727,1.3,5.9,7.2,2.7,2.1,1.1,2.9,3.5,15.2,91.0,102.0,9.7,0.461,0.246,0.193,3.0,12.9,8.0,8.0,2.1,1.5,15.1,16.6,-0.1,0.2,0.2,0.04,-2.8,0.8,-2.0,0.0
2006-07,31.0,TOR,NBA,SG,73.0,73.0,2437.0,7.0,14.6,0.477,2.4,5.6,0.441,4.5,9.1,0.5,2.8,3.4,0.835,1.3,4.7,6.0,3.3,1.6,0.2,1.5,2.9,19.2,117.0,108.0,14.5,0.597,0.38,0.23,2.9,10.9,6.8,9.9,1.6,0.3,8.6,15.7,4.4,2.1,6.5,0.127,0.9,0.4,1.4,2.1
2007-08,32.0,TOR,NBA,SG,82.0,82.0,2634.0,8.0,16.7,0.476,2.7,6.1,0.438,5.3,10.6,0.499,2.1,2.5,0.816,1.0,5.7,6.7,3.7,1.6,0.3,1.8,3.2,20.7,113.0,108.0,14.4,0.58,0.367,0.151,2.2,12.9,7.5,10.8,1.6,0.5,9.0,17.4,3.8,2.5,6.2,0.113,0.6,0.2,0.9,1.9
2008-09,33.0,TOR,NBA,SG,80.0,71.0,2637.0,6.4,14.9,0.426,1.9,4.8,0.39,4.5,10.2,0.442,2.4,2.9,0.834,0.9,5.4,6.3,5.3,2.0,0.3,2.3,2.9,17.0,105.0,111.0,12.1,0.524,0.32,0.192,2.0,12.0,7.1,15.7,2.0,0.4,12.2,16.3,1.4,2.0,3.4,0.063,-1.1,0.4,-0.7,0.8
2009-10,34.0,CLE,NBA,SG,81.0,81.0,2289.0,4.7,10.9,0.434,2.5,6.0,0.414,2.2,4.9,0.458,1.7,2.2,0.789,0.7,4.6,5.3,3.6,1.4,0.4,1.6,3.5,13.7,113.0,107.0,9.9,0.576,0.549,0.2,1.6,10.0,6.0,9.9,1.4,0.6,12.1,12.0,2.3,2.6,4.9,0.103,-1.0,0.7,-0.3,1.0
2010-11,35.0,CLE,NBA,SF,72.0,65.0,2091.0,5.4,13.6,0.399,2.1,5.6,0.379,3.3,8.0,0.412,1.8,2.3,0.779,0.8,4.6,5.4,5.4,1.7,0.2,2.0,2.7,14.8,103.0,113.0,10.5,0.505,0.411,0.172,1.8,10.5,6.0,16.7,1.7,0.4,11.9,14.6,0.9,0.6,1.5,0.034,-1.7,-0.3,-2.0,0.0
2011-12,36.0,CLE,NBA,SF,51.0,51.0,1280.0,5.8,13.4,0.433,2.1,5.7,0.362,3.7,7.7,0.484,1.4,2.3,0.625,0.4,5.3,5.7,4.9,1.6,0.3,2.1,2.7,15.1,105.0,110.0,10.9,0.523,0.423,0.172,0.9,11.8,6.1,15.7,1.6,0.4,12.5,14.1,1.0,0.4,1.4,0.052,-1.3,-0.3,-1.7,0.1
Career,,,NBA,,494.0,423.0,13752.0,6.3,14.2,0.444,2.3,5.6,0.404,4.0,8.6,0.469,2.1,2.7,0.794,0.9,5.1,6.0,4.3,1.7,0.3,1.9,3.0,17.0,110.0,109.0,12.2,0.552,0.394,0.188,2.1,11.4,6.7,12.8,1.7,0.5,10.9,15.3,13.9,10.6,24.5,0.085,-0.5,0.3,-0.2,6.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
