Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1997-98,22.0,VAN,NBA,SG,74.0,50.0,1956.0,6.1,14.6,0.416,0.3,1.4,0.212,5.8,13.2,0.438,3.0,4.5,0.659,0.6,3.2,3.8,8.9,1.5,0.3,4.4,2.3,15.4,93.0,115.0,9.9,0.465,0.095,0.31,1.3,7.1,4.2,26.6,1.5,0.4,20.8,17.9,-0.9,-0.4,-1.3,-0.032,-2.4,-2.6,-5.0,-1.5
1998-99,23.0,SAS,NBA,PG,47.0,0.0,614.0,7.3,16.1,0.454,0.4,1.5,0.294,6.9,14.6,0.47,4.3,5.7,0.754,1.1,3.6,4.8,9.3,2.6,0.5,3.9,3.4,19.4,105.0,97.0,16.1,0.52,0.093,0.355,2.5,7.1,4.9,29.5,2.6,0.7,17.2,19.4,0.8,1.0,1.8,0.143,0.2,1.4,1.6,0.6
1999-00,24.0,SAS,NBA,SG,68.0,1.0,1195.0,7.2,15.2,0.474,1.0,2.9,0.333,6.2,12.3,0.507,3.2,4.5,0.713,0.7,3.1,3.8,7.8,2.4,0.2,2.6,3.2,18.6,110.0,101.0,15.2,0.541,0.192,0.294,1.6,6.4,4.1,24.4,2.4,0.3,13.0,17.2,1.9,1.7,3.6,0.144,0.3,1.2,1.5,1.0
2000-01,25.0,SAS,NBA,PG,79.0,23.0,2060.0,7.2,15.3,0.468,1.9,4.8,0.404,5.2,10.5,0.496,3.1,4.1,0.776,0.7,3.6,4.2,7.9,1.6,0.4,2.8,3.1,19.4,113.0,102.0,15.5,0.567,0.311,0.265,1.5,7.2,4.5,24.9,1.6,0.5,14.2,17.5,4.1,2.4,6.6,0.153,1.3,0.4,1.7,1.9
2001-02,26.0,SAS,NBA,SG,82.0,13.0,2175.0,6.6,15.0,0.44,1.4,4.8,0.291,5.2,10.2,0.51,3.9,5.1,0.752,0.6,3.8,4.3,5.6,1.2,0.3,1.7,2.5,18.5,113.0,104.0,13.4,0.534,0.32,0.343,1.3,7.8,4.7,17.2,1.2,0.4,9.0,16.6,3.7,2.3,5.9,0.131,0.2,0.2,0.4,1.3
2002-03,27.0,POR,NBA,SG,67.0,2.0,872.0,5.2,11.5,0.452,1.1,3.6,0.305,4.1,7.8,0.52,4.0,4.7,0.855,0.7,3.8,4.4,5.2,2.0,0.6,2.0,2.6,15.5,117.0,105.0,13.3,0.572,0.317,0.409,1.5,8.4,5.0,14.9,2.0,0.8,12.7,13.3,1.6,0.8,2.3,0.128,0.1,0.9,1.0,0.7
2003-04,28.0,SEA,NBA,PG,71.0,32.0,1512.0,6.6,14.0,0.47,1.5,4.1,0.362,5.1,10.0,0.514,5.5,6.5,0.842,0.8,4.2,5.0,10.5,1.6,0.2,2.2,2.3,20.2,129.0,111.0,19.7,0.596,0.291,0.462,1.8,9.2,5.5,31.9,1.6,0.3,11.3,16.5,5.8,0.0,5.8,0.184,3.9,-1.0,2.9,1.9
2004-05,29.0,SEA,NBA,PG,75.0,2.0,2026.0,7.4,16.8,0.438,1.3,4.4,0.297,6.0,12.3,0.489,6.7,8.2,0.816,0.5,4.0,4.6,8.3,1.4,0.1,2.1,2.1,22.7,124.0,113.0,18.0,0.557,0.265,0.488,1.2,9.0,5.1,25.6,1.4,0.1,9.3,19.0,6.3,0.5,6.8,0.16,3.0,-0.8,2.2,2.2
2005-06,30.0,WAS,NBA,SG,80.0,17.0,2283.0,5.2,12.5,0.418,0.5,2.3,0.228,4.7,10.2,0.461,6.5,7.7,0.845,0.4,3.5,3.9,6.5,1.2,0.2,2.0,2.2,17.5,118.0,111.0,13.7,0.55,0.184,0.611,0.9,8.0,4.4,19.2,1.2,0.3,11.3,15.4,4.3,0.9,5.3,0.111,0.1,-0.8,-0.7,0.8
2006-07,31.0,WAS,NBA,SG,80.0,8.0,1761.0,5.0,11.3,0.442,0.6,1.8,0.302,4.4,9.4,0.469,6.0,7.2,0.832,0.5,3.9,4.4,8.4,1.1,0.3,2.0,2.3,16.5,123.0,114.0,15.0,0.572,0.162,0.643,1.1,8.9,4.9,24.3,1.1,0.4,12.1,14.2,4.1,0.2,4.3,0.116,1.0,-1.2,-0.3,0.8
2007-08,32.0,WAS,NBA,PG,71.0,63.0,2161.0,5.1,11.1,0.459,0.4,1.8,0.23,4.7,9.3,0.504,4.2,5.4,0.776,0.6,4.5,5.0,8.4,1.7,0.0,2.3,1.9,14.8,117.0,112.0,13.7,0.549,0.166,0.49,1.2,10.0,5.5,24.0,1.7,0.1,14.3,13.5,3.5,1.0,4.5,0.099,-0.4,-0.3,-0.8,0.7
2008-09,33.0,TOT,NBA,PG,74.0,9.0,1021.0,5.2,12.5,0.419,1.2,3.2,0.367,4.1,9.3,0.438,4.2,5.3,0.8,0.3,3.8,4.1,9.4,1.4,0.1,3.3,2.9,15.9,108.0,112.0,12.1,0.536,0.254,0.424,0.6,8.5,4.5,26.9,1.4,0.1,18.1,15.9,0.9,0.6,1.5,0.068,-1.3,-1.4,-2.6,-0.2
2008-09,33.0,WAS,NBA,PG,13.0,5.0,288.0,3.3,8.2,0.4,0.9,2.0,0.455,2.4,6.2,0.382,4.6,6.0,0.758,0.0,4.0,4.0,8.6,1.3,0.0,2.4,2.6,12.1,114.0,117.0,10.8,0.554,0.244,0.733,0.0,9.2,4.5,23.4,1.3,0.0,17.9,11.5,0.3,0.0,0.3,0.053,-2.0,-1.4,-3.4,-0.1
