Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1996-97,22.0,WSB,NBA,PF,34.0,0.0,197.0,4.2,12.1,0.348,0.0,0.0,,4.2,12.1,0.348,1.6,5.3,0.3,6.6,8.7,15.3,0.5,2.1,2.9,4.7,7.1,10.0,72.0,101.0,6.0,0.347,0.0,0.435,15.1,19.3,17.2,1.4,2.1,4.2,24.7,16.6,-0.6,0.3,-0.2,-0.052,-7.6,-0.7,-8.3,-0.3
1997-98,23.0,WAS,NBA,C,67.0,16.0,1124.0,4.0,7.6,0.518,0.0,0.0,,4.0,7.6,0.518,1.6,4.6,0.357,5.2,9.9,15.1,0.8,2.8,3.3,1.3,5.4,9.5,107.0,98.0,13.4,0.495,0.0,0.598,11.0,22.2,16.4,2.3,2.8,4.6,11.9,9.3,0.8,2.2,2.9,0.125,-1.6,2.3,0.7,0.8
1998-99,24.0,WAS,NBA,C,46.0,16.0,1231.0,5.0,8.6,0.578,0.0,0.0,,5.0,8.6,0.578,2.0,5.7,0.356,6.0,10.7,16.7,0.8,2.2,3.9,1.6,4.8,12.0,111.0,97.0,16.2,0.539,0.0,0.663,12.7,23.9,18.2,2.3,2.2,5.5,12.3,11.0,1.5,2.1,3.6,0.142,0.3,1.5,1.7,1.2
1999-00,25.0,ORL,NBA,PF,81.0,81.0,1959.0,4.2,8.4,0.503,0.0,0.0,,4.2,8.4,0.503,1.4,2.9,0.474,5.3,11.4,16.7,1.7,1.8,3.3,1.7,4.1,9.8,109.0,96.0,14.4,0.508,0.0,0.341,11.8,25.2,18.5,4.8,1.8,4.6,14.9,9.7,1.7,3.9,5.6,0.138,-0.3,2.1,1.8,1.9
2000-01,26.0,DET,NBA,C,80.0,80.0,2760.0,3.9,8.1,0.49,0.0,0.1,0.25,3.9,8.0,0.492,1.5,4.4,0.336,5.6,13.8,19.3,2.3,2.0,3.4,2.1,3.5,9.4,100.0,94.0,14.8,0.47,0.009,0.542,11.5,29.6,20.4,6.8,2.0,4.8,17.7,10.4,1.0,6.0,7.0,0.121,-0.6,2.5,1.9,2.7
2001-02,27.0,DET,NBA,C,80.0,80.0,2921.0,4.7,8.8,0.531,0.0,0.1,0.0,4.7,8.7,0.535,1.8,4.3,0.423,5.8,13.2,19.0,2.1,2.5,5.1,1.3,3.2,11.1,117.0,93.0,18.6,0.522,0.006,0.488,12.9,28.9,21.0,6.2,2.5,6.7,10.7,10.5,4.3,7.2,11.6,0.19,1.2,3.3,4.4,4.8
2002-03,28.0,DET,NBA,C,73.0,73.0,2873.0,4.0,8.4,0.481,0.0,0.1,0.167,4.0,8.3,0.485,1.6,3.6,0.45,5.6,16.0,21.7,2.3,2.0,4.4,1.7,3.4,9.7,108.0,90.0,17.2,0.486,0.014,0.432,11.9,34.9,23.2,6.9,2.0,5.9,14.5,10.2,2.7,7.9,10.6,0.176,0.4,3.5,3.9,4.3
2003-04,29.0,DET,NBA,C,81.0,81.0,3050.0,5.6,13.4,0.421,0.0,0.1,0.125,5.6,13.3,0.424,2.5,5.2,0.49,5.8,12.2,18.0,2.5,2.6,4.4,2.2,2.9,13.8,98.0,87.0,17.3,0.441,0.011,0.388,12.5,25.5,19.1,7.7,2.6,6.1,12.3,15.3,1.1,9.1,10.2,0.16,0.2,3.3,3.5,4.3
2004-05,30.0,DET,NBA,C,74.0,74.0,2671.0,6.1,13.4,0.453,0.0,0.2,0.111,6.1,13.2,0.458,2.7,6.3,0.428,6.0,12.6,18.6,2.5,2.2,3.6,1.7,3.3,14.9,105.0,94.0,17.4,0.459,0.014,0.467,12.9,26.5,19.8,7.6,2.2,5.0,9.5,15.2,1.8,6.7,8.5,0.153,0.2,2.6,2.8,3.2
2005-06,31.0,DET,NBA,C,82.0,82.0,2890.0,4.5,8.9,0.51,0.0,0.1,0.0,4.5,8.8,0.514,2.4,5.7,0.416,5.8,11.9,17.7,3.0,2.8,3.5,1.7,3.1,11.4,112.0,95.0,17.5,0.501,0.009,0.637,12.2,25.9,19.0,8.2,2.8,4.6,12.9,11.2,3.3,6.9,10.1,0.168,0.4,3.1,3.5,4.0
