Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2003-04,21.0,ATL,NBA,SG,76.0,37.0,1919.0,3.9,8.6,0.447,0.2,0.7,0.231,3.7,7.9,0.467,1.5,2.6,0.602,3.1,6.4,9.4,5.0,1.6,1.0,3.5,5.3,9.4,93.0,107.0,8.8,0.483,0.083,0.297,6.6,13.5,10.1,14.9,1.6,1.4,26.3,11.4,-0.3,1.1,0.8,0.021,-2.4,0.1,-2.3,-0.2
2004-05,22.0,ATL,NBA,SG,66.0,25.0,1201.0,5.4,12.9,0.422,0.4,2.2,0.18,5.0,10.7,0.471,2.5,3.4,0.74,2.4,5.1,7.4,6.5,1.6,0.8,3.8,5.4,13.7,95.0,112.0,10.0,0.479,0.17,0.262,5.0,11.8,8.2,19.5,1.6,1.2,21.0,15.5,-0.3,0.4,0.1,0.005,-2.7,-0.8,-3.5,-0.4
2005-06,23.0,PHO,NBA,PF,81.0,70.0,2874.0,7.8,14.9,0.526,0.1,0.5,0.267,7.7,14.3,0.536,3.0,4.1,0.731,2.8,7.0,9.7,8.8,1.0,1.5,3.3,4.5,18.8,115.0,106.0,17.3,0.564,0.035,0.279,6.3,15.1,10.8,24.9,1.0,2.1,16.5,17.9,5.9,3.0,8.9,0.149,1.4,1.4,2.8,3.5
2006-07,24.0,PHO,NBA,PF,73.0,59.0,2268.0,6.8,12.6,0.538,0.3,1.0,0.333,6.4,11.6,0.555,1.8,2.7,0.683,2.0,5.0,7.0,7.8,0.6,0.8,3.4,3.9,15.7,111.0,109.0,13.0,0.57,0.079,0.211,4.9,11.0,8.1,21.7,0.6,1.2,19.9,15.4,3.0,1.5,4.6,0.097,0.3,0.2,0.4,1.4
2007-08,25.0,PHO,NBA,PF,82.0,19.0,2308.0,6.6,13.9,0.477,0.3,0.9,0.317,6.3,13.0,0.488,2.1,2.8,0.744,2.1,6.0,8.1,6.8,1.3,0.8,3.3,3.6,15.6,103.0,109.0,12.0,0.516,0.063,0.2,5.2,12.7,9.3,19.0,1.3,1.1,18.1,16.6,1.1,1.9,3.0,0.063,-1.0,0.2,-0.8,0.7
2008-09,26.0,TOT,NBA,PF,81.0,59.0,2754.0,8.7,17.2,0.507,1.5,3.5,0.414,7.2,13.6,0.531,2.0,2.9,0.687,2.3,6.1,8.4,6.5,1.2,1.0,4.2,3.9,20.8,105.0,109.0,14.4,0.565,0.205,0.166,5.3,13.8,9.6,21.2,1.2,1.6,18.5,19.7,1.9,2.8,4.7,0.082,0.8,0.3,1.2,2.2
2008-09,26.0,PHO,NBA,PF,22.0,0.0,538.0,7.4,13.1,0.567,0.5,1.3,0.357,7.0,11.8,0.591,1.7,2.4,0.692,2.2,5.6,7.8,4.3,1.0,0.8,3.4,3.6,17.0,109.0,114.0,12.5,0.6,0.099,0.184,5.4,12.5,9.1,12.1,1.0,1.2,19.5,15.5,0.5,0.2,0.7,0.062,0.2,-0.4,-0.1,0.3
2008-09,26.0,CHA,NBA,PF,59.0,59.0,2216.0,9.0,18.2,0.495,1.7,4.1,0.419,7.3,14.1,0.517,2.0,3.0,0.686,2.3,6.2,8.5,7.0,1.2,1.1,4.4,4.0,21.8,105.0,107.0,14.9,0.558,0.225,0.163,5.3,14.1,9.7,23.4,1.2,1.6,18.3,20.8,1.4,2.6,4.0,0.086,1.0,0.5,1.5,1.9
2009-10,27.0,CHA,NBA,PF,82.0,82.0,2906.0,6.8,14.1,0.483,1.2,3.8,0.32,5.6,10.4,0.541,2.1,2.7,0.769,2.4,5.4,7.8,5.9,1.1,1.0,3.3,4.0,16.9,107.0,105.0,12.8,0.552,0.266,0.19,5.5,11.9,8.8,18.9,1.1,1.6,17.5,16.2,2.4,3.8,6.2,0.103,-0.1,0.9,0.8,2.0
2010-11,28.0,CHA,NBA,PF,82.0,82.0,2778.0,7.3,14.9,0.492,1.5,4.4,0.345,5.8,10.6,0.553,1.6,2.4,0.683,2.0,6.0,8.0,6.5,1.4,0.9,3.2,3.7,17.8,107.0,109.0,13.9,0.558,0.292,0.159,4.5,13.6,9.0,20.6,1.4,1.3,16.7,16.8,2.4,2.3,4.8,0.082,0.3,0.3,0.6,1.8
2011-12,29.0,TOT,NBA,PF,57.0,35.0,1424.0,5.7,12.9,0.444,1.1,3.6,0.313,4.6,9.3,0.496,0.8,1.3,0.629,2.6,7.7,10.3,7.5,1.3,0.9,4.1,4.6,13.4,95.0,108.0,11.2,0.498,0.282,0.1,5.5,17.3,11.3,23.8,1.2,1.3,23.4,15.5,-0.3,0.8,0.6,0.019,-1.6,-0.2,-1.8,0.1
2011-12,29.0,CHA,NBA,PF,37.0,28.0,1018.0,6.0,14.6,0.41,1.2,4.5,0.267,4.8,10.2,0.472,0.9,1.4,0.63,2.4,7.7,10.1,8.2,1.0,1.0,4.3,3.7,14.1,89.0,111.0,10.8,0.461,0.304,0.095,5.1,17.3,11.0,26.9,1.0,1.4,22.2,17.2,-0.8,0.3,-0.5,-0.023,-1.8,-0.9,-2.8,-0.2
2011-12,29.0,SAS,NBA,PF,20.0,7.0,406.0,5.1,8.7,0.588,1.0,1.7,0.615,4.1,7.0,0.582,0.6,1.0,0.625,2.9,7.9,10.8,6.0,1.8,0.8,3.6,6.9,11.8,113.0,102.0,12.1,0.65,0.191,0.118,6.6,17.2,12.0,16.1,1.8,1.1,28.1,11.2,0.5,0.5,1.1,0.125,-1.2,1.7,0.5,0.3
2012-13,30.0,SAS,NBA,PF,75.0,20.0,1709.0,5.3,9.9,0.539,0.9,2.3,0.385,4.4,7.6,0.587,1.4,1.9,0.723,2.0,5.6,7.6,5.4,1.6,0.8,2.5,4.3,13.0,113.0,103.0,11.9,0.603,0.235,0.196,4.7,12.0,8.6,15.0,1.6,1.1,18.9,12.0,2.2,2.3,4.4,0.124,-0.7,1.5,0.8,1.2
2013-14,31.0,SAS,NBA,PF,79.0,24.0,1974.0,7.7,14.8,0.521,1.2,2.9,0.402,6.6,12.0,0.549,1.7,2.4,0.739,1.9,6.5,8.3,5.7,1.1,0.8,3.1,3.6,18.4,109.0,104.0,14.1,0.578,0.193,0.159,4.4,13.8,9.3,16.3,1.1,1.2,16.3,17.0,2.3,2.6,4.9,0.12,0.4,0.9,1.3,1.6
2014-15,32.0,SAS,NBA,PF,81.0,15.0,1984.0,7.5,16.3,0.46,1.4,4.4,0.32,6.1,11.9,0.512,1.9,2.4,0.774,2.0,7.0,9.0,6.0,0.9,0.6,3.3,3.8,18.3,103.0,105.0,12.7,0.526,0.267,0.147,4.5,15.2,10.0,17.9,0.9,0.9,15.8,18.3,1.3,2.3,3.6,0.088,-0.6,0.2,-0.4,0.8
2015-16,33.0,SAS,NBA,PF,76.0,4.0,1386.0,7.5,14.1,0.527,0.9,2.5,0.362,6.5,11.6,0.564,2.1,2.8,0.737,2.1,6.5,8.6,6.5,1.0,0.8,3.6,3.8,17.9,109.0,102.0,14.0,0.582,0.18,0.198,4.9,13.9,9.6,18.4,1.0,1.2,18.9,17.0,1.6,2.2,3.8,0.132,-0.1,0.9,0.8,1.0
2016-17,34.0,UTA,NBA,PF,73.0,33.0,1283.0,6.0,13.4,0.446,0.8,3.3,0.247,5.1,10.1,0.512,1.1,1.4,0.743,1.9,4.6,6.5,6.9,0.7,0.4,3.6,3.4,13.8,99.0,109.0,9.0,0.494,0.248,0.107,4.3,9.8,7.1,20.3,0.7,0.6,20.3,15.6,-0.1,1.2,1.1,0.041,-2.3,-0.2,-2.5,-0.1
Career,,,NBA,,1064.0,564.0,28768.0,6.8,13.9,0.493,0.9,2.5,0.336,6.0,11.3,0.529,1.9,2.6,0.717,2.3,6.1,8.3,6.6,1.2,0.9,3.4,4.1,16.4,106.0,107.0,12.9,0.547,0.183,0.191,5.2,13.3,9.3,19.7,1.2,1.3,18.5,16.3,23.3,28.3,51.6,0.086,-0.3,0.5,0.1,15.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,SAS,NBA,,331.0,70.0,7459.0,6.9,13.6,0.508,1.1,3.0,0.367,5.8,10.6,0.548,1.7,2.3,0.743,2.0,6.5,8.5,5.9,1.2,0.7,3.1,4.0,16.7,108.0,104.0,13.1,0.569,0.221,0.167,4.7,14.0,9.5,16.8,1.2,1.1,17.6,15.9,7.9,9.9,17.9,0.115,-0.3,0.9,0.6,4.9
4 seasons,,CHA,NBA,,260.0,251.0,8918.0,7.4,15.4,0.481,1.4,4.1,0.346,6.0,11.3,0.53,1.8,2.5,0.711,2.3,6.0,8.3,6.6,1.2,1.0,3.6,3.9,18.1,104.0,107.0,13.4,0.546,0.266,0.162,5.1,13.6,9.3,21.5,1.2,1.5,18.0,17.6,5.5,9.0,14.5,0.078,0.1,0.4,0.5,5.6
4 seasons,,PHO,NBA,,258.0,148.0,7988.0,7.2,13.8,0.517,0.3,0.8,0.315,6.9,13.0,0.53,2.3,3.2,0.721,2.3,6.0,8.4,7.6,1.0,1.1,3.3,4.0,16.9,110.0,108.0,14.2,0.554,0.059,0.232,5.5,13.1,9.5,21.4,1.0,1.5,18.0,16.7,10.5,6.7,17.2,0.104,0.3,0.6,0.9,5.8
2 seasons,,ATL,NBA,,142.0,62.0,3120.0,4.5,10.3,0.435,0.3,1.3,0.197,4.2,9.0,0.469,1.9,2.9,0.665,2.8,5.9,8.7,5.6,1.6,0.9,3.6,5.3,11.1,94.0,109.0,9.3,0.481,0.125,0.28,6.0,12.9,9.4,16.6,1.6,1.3,23.8,13.0,-0.5,1.5,1.0,0.015,-2.5,-0.3,-2.8,-0.6
1 season,,UTA,NBA,,73.0,33.0,1283.0,6.0,13.4,0.446,0.8,3.3,0.247,5.1,10.1,0.512,1.1,1.4,0.743,1.9,4.6,6.5,6.9,0.7,0.4,3.6,3.4,13.8,99.0,109.0,9.0,0.494,0.248,0.107,4.3,9.8,7.1,20.3,0.7,0.6,20.3,15.6,-0.1,1.2,1.1,0.041,-2.3,-0.2,-2.5,-0.1
