Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2009-10,20.0,MIL,NBA,PG,82.0,82.0,2671.0,8.8,23.8,0.371,2.8,7.6,0.374,6.0,16.2,0.37,4.4,5.4,0.817,1.0,4.6,5.5,9.2,2.1,0.4,3.9,3.7,24.9,100.0,104.0,14.5,0.475,0.319,0.225,2.0,10.4,6.0,29.6,2.1,0.5,13.0,26.1,0.3,3.9,4.2,0.075,0.5,0.2,0.7,1.8
2010-11,21.0,MIL,NBA,PG,63.0,61.0,2169.0,8.9,22.8,0.39,2.4,7.5,0.323,6.5,15.4,0.422,4.9,6.1,0.809,1.0,4.7,5.8,7.5,2.3,0.5,3.6,3.2,25.1,100.0,103.0,15.6,0.493,0.327,0.266,2.2,10.6,6.3,25.9,2.3,0.8,12.4,25.5,0.6,3.3,3.9,0.086,0.8,0.9,1.6,2.0
2011-12,22.0,MIL,NBA,PG,66.0,66.0,2331.0,10.3,24.6,0.418,2.8,8.5,0.332,7.5,16.1,0.464,4.2,5.2,0.808,1.1,3.9,5.0,8.0,2.3,0.5,3.2,2.5,27.7,106.0,107.0,18.4,0.514,0.346,0.213,2.3,8.6,5.3,26.7,2.3,0.7,10.6,25.9,3.8,1.8,5.5,0.114,3.0,-0.3,2.7,2.8
2012-13,23.0,MIL,NBA,PG,80.0,80.0,2897.0,8.7,21.8,0.399,3.0,8.1,0.375,5.7,13.8,0.412,4.0,4.9,0.819,1.0,3.3,4.3,9.1,2.2,0.2,3.6,2.7,24.4,106.0,108.0,16.1,0.51,0.37,0.225,2.1,7.2,4.6,29.1,2.2,0.3,12.9,23.7,3.6,2.2,5.8,0.096,1.7,-0.6,1.1,2.2
2013-14,24.0,DET,NBA,PG,80.0,79.0,2728.0,7.8,21.0,0.373,2.9,8.5,0.337,5.0,12.6,0.397,4.5,5.9,0.751,1.1,3.4,4.5,11.3,1.9,0.1,4.0,2.9,23.0,106.0,113.0,15.6,0.486,0.403,0.283,2.2,7.8,4.9,34.4,1.9,0.2,14.4,23.4,3.0,0.9,3.9,0.068,1.9,-1.9,0.1,1.4
2014-15,25.0,DET,NBA,PG,41.0,41.0,1173.0,9.6,23.9,0.401,3.4,9.3,0.36,6.3,14.6,0.428,5.3,6.3,0.839,0.9,3.7,4.6,12.0,1.9,0.2,4.0,2.8,27.9,110.0,109.0,19.7,0.522,0.389,0.263,1.9,8.0,4.8,39.9,1.9,0.3,12.9,26.3,2.6,0.7,3.3,0.136,4.0,-0.6,3.3,1.6
2015-16,26.0,TOT,NBA,PG,48.0,7.0,868.0,6.5,17.6,0.368,3.0,9.0,0.329,3.5,8.6,0.409,3.3,4.5,0.731,0.9,4.6,5.6,9.8,1.7,0.4,3.3,3.3,19.2,105.0,108.0,13.7,0.491,0.51,0.257,2.0,10.4,6.1,29.2,1.7,0.7,14.4,20.0,0.8,0.7,1.5,0.082,0.2,-0.7,-0.4,0.3
2015-16,26.0,DET,NBA,PG,23.0,1.0,416.0,6.4,17.3,0.371,2.9,9.3,0.312,3.5,8.0,0.439,3.3,4.6,0.711,0.6,5.0,5.6,8.5,1.3,0.2,2.7,2.9,19.0,107.0,108.0,13.1,0.491,0.538,0.266,1.3,11.2,6.0,25.7,1.3,0.4,12.1,19.0,0.4,0.4,0.8,0.094,0.1,-0.2,0.0,0.2
2015-16,26.0,ORL,NBA,PG,25.0,6.0,452.0,6.5,17.8,0.366,3.0,8.6,0.346,3.5,9.2,0.386,3.3,4.4,0.75,1.2,4.3,5.5,11.1,2.0,0.6,3.9,3.7,19.4,103.0,108.0,14.3,0.49,0.484,0.248,2.7,9.7,6.1,32.4,2.0,0.9,16.4,20.9,0.3,0.4,0.7,0.071,0.3,-1.2,-0.8,0.1
2016-17,27.0,TOT,NBA,PG,81.0,13.0,1802.0,5.3,14.8,0.359,2.2,7.0,0.313,3.1,7.8,0.399,3.2,4.2,0.75,0.8,4.6,5.4,10.9,1.9,0.1,3.5,3.2,16.0,104.0,113.0,12.1,0.479,0.471,0.284,1.8,10.1,5.9,30.4,1.9,0.2,17.5,17.6,0.7,1.0,1.7,0.046,-1.2,-1.2,-2.4,-0.2
2016-17,27.0,NYK,NBA,PG,58.0,11.0,1428.0,5.7,15.0,0.38,2.4,7.0,0.34,3.3,8.0,0.415,3.6,4.7,0.756,0.7,4.6,5.3,10.1,1.9,0.1,3.7,2.9,17.4,105.0,113.0,12.7,0.508,0.466,0.315,1.6,9.9,5.7,28.6,1.9,0.2,17.8,18.1,0.8,0.7,1.5,0.052,-0.8,-1.2,-2.0,0.0
2016-17,27.0,WAS,NBA,PG,23.0,2.0,374.0,3.8,14.0,0.274,1.5,6.9,0.212,2.4,7.1,0.333,1.6,2.2,0.706,1.1,4.7,5.8,14.2,2.0,0.0,2.9,4.2,10.7,98.0,111.0,9.7,0.357,0.491,0.16,2.4,10.8,6.6,37.2,2.0,0.0,16.2,15.8,-0.1,0.3,0.2,0.025,-2.8,-1.2,-4.0,-0.2
2017-18,28.0,MIL,NBA,PG,14.0,0.0,205.0,6.6,17.5,0.375,2.2,8.0,0.273,4.4,9.5,0.462,2.4,2.4,1.0,1.2,6.3,7.5,10.7,1.5,1.0,4.4,2.7,17.8,99.0,111.0,12.7,0.478,0.458,0.139,2.9,14.8,8.9,31.1,1.5,1.7,19.1,20.8,0.0,0.1,0.1,0.026,-1.2,-2.2,-3.4,-0.1
Career,,,NBA,,555.0,429.0,16844.0,8.4,21.6,0.387,2.8,8.1,0.345,5.6,13.6,0.412,4.2,5.3,0.796,1.0,4.0,5.1,9.6,2.1,0.3,3.7,3.0,23.8,104.0,108.0,15.7,0.496,0.373,0.246,2.1,9.1,5.5,30.2,2.1,0.5,13.3,23.9,15.2,14.7,29.9,0.085,1.3,-0.5,0.8,11.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,MIL,NBA,,305.0,289.0,10273.0,9.1,23.1,0.394,2.8,7.9,0.352,6.3,15.2,0.416,4.3,5.3,0.815,1.0,4.1,5.1,8.6,2.2,0.4,3.6,3.0,25.3,103.0,106.0,16.1,0.498,0.343,0.229,2.1,9.2,5.6,28.1,2.2,0.6,12.4,25.1,8.2,11.4,19.5,0.091,1.4,-0.1,1.4,8.7
3 seasons,,DET,NBA,,144.0,121.0,4317.0,8.2,21.5,0.381,3.0,8.8,0.341,5.2,12.7,0.409,4.6,5.9,0.773,1.0,3.6,4.6,11.2,1.8,0.2,3.9,2.9,23.9,107.0,111.0,16.5,0.497,0.409,0.276,2.1,8.2,5.0,35.0,1.8,0.3,13.8,23.8,6.0,2.0,8.0,0.089,2.3,-1.4,1.0,3.2
1 season,,NYK,NBA,,58.0,11.0,1428.0,5.7,15.0,0.38,2.4,7.0,0.34,3.3,8.0,0.415,3.6,4.7,0.756,0.7,4.6,5.3,10.1,1.9,0.1,3.7,2.9,17.4,105.0,113.0,12.7,0.508,0.466,0.315,1.6,9.9,5.7,28.6,1.9,0.2,17.8,18.1,0.8,0.7,1.5,0.052,-0.8,-1.2,-2.0,0.0
1 season,,ORL,NBA,,25.0,6.0,452.0,6.5,17.8,0.366,3.0,8.6,0.346,3.5,9.2,0.386,3.3,4.4,0.75,1.2,4.3,5.5,11.1,2.0,0.6,3.9,3.7,19.4,103.0,108.0,14.3,0.49,0.484,0.248,2.7,9.7,6.1,32.4,2.0,0.9,16.4,20.9,0.3,0.4,0.7,0.071,0.3,-1.2,-0.8,0.1
1 season,,WAS,NBA,,23.0,2.0,374.0,3.8,14.0,0.274,1.5,6.9,0.212,2.4,7.1,0.333,1.6,2.2,0.706,1.1,4.7,5.8,14.2,2.0,0.0,2.9,4.2,10.7,98.0,111.0,9.7,0.357,0.491,0.16,2.4,10.8,6.6,37.2,2.0,0.0,16.2,15.8,-0.1,0.3,0.2,0.025,-2.8,-1.2,-4.0,-0.2
