Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2000-01,23.0,DET,NBA,PF,15.0,0.0,126.0,4.0,12.5,0.323,0.0,2.0,0.0,4.0,10.5,0.385,4.4,7.2,0.611,3.2,6.0,9.2,1.2,2.8,0.8,3.6,10.9,12.5,79.0,100.0,4.7,0.398,0.161,0.581,6.7,13.0,9.8,3.6,2.8,1.1,18.8,16.5,-0.2,0.2,0.0,-0.009,-7.7,1.4,-6.3,-0.1
2001-02,24.0,DET,NBA,PF,8.0,0.0,43.0,7.4,16.1,0.462,3.7,8.7,0.429,3.7,7.4,0.5,2.5,2.5,1.0,2.5,5.0,7.4,2.5,1.2,0.0,0.0,6.2,21.1,134.0,106.0,15.9,0.612,0.538,0.154,5.5,10.9,8.2,8.0,1.2,0.0,0.0,15.2,0.1,0.0,0.2,0.201,2.4,-0.5,2.0,0.0
2002-03,25.0,WAS,NBA,PF,5.0,0.0,15.0,3.6,14.5,0.25,0.0,3.6,0.0,3.6,10.9,0.333,7.3,7.3,1.0,10.9,7.3,18.1,3.6,0.0,0.0,3.6,0.0,14.5,100.0,109.0,13.8,0.41,0.25,0.5,23.6,15.8,19.7,10.4,0.0,0.0,17.0,18.5,0.0,0.0,0.0,0.051,1.7,-4.5,-2.8,0.0
2003-04,26.0,GSW,NBA,PF,76.0,11.0,1634.0,7.2,15.2,0.472,1.8,4.1,0.444,5.4,11.2,0.482,7.8,8.9,0.878,3.3,7.1,10.4,3.4,2.2,0.7,2.7,6.7,24.0,123.0,103.0,19.4,0.626,0.266,0.582,6.9,15.0,10.9,10.7,2.2,0.9,12.6,18.9,5.5,1.7,7.2,0.212,2.2,1.0,3.2,2.2
2004-05,27.0,MEM,NBA,PF,58.0,16.0,1433.0,6.1,16.4,0.37,1.7,4.7,0.352,4.4,11.6,0.378,6.0,6.9,0.873,2.4,6.1,8.5,4.3,3.3,0.7,3.1,6.5,19.8,104.0,101.0,14.0,0.51,0.289,0.419,5.3,13.5,9.4,13.3,3.3,1.0,14.0,19.6,1.1,2.4,3.5,0.116,-1.2,2.1,0.9,1.0
2005-06,28.0,MEM,NBA,PF,36.0,0.0,402.0,6.4,15.4,0.414,1.8,4.0,0.448,4.6,11.3,0.402,2.6,3.7,0.704,1.5,6.1,7.6,4.6,3.2,0.0,3.7,9.0,17.2,96.0,100.0,10.0,0.505,0.261,0.243,3.4,13.1,8.3,14.2,3.2,0.0,18.0,18.1,-0.1,0.7,0.6,0.074,-4.6,1.7,-2.9,-0.1
2006-07,29.0,MEM,NBA,PF,28.0,1.0,313.0,6.9,13.9,0.494,2.9,7.2,0.409,3.9,6.7,0.585,4.1,4.4,0.926,2.1,7.5,9.7,5.1,3.6,0.2,3.8,6.9,20.8,118.0,108.0,17.7,0.655,0.518,0.318,5.0,17.6,11.3,16.1,3.6,0.2,19.2,17.3,0.7,0.3,0.9,0.144,1.7,2.5,4.2,0.5
2007-08,30.0,MEM,NBA,PF,37.0,1.0,440.0,4.9,14.4,0.341,2.9,9.3,0.309,2.1,5.2,0.4,1.5,2.2,0.684,3.0,8.0,11.0,2.5,1.1,0.2,2.6,7.1,14.2,94.0,112.0,7.3,0.461,0.643,0.151,6.6,18.0,12.2,7.4,1.1,0.3,14.6,15.9,-0.2,0.2,0.0,0.003,-3.9,-1.3,-5.2,-0.4
2008-09,31.0,MIN,NBA,PF,64.0,4.0,909.0,3.7,9.7,0.385,1.7,5.3,0.326,2.0,4.4,0.455,1.7,2.0,0.857,2.2,5.9,8.2,4.4,2.1,0.7,2.8,7.8,11.0,102.0,110.0,8.1,0.515,0.544,0.207,4.8,13.8,9.1,12.3,2.1,1.1,20.7,11.5,0.1,0.7,0.9,0.045,-3.6,1.2,-2.4,-0.1
2009-10,32.0,MIN,NBA,PF,29.0,0.0,267.0,2.6,6.7,0.389,0.6,1.7,0.333,2.1,5.1,0.407,3.2,3.4,0.944,1.3,4.1,5.4,4.5,1.7,0.6,1.3,10.5,9.0,118.0,113.0,6.9,0.546,0.25,0.5,2.9,9.4,6.1,12.3,1.7,0.8,13.7,8.3,0.3,0.1,0.4,0.071,-5.3,0.9,-4.4,-0.2
2010-11,33.0,DAL,NBA,SF,56.0,4.0,618.0,3.7,8.5,0.43,3.6,7.4,0.483,0.1,1.1,0.077,1.4,1.5,0.944,0.9,4.2,5.0,3.4,2.0,0.6,1.4,7.0,12.3,126.0,106.0,9.7,0.672,0.87,0.18,2.0,8.9,5.6,9.1,2.0,0.9,13.6,9.5,1.0,0.7,1.7,0.132,-1.2,2.4,1.2,0.5
