Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2003-04,23.0,LAL,NBA,C,35.0,2.0,442.0,7.9,16.6,0.475,0.0,0.6,0.0,7.9,16.0,0.493,2.5,3.3,0.75,3.6,8.2,11.9,2.4,1.9,1.9,2.0,7.5,18.2,104.0,99.0,14.0,0.505,0.035,0.199,7.8,18.2,12.9,7.4,1.9,2.7,10.0,17.3,0.5,0.7,1.1,0.122,-2.1,0.9,-1.1,0.1
2004-05,24.0,LAL,NBA,C,72.0,0.0,1087.0,8.6,20.5,0.417,3.8,9.7,0.392,4.8,10.8,0.439,1.4,1.8,0.757,3.1,7.4,10.5,1.7,1.1,1.3,1.4,6.8,22.3,111.0,111.0,14.1,0.522,0.472,0.088,6.6,15.8,11.2,5.7,1.1,1.8,6.2,19.4,1.5,0.5,2.0,0.088,0.7,-1.2,-0.5,0.4
2005-06,25.0,LAL,NBA,PF,81.0,46.0,1535.0,9.0,17.6,0.511,1.2,2.9,0.429,7.7,14.7,0.527,2.9,3.5,0.832,3.0,6.4,9.4,2.5,1.3,1.1,2.1,7.1,22.1,116.0,106.0,15.6,0.578,0.164,0.198,6.8,14.2,10.5,8.3,1.3,1.6,9.9,18.3,3.0,1.5,4.5,0.142,0.2,-0.3,-0.1,0.7
2006-07,26.0,LAL,NBA,PF,65.0,24.0,1018.0,9.3,20.6,0.453,2.3,5.8,0.4,7.0,14.8,0.474,1.7,2.4,0.723,3.1,7.8,10.8,3.3,1.3,1.4,2.6,6.8,22.7,105.0,108.0,14.8,0.525,0.282,0.115,7.1,17.6,12.4,10.8,1.3,2.0,10.6,21.2,0.9,0.8,1.8,0.083,-0.2,-1.1,-1.2,0.2
2007-08,27.0,TOT,NBA,PF,51.0,2.0,629.0,7.2,19.1,0.376,3.5,9.4,0.374,3.7,9.7,0.378,1.5,1.7,0.905,2.3,6.6,8.9,2.2,1.1,1.0,3.2,7.6,19.4,94.0,106.0,8.6,0.489,0.491,0.09,5.3,14.2,10.0,6.8,1.1,1.4,13.8,20.5,-0.4,0.7,0.4,0.029,-3.1,-0.7,-3.8,-0.3
2007-08,27.0,LAL,NBA,PF,6.0,2.0,70.0,2.9,15.1,0.19,1.4,7.2,0.2,1.4,7.9,0.182,2.9,2.9,1.0,2.9,4.3,7.2,2.2,1.4,0.0,2.9,4.3,10.0,72.0,109.0,1.2,0.308,0.476,0.19,6.6,9.1,7.9,5.6,1.4,0.0,14.9,16.9,-0.2,0.1,-0.1,-0.087,-5.6,-1.9,-7.5,-0.1
2007-08,27.0,ORL,NBA,PF,45.0,0.0,559.0,7.7,19.6,0.394,3.8,9.7,0.39,4.0,9.9,0.398,1.4,1.6,0.882,2.2,6.9,9.1,2.2,1.0,1.1,3.2,8.0,20.6,96.0,106.0,9.5,0.508,0.493,0.08,5.2,14.8,10.2,6.9,1.0,1.6,13.7,21.0,-0.2,0.7,0.5,0.044,-2.8,-0.5,-3.3,-0.2
2008-09,28.0,TOT,NBA,PF,30.0,0.0,171.0,8.5,23.2,0.368,4.0,9.2,0.433,4.6,14.0,0.326,1.5,1.8,0.833,2.1,7.6,9.8,1.5,0.9,0.9,4.0,7.9,22.6,88.0,103.0,7.6,0.47,0.395,0.079,4.8,16.1,10.6,5.1,0.9,1.3,14.2,24.8,-0.3,0.3,0.0,-0.001,-5.2,-1.0,-6.2,-0.2
2008-09,28.0,ORL,NBA,PF,21.0,0.0,146.0,8.2,21.4,0.383,3.9,8.9,0.44,4.3,12.5,0.343,1.8,2.1,0.833,2.1,7.5,9.6,1.4,1.1,0.0,3.9,8.2,22.1,91.0,104.0,7.6,0.495,0.417,0.1,4.8,15.8,10.4,4.7,1.1,0.0,14.9,23.3,-0.2,0.2,0.1,0.019,-4.7,-1.1,-5.8,-0.1
2008-09,28.0,HOU,NBA,PF,9.0,0.0,25.0,10.6,34.1,0.313,4.3,10.6,0.4,6.4,23.4,0.273,0.0,0.0,,2.1,8.5,10.6,2.1,0.0,6.4,4.3,6.4,25.5,75.0,100.0,7.4,0.375,0.313,0.0,4.9,17.9,11.7,7.3,0.0,8.7,11.1,33.5,-0.1,0.0,-0.1,-0.12,-7.9,-0.7,-8.6,0.0
