Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2019-20,21.0,ATL,NBA,C,56.0,13.0,713.0,6.7,13.0,0.518,0.3,2.4,0.135,6.4,10.6,0.605,1.9,3.3,0.569,4.4,8.6,12.9,3.2,1.2,1.1,2.7,7.0,15.7,107.0,114.0,11.9,0.542,0.186,0.256,10.0,20.0,15.0,9.9,1.2,2.0,15.9,15.3,0.4,0.4,0.8,0.055,-3.2,-0.9,-4.1,-0.4
2020-21,22.0,ATL,NBA,C,33.0,0.0,226.0,3.9,9.6,0.409,0.0,0.4,0.0,3.9,9.1,0.429,3.3,4.8,0.682,3.5,13.5,17.0,2.2,0.9,0.7,4.6,5.0,11.1,86.0,111.0,6.2,0.475,0.045,0.5,7.9,29.4,18.9,5.8,0.9,1.2,28.1,14.4,-0.3,0.3,-0.1,-0.019,-6.1,-0.4,-6.5,-0.3
2021-22,23.0,TOT,NBA,C,30.0,0.0,152.0,11.5,17.5,0.655,0.3,0.6,0.5,11.1,16.9,0.66,4.8,7.6,0.625,5.7,11.8,17.5,2.2,0.3,3.5,4.5,7.6,28.0,116.0,110.0,21.2,0.671,0.036,0.436,13.0,26.6,19.8,7.5,0.3,6.5,17.6,22.4,0.2,0.2,0.4,0.14,-0.4,0.2,-0.1,0.1
2021-22,23.0,BOS,NBA,C,20.0,0.0,58.0,6.0,12.0,0.5,0.9,0.9,1.0,5.1,11.1,0.462,3.4,4.3,0.8,6.0,6.9,12.9,3.4,0.0,2.6,4.3,5.1,16.3,110.0,109.0,12.6,0.586,0.071,0.357,13.4,14.6,14.0,9.6,0.0,4.7,23.6,16.1,0.0,0.1,0.1,0.102,-3.2,0.4,-2.8,0.0
2021-22,23.0,HOU,NBA,C,10.0,0.0,94.0,14.7,20.8,0.707,0.0,0.5,0.0,14.7,20.3,0.725,5.6,9.6,0.579,5.6,14.7,20.3,1.5,0.5,4.1,4.6,9.1,34.9,118.0,110.0,26.5,0.699,0.024,0.463,12.8,34.1,23.4,6.3,0.5,7.6,15.4,26.3,0.2,0.1,0.3,0.164,1.3,0.2,1.5,0.1
2022-23,24.0,TOT,NBA,C,35.0,4.0,374.0,6.5,12.6,0.515,0.0,0.1,0.0,6.5,12.4,0.521,3.9,5.7,0.682,6.3,9.7,16.1,4.0,0.8,4.0,2.8,8.9,16.8,118.0,115.0,15.8,0.559,0.01,0.454,14.3,22.2,18.3,11.7,0.8,8.1,15.9,15.4,0.4,0.4,0.8,0.103,-2.9,1.0,-1.9,0.0
2022-23,24.0,HOU,NBA,C,31.0,4.0,364.0,6.4,12.4,0.516,0.0,0.1,0.0,6.4,12.2,0.522,4.0,5.9,0.682,6.4,9.9,16.2,4.0,0.8,4.1,2.7,9.1,16.8,119.0,115.0,16.2,0.561,0.011,0.473,14.4,22.5,18.5,11.7,0.8,8.4,15.1,15.1,0.5,0.4,0.8,0.111,-2.8,1.1,-1.7,0.0
2022-23,24.0,ATL,NBA,C,4.0,0.0,10.0,9.5,19.1,0.5,0.0,0.0,,9.5,19.1,0.5,0.0,0.0,,4.8,4.8,9.5,4.8,0.0,0.0,9.5,4.8,19.1,80.0,122.0,3.7,0.5,0.0,0.0,10.8,11.1,10.9,13.9,0.0,0.0,33.3,25.3,0.0,0.0,0.0,-0.176,-7.6,-2.5,-10.1,0.0
Career,,,NBA,,154.0,17.0,1465.0,6.7,12.8,0.524,0.2,1.4,0.143,6.5,11.5,0.569,2.9,4.6,0.631,4.9,9.9,14.8,3.2,0.9,2.0,3.2,7.2,16.5,108.0,114.0,13.0,0.557,0.106,0.357,11.1,22.7,16.9,9.5,0.9,3.9,17.8,15.9,0.7,1.3,2.0,0.065,-3.3,-0.2,-3.5,-0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,ATL,NBA,,93.0,13.0,949.0,6.1,12.3,0.498,0.2,1.9,0.128,5.9,10.3,0.567,2.2,3.6,0.603,4.2,9.6,13.8,3.0,1.1,1.0,3.2,6.5,14.7,102.0,114.0,10.5,0.528,0.158,0.296,9.5,22.2,15.8,9.0,1.1,1.8,18.9,15.2,0.0,0.7,0.7,0.035,-3.9,-0.8,-4.7,-0.7
2 seasons,,HOU,NBA,,41.0,4.0,458.0,8.1,14.1,0.575,0.0,0.2,0.0,8.1,13.9,0.583,4.3,6.6,0.651,6.2,10.9,17.1,3.5,0.7,4.1,3.1,9.1,20.6,119.0,114.0,18.3,0.603,0.015,0.47,14.1,24.9,19.5,10.6,0.7,8.2,15.2,17.4,0.7,0.5,1.2,0.122,-2.0,0.9,-1.1,0.1
1 season,,BOS,NBA,,20.0,0.0,58.0,6.0,12.0,0.5,0.9,0.9,1.0,5.1,11.1,0.462,3.4,4.3,0.8,6.0,6.9,12.9,3.4,0.0,2.6,4.3,5.1,16.3,110.0,109.0,12.6,0.586,0.071,0.357,13.4,14.6,14.0,9.6,0.0,4.7,23.6,16.1,0.0,0.1,0.1,0.102,-3.2,0.4,-2.8,0.0
