Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,23.0,SAS,NBA,SG,36.0,0.0,285.0,6.4,17.7,0.364,3.0,9.5,0.321,3.4,8.2,0.413,0.9,1.1,0.833,0.4,3.8,4.1,4.1,0.2,0.0,2.0,3.6,16.8,95.0,110.0,5.9,0.462,0.535,0.061,0.8,8.2,4.6,11.7,0.2,0.0,9.8,17.9,-0.2,0.2,0.1,0.014,-3.9,-1.5,-5.4,-0.2
2017-18,24.0,SAS,NBA,SG,80.0,12.0,1517.0,7.0,16.6,0.421,3.0,7.6,0.39,4.0,9.0,0.446,1.6,2.4,0.667,0.4,3.3,3.7,2.7,0.9,0.1,1.2,3.6,18.5,106.0,110.0,9.1,0.525,0.459,0.145,0.9,7.2,4.0,7.8,0.9,0.1,6.5,16.7,0.8,1.3,2.1,0.067,-2.5,-0.6,-3.1,-0.4
2018-19,25.0,SAS,NBA,SG,82.0,81.0,2293.0,7.7,16.8,0.456,3.7,8.8,0.426,3.9,8.1,0.489,1.5,1.7,0.885,0.4,4.7,5.1,3.7,1.0,0.1,1.7,3.4,20.6,113.0,114.0,12.0,0.586,0.522,0.099,0.9,10.4,5.7,10.6,1.0,0.1,8.8,17.4,2.5,1.3,3.8,0.079,-0.3,-0.9,-1.2,0.5
2019-20,26.0,SAS,NBA,SG,63.0,62.0,1579.0,7.3,17.6,0.417,4.5,11.5,0.388,2.8,6.1,0.47,2.3,2.7,0.833,0.4,3.4,3.8,3.3,1.0,0.0,1.7,3.4,21.4,110.0,118.0,11.1,0.57,0.656,0.155,0.8,7.8,4.3,9.5,1.0,0.0,8.4,18.5,1.3,0.3,1.5,0.047,-0.6,-2.1,-2.7,-0.3
2020-21,27.0,MIL,NBA,SG,70.0,10.0,1354.0,8.7,18.3,0.473,5.3,11.8,0.452,3.3,6.5,0.511,1.6,2.1,0.77,0.4,3.5,3.9,1.6,0.8,0.0,1.5,2.7,24.3,119.0,117.0,12.8,0.631,0.645,0.115,0.9,7.6,4.3,4.5,0.8,0.1,7.3,18.5,2.0,0.7,2.7,0.096,0.4,-1.7,-1.3,0.2
2021-22,28.0,TOT,NBA,SG,75.0,2.0,1286.0,8.7,20.3,0.429,4.6,11.1,0.414,4.1,9.2,0.447,3.0,3.3,0.908,0.4,3.1,3.5,2.8,0.9,0.2,2.1,3.6,25.0,109.0,117.0,11.5,0.574,0.547,0.161,0.9,6.9,3.9,8.3,0.9,0.3,8.8,21.2,0.8,0.6,1.4,0.054,-0.7,-2.2,-2.9,-0.3
2021-22,28.0,SAS,NBA,SG,40.0,1.0,676.0,9.1,21.0,0.432,4.5,10.7,0.417,4.6,10.3,0.448,3.1,3.5,0.898,0.3,4.2,4.5,2.9,1.2,0.2,2.3,3.0,25.8,107.0,116.0,12.4,0.572,0.51,0.166,0.6,9.2,4.9,8.6,1.2,0.4,9.4,21.9,0.3,0.4,0.7,0.053,-0.3,-1.3,-1.6,0.1
2021-22,28.0,DEN,NBA,SG,35.0,1.0,610.0,8.3,19.5,0.424,4.7,11.6,0.41,3.5,8.0,0.444,2.8,3.1,0.921,0.5,1.9,2.4,2.7,0.6,0.2,1.8,4.3,24.1,110.0,118.0,10.6,0.578,0.593,0.156,1.1,4.3,2.7,8.0,0.6,0.3,8.1,20.3,0.5,0.2,0.7,0.054,-1.1,-3.2,-4.3,-0.4
2022-23,29.0,MIN,NBA,SG,25.0,0.0,268.0,5.3,14.7,0.361,2.5,8.1,0.304,2.8,6.5,0.432,2.7,2.7,1.0,0.7,1.9,2.7,3.0,1.2,0.4,2.1,3.9,15.8,98.0,119.0,6.2,0.497,0.554,0.181,1.7,4.5,3.1,8.2,1.2,0.7,11.8,16.2,-0.2,0.2,0.0,-0.002,-4.7,-1.5,-6.2,-0.3
Career,,,NBA,,431.0,167.0,8582.0,7.7,17.7,0.436,4.1,9.9,0.41,3.6,7.7,0.469,1.9,2.3,0.826,0.4,3.7,4.1,3.0,0.9,0.1,1.7,3.4,21.4,110.0,115.0,11.0,0.572,0.563,0.131,0.9,8.1,4.5,8.6,0.9,0.1,8.3,18.2,7.0,4.7,11.6,0.065,-1.0,-1.4,-2.4,-0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,SAS,NBA,,301.0,156.0,6350.0,7.5,17.5,0.431,3.8,9.5,0.402,3.7,8.0,0.465,1.9,2.3,0.817,0.4,4.0,4.3,3.3,1.0,0.1,1.7,3.4,20.7,109.0,114.0,10.9,0.561,0.542,0.13,0.8,8.8,4.8,9.5,1.0,0.1,8.3,18.0,4.7,3.6,8.3,0.062,-1.1,-1.2,-2.3,-0.4
1 season,,MIL,NBA,,70.0,10.0,1354.0,8.7,18.3,0.473,5.3,11.8,0.452,3.3,6.5,0.511,1.6,2.1,0.77,0.4,3.5,3.9,1.6,0.8,0.0,1.5,2.7,24.3,119.0,117.0,12.8,0.631,0.645,0.115,0.9,7.6,4.3,4.5,0.8,0.1,7.3,18.5,2.0,0.7,2.7,0.096,0.4,-1.7,-1.3,0.2
1 season,,DEN,NBA,,35.0,1.0,610.0,8.3,19.5,0.424,4.7,11.6,0.41,3.5,8.0,0.444,2.8,3.1,0.921,0.5,1.9,2.4,2.7,0.6,0.2,1.8,4.3,24.1,110.0,118.0,10.6,0.578,0.593,0.156,1.1,4.3,2.7,8.0,0.6,0.3,8.1,20.3,0.5,0.2,0.7,0.054,-1.1,-3.2,-4.3,-0.4
