Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2019-20,23.0,PHO,NBA,PF,57.0,9.0,1255.0,6.6,15.3,0.435,4.0,10.3,0.39,2.6,5.0,0.526,1.7,2.2,0.807,1.8,5.2,7.1,2.6,1.4,0.8,1.2,3.3,19.0,117.0,113.0,12.9,0.586,0.672,0.141,4.3,12.4,8.3,7.7,1.4,1.4,6.9,15.7,1.7,1.0,2.7,0.102,0.8,-0.4,0.3,0.7
2020-21,24.0,PHO,NBA,PF,60.0,11.0,1437.0,7.0,16.6,0.42,4.0,11.5,0.349,3.0,5.1,0.581,1.7,2.0,0.847,1.1,5.7,6.8,3.0,1.3,0.5,1.4,2.9,19.7,112.0,113.0,11.8,0.563,0.694,0.122,2.6,12.9,7.9,8.0,1.3,1.0,7.3,17.0,1.2,1.4,2.6,0.086,0.0,-0.2,-0.2,0.7
2021-22,25.0,PHO,NBA,PF,66.0,16.0,1730.0,7.8,16.9,0.46,4.6,10.9,0.425,3.1,6.0,0.523,2.7,3.2,0.86,1.2,6.4,7.6,2.8,1.6,0.4,1.3,3.1,22.9,123.0,109.0,15.2,0.625,0.644,0.188,2.7,14.0,8.5,7.7,1.6,0.8,6.7,17.5,3.2,2.4,5.6,0.156,2.0,0.7,2.7,2.1
2022-23,26.0,TOT,NBA,PF,35.0,34.0,976.0,8.9,19.6,0.454,4.5,11.1,0.401,4.5,8.5,0.524,4.2,5.1,0.822,1.3,6.2,7.5,3.1,2.1,0.6,1.3,3.5,26.4,121.0,114.0,16.7,0.605,0.566,0.258,3.0,14.1,8.6,9.1,2.1,1.0,5.6,20.7,1.7,1.1,2.8,0.137,2.0,0.5,2.5,1.1
2022-23,26.0,PHO,NBA,PF,17.0,16.0,429.0,9.3,19.7,0.474,5.1,11.3,0.455,4.2,8.4,0.5,3.1,3.8,0.818,1.6,5.8,7.4,3.0,1.7,0.7,1.1,3.3,26.9,127.0,114.0,17.4,0.629,0.572,0.191,3.6,13.6,8.5,8.9,1.7,1.3,5.1,19.6,0.9,0.5,1.4,0.16,3.2,0.5,3.8,0.6
2022-23,26.0,BRK,NBA,PF,18.0,18.0,547.0,8.6,19.5,0.438,3.9,11.0,0.358,4.6,8.6,0.542,5.0,6.1,0.824,1.1,6.4,7.5,3.1,2.3,0.4,1.4,3.7,26.0,117.0,114.0,16.2,0.587,0.562,0.311,2.5,14.5,8.7,9.3,2.3,0.8,6.0,21.5,0.7,0.6,1.4,0.12,1.0,0.4,1.4,0.5
Career,,,NBA,,218.0,70.0,5398.0,7.5,16.9,0.443,4.3,10.9,0.392,3.2,6.0,0.537,2.5,3.0,0.837,1.3,5.9,7.2,2.8,1.5,0.6,1.3,3.2,21.8,118.0,112.0,14.0,0.597,0.647,0.175,3.1,13.3,8.3,8.0,1.5,1.0,6.7,17.5,7.7,5.9,13.7,0.121,1.2,0.1,1.3,4.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,PHO,NBA,,200.0,52.0,4851.0,7.4,16.6,0.444,4.3,10.9,0.396,3.0,5.7,0.536,2.2,2.6,0.84,1.4,5.8,7.2,2.8,1.4,0.6,1.3,3.1,21.3,119.0,111.0,13.8,0.598,0.658,0.158,3.2,13.2,8.2,7.9,1.4,1.1,6.7,17.1,7.0,5.3,12.3,0.122,1.2,0.1,1.3,4.1
1 season,,BRK,NBA,,18.0,18.0,547.0,8.6,19.5,0.438,3.9,11.0,0.358,4.6,8.6,0.542,5.0,6.1,0.824,1.1,6.4,7.5,3.1,2.3,0.4,1.4,3.7,26.0,117.0,114.0,16.2,0.587,0.562,0.311,2.5,14.5,8.7,9.3,2.3,0.8,6.0,21.5,0.7,0.6,1.4,0.12,1.0,0.4,1.4,0.5
