Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2001-02,22.0,TOT,NBA,PG,37.0,1.0,371.0,7.0,16.0,0.441,0.0,0.3,0.0,7.0,15.7,0.45,1.9,2.6,0.722,1.7,4.0,5.8,10.1,1.6,0.1,3.3,4.3,16.0,101.0,110.0,12.4,0.467,0.018,0.162,3.5,9.0,6.2,31.2,1.6,0.2,16.2,17.2,0.2,0.1,0.4,0.047,-1.8,-1.1,-2.9,-0.1
2001-02,22.0,TOR,NBA,PG,17.0,0.0,96.0,7.3,16.3,0.448,0.0,0.0,,7.3,16.3,0.448,2.3,3.4,0.667,1.7,5.1,6.8,11.8,3.4,0.0,6.8,6.8,16.9,89.0,102.0,11.9,0.474,0.0,0.207,3.5,11.1,7.2,36.3,3.4,0.0,27.5,20.7,-0.1,0.1,0.0,0.018,-3.8,0.4,-3.4,0.0
2001-02,22.0,DEN,NBA,PG,20.0,1.0,275.0,7.0,15.8,0.439,0.0,0.4,0.0,7.0,15.5,0.45,1.7,2.3,0.75,1.7,3.7,5.4,9.5,1.0,0.2,2.1,3.5,15.6,107.0,112.0,12.6,0.464,0.024,0.146,3.6,8.3,5.8,29.5,1.0,0.3,11.2,16.0,0.3,0.0,0.3,0.057,-1.1,-1.6,-2.8,-0.1
2002-03,23.0,UTA,NBA,PG,44.0,0.0,287.0,9.4,20.4,0.459,0.6,1.3,0.429,8.8,19.1,0.461,3.4,4.1,0.818,2.1,2.8,4.9,9.9,2.2,0.2,5.6,5.2,22.7,98.0,106.0,14.1,0.51,0.064,0.202,4.8,6.1,5.5,33.1,2.2,0.3,20.2,23.8,0.1,0.2,0.3,0.057,-0.1,-1.0,-1.0,0.1
2003-04,24.0,UTA,NBA,PG,71.0,71.0,2008.0,9.4,21.2,0.441,1.0,3.2,0.325,8.3,18.0,0.462,5.0,6.2,0.804,1.1,4.0,5.1,9.8,1.7,0.1,4.3,4.6,24.8,106.0,106.0,16.8,0.517,0.152,0.293,2.5,9.0,5.7,34.6,1.7,0.2,15.2,23.7,3.5,1.2,4.7,0.112,2.0,-1.1,0.9,1.5
2004-05,25.0,TOT,NBA,PG,70.0,16.0,1448.0,6.3,16.2,0.389,0.3,1.1,0.267,6.0,15.1,0.398,4.5,5.6,0.799,1.0,2.9,3.9,10.6,1.7,0.2,4.0,5.4,17.4,99.0,109.0,11.3,0.466,0.07,0.347,2.1,6.5,4.3,32.3,1.7,0.2,17.8,19.3,0.3,1.0,1.3,0.043,-2.1,-0.8,-2.9,-0.3
2004-05,25.0,UTA,NBA,PG,30.0,16.0,742.0,6.8,17.0,0.401,0.5,1.3,0.389,6.3,15.7,0.402,3.9,4.6,0.841,0.8,2.6,3.4,11.1,1.5,0.2,4.0,4.9,18.0,101.0,113.0,11.8,0.474,0.078,0.272,1.8,6.0,3.8,34.7,1.5,0.3,17.5,19.5,0.3,0.1,0.4,0.027,-0.6,-1.9,-2.6,-0.1
2004-05,25.0,DET,NBA,PG,40.0,0.0,706.0,5.8,15.4,0.376,0.1,0.9,0.083,5.7,14.4,0.395,5.1,6.7,0.767,1.2,3.4,4.5,10.0,1.9,0.1,4.1,5.9,16.8,98.0,104.0,10.7,0.458,0.061,0.437,2.5,7.1,4.8,29.7,1.9,0.1,18.1,19.1,0.0,0.9,0.9,0.06,-3.7,0.3,-3.4,-0.2
2005-06,26.0,TOT,NBA,"PG,SG",77.0,0.0,1194.0,7.7,17.4,0.444,0.3,0.9,0.35,7.4,16.4,0.45,4.9,6.3,0.774,1.5,4.5,6.0,10.7,1.7,0.2,3.8,5.5,20.6,108.0,107.0,15.6,0.512,0.053,0.362,3.3,9.8,6.6,31.6,1.7,0.2,15.9,20.7,1.6,1.1,2.7,0.107,-0.1,-0.4,-0.5,0.5
2005-06,26.0,DET,NBA,PG,50.0,0.0,600.0,5.3,14.5,0.363,0.2,0.6,0.333,5.1,13.9,0.364,3.9,5.3,0.724,2.2,4.2,6.5,14.3,1.8,0.3,4.1,7.1,14.6,102.0,105.0,12.5,0.433,0.038,0.369,4.7,9.2,6.9,39.3,1.8,0.4,19.8,18.0,0.3,0.7,1.0,0.079,-2.1,-0.1,-2.2,0.0
