Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2011-12,23.0,HOU,NBA,SF,63.0,57.0,1804.0,7.2,15.9,0.452,1.7,5.2,0.337,5.5,10.8,0.507,1.2,2.3,0.551,2.6,6.1,8.7,3.9,2.1,0.8,2.4,4.1,17.4,105.0,105.0,13.3,0.513,0.324,0.142,5.7,13.6,9.6,11.7,2.1,1.2,12.2,16.7,1.6,1.8,3.4,0.09,0.1,0.7,0.8,1.3
2012-13,24.0,HOU,NBA,SF,76.0,76.0,2758.0,8.3,17.0,0.486,2.8,7.2,0.385,5.5,9.9,0.559,2.0,2.8,0.729,1.4,5.9,7.3,4.9,1.4,0.6,2.7,2.7,21.3,113.0,108.0,15.3,0.584,0.421,0.165,3.3,13.2,8.3,15.6,1.4,0.9,12.7,18.3,4.9,2.1,7.0,0.121,2.0,0.0,2.0,2.8
2013-14,25.0,HOU,NBA,SF,74.0,74.0,2783.0,8.3,17.7,0.472,2.3,6.3,0.37,6.0,11.4,0.528,2.9,4.0,0.742,1.2,6.1,7.3,5.3,1.6,0.5,2.6,3.0,22.0,114.0,108.0,15.9,0.565,0.356,0.224,2.9,12.8,8.2,17.3,1.6,0.8,11.7,19.3,5.1,2.5,7.6,0.131,1.5,0.2,1.7,2.6
2014-15,26.0,DAL,NBA,SF,66.0,66.0,2186.0,8.8,19.1,0.462,3.0,8.0,0.38,5.8,11.1,0.521,3.2,4.5,0.72,1.5,6.0,7.5,3.7,1.6,0.4,2.2,3.2,23.9,112.0,108.0,16.3,0.567,0.419,0.233,3.2,13.0,8.1,11.4,1.6,0.7,9.5,20.6,3.8,1.7,5.5,0.121,2.0,-0.4,1.6,2.0
2015-16,27.0,DAL,NBA,SF,61.0,51.0,1799.0,9.1,18.4,0.492,2.9,7.1,0.414,6.1,11.3,0.54,2.6,3.8,0.684,0.8,7.2,8.1,4.8,1.3,0.6,2.7,3.2,23.7,110.0,108.0,16.2,0.589,0.386,0.209,1.8,15.6,8.7,16.0,1.3,1.0,11.8,20.5,2.6,1.6,4.3,0.114,1.8,0.2,2.0,1.8
2016-17,28.0,MEM,NBA,SF,34.0,34.0,675.0,5.8,17.1,0.338,1.9,7.2,0.269,3.9,9.9,0.388,2.7,3.3,0.814,0.5,6.0,6.5,4.2,1.5,0.4,1.8,4.0,16.2,93.0,109.0,7.7,0.436,0.419,0.194,1.0,13.6,7.1,12.8,1.5,0.7,9.1,17.8,-0.5,0.7,0.2,0.015,-3.6,-0.2,-3.8,-0.3
2017-18,29.0,MEM,NBA,SF,36.0,8.0,691.0,7.9,17.1,0.462,3.7,8.9,0.421,4.2,8.3,0.504,1.2,2.0,0.63,1.0,5.6,6.6,5.0,1.3,0.8,2.6,3.9,20.8,110.0,113.0,13.6,0.578,0.517,0.115,2.3,13.0,7.5,16.4,1.3,1.5,12.5,18.3,0.7,0.4,1.1,0.077,1.2,-0.4,0.8,0.5
2018-19,30.0,MEM,NBA,SF,25.0,3.0,496.0,6.8,18.2,0.374,2.9,9.4,0.309,3.9,8.8,0.443,2.2,2.5,0.88,0.4,6.6,7.0,4.3,1.9,0.5,3.2,4.5,18.7,91.0,109.0,8.5,0.484,0.516,0.137,0.9,15.2,7.9,13.4,1.9,1.0,14.2,20.3,-0.6,0.6,0.0,-0.004,-3.9,-0.5,-4.4,-0.3
2019-20,31.0,ATL,NBA,PF,5.0,0.0,54.0,4.3,15.5,0.278,3.5,12.1,0.286,0.9,3.5,0.25,0.0,0.0,,0.9,5.2,6.0,2.6,3.5,0.9,2.6,2.6,12.1,77.0,112.0,5.6,0.389,0.778,0.0,2.0,12.1,7.0,7.5,3.5,1.6,14.3,16.1,-0.1,0.0,-0.1,-0.065,-4.4,-1.6,-6.0,-0.1
Career,,,NBA,,440.0,369.0,13246.0,8.1,17.6,0.462,2.6,7.0,0.373,5.5,10.6,0.521,2.4,3.4,0.713,1.4,6.2,7.5,4.6,1.6,0.6,2.5,3.3,21.3,110.0,108.0,14.7,0.557,0.4,0.19,3.1,13.6,8.4,14.6,1.6,0.9,11.6,19.0,17.5,11.4,28.9,0.105,1.0,0.0,1.1,10.2
