Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2005-06,22.0,NYK,NBA,C,65.0,14.0,1572.0,10.3,21.5,0.477,0.1,0.3,0.333,10.2,21.2,0.479,6.4,7.7,0.825,4.6,7.9,12.6,1.8,1.0,1.6,3.3,6.7,27.0,110.0,110.0,18.1,0.541,0.014,0.358,10.6,18.5,14.5,6.6,1.0,2.5,11.6,24.2,2.6,0.9,3.5,0.108,0.7,-1.4,-0.7,0.5
2006-07,23.0,NYK,NBA,PF,72.0,59.0,1896.0,8.3,19.2,0.433,0.1,0.5,0.167,8.2,18.7,0.44,2.4,3.0,0.787,2.5,8.5,11.0,1.9,1.0,1.2,2.8,6.0,19.1,95.0,108.0,10.5,0.464,0.026,0.157,5.8,18.9,12.4,6.2,1.0,1.8,12.0,20.0,-0.6,1.6,0.9,0.024,-3.4,-0.6,-4.0,-0.9
2007-08,24.0,POR,NBA,C,78.0,20.0,1342.0,9.0,18.4,0.488,0.1,0.4,0.3,8.9,18.0,0.492,3.5,4.4,0.78,4.4,10.0,14.4,2.3,1.2,1.1,2.2,8.5,21.6,109.0,106.0,14.8,0.529,0.022,0.241,9.4,21.6,15.5,7.4,1.2,1.6,9.9,19.6,1.6,1.6,3.2,0.114,-1.9,0.1,-1.8,0.1
2008-09,25.0,POR,NBA,PF,63.0,1.0,746.0,8.4,19.8,0.423,0.8,2.5,0.333,7.6,17.4,0.436,1.9,2.7,0.722,3.0,7.4,10.4,1.8,1.3,1.2,2.2,7.9,19.5,100.0,108.0,10.0,0.465,0.124,0.135,6.7,16.7,11.6,5.3,1.3,1.7,9.3,19.7,0.0,0.8,0.8,0.054,-3.9,-0.3,-4.2,-0.4
2009-10,26.0,PHO,NBA,C,81.0,41.0,2190.0,7.3,16.2,0.451,4.0,9.0,0.439,3.3,7.2,0.466,2.3,2.8,0.81,1.5,8.3,9.8,2.6,1.5,1.7,1.7,6.0,20.8,120.0,108.0,15.0,0.598,0.558,0.172,3.6,17.6,11.0,7.4,1.5,2.4,8.8,16.7,4.3,2.2,6.4,0.141,1.8,0.9,2.7,2.6
2010-11,27.0,PHO,NBA,PF,77.0,64.0,2541.0,7.2,16.6,0.432,3.4,8.8,0.39,3.7,7.8,0.479,1.8,2.1,0.832,1.3,9.0,10.3,1.9,0.9,1.6,1.5,5.4,19.5,110.0,109.0,12.8,0.557,0.53,0.129,3.0,20.4,11.7,5.7,0.9,2.3,7.7,16.9,2.7,2.1,4.7,0.09,-0.3,0.0,-0.3,1.1
2011-12,28.0,PHO,NBA,PF,64.0,59.0,1669.0,7.9,19.0,0.416,2.8,8.2,0.346,5.1,10.9,0.469,2.3,2.5,0.89,2.2,9.6,11.8,2.7,1.3,2.2,2.0,5.5,20.9,106.0,104.0,14.9,0.519,0.429,0.134,4.8,20.6,12.8,8.3,1.3,3.0,8.8,19.3,1.8,1.9,3.7,0.106,0.2,0.7,0.9,1.2
2013-14,30.0,PHO,NBA,PF,82.0,82.0,2312.0,7.3,16.9,0.432,3.5,9.4,0.37,3.8,7.5,0.509,1.7,2.1,0.821,1.6,7.4,9.0,2.1,1.3,1.4,1.9,5.3,19.7,111.0,107.0,13.2,0.555,0.555,0.122,3.6,16.6,10.1,6.4,1.3,2.1,9.8,17.3,2.9,2.4,5.3,0.109,0.4,0.3,0.7,1.6
2014-15,31.0,ORL,NBA,PF,75.0,51.0,1870.0,5.2,13.3,0.392,3.7,9.5,0.393,1.5,3.9,0.39,0.8,1.0,0.886,0.7,7.3,8.0,2.6,1.3,1.1,2.1,5.2,15.0,101.0,108.0,9.5,0.546,0.71,0.072,1.6,16.4,8.9,7.4,1.3,1.7,13.4,14.1,0.7,1.4,2.1,0.053,-1.5,-0.1,-1.5,0.2
2015-16,32.0,TOT,NBA,"C,PF",70.0,32.0,1200.0,6.4,14.6,0.438,3.8,9.9,0.387,2.6,4.7,0.545,1.3,1.5,0.857,1.5,8.4,9.9,3.0,1.2,1.2,1.8,5.3,17.9,113.0,106.0,12.9,0.586,0.677,0.101,3.2,18.6,10.9,8.7,1.2,1.9,10.6,15.1,1.6,1.3,3.0,0.119,0.3,0.5,0.8,0.8
