Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,20.0,NOP,NBA,PF,17.0,0.0,199.0,8.9,18.7,0.474,0.0,0.0,,8.9,18.7,0.474,3.7,5.2,0.714,5.7,12.3,18.0,1.0,1.0,1.7,1.7,4.2,21.4,107.0,105.0,16.8,0.51,0.0,0.276,12.1,26.7,19.4,3.2,1.0,2.9,7.6,20.5,0.2,0.3,0.5,0.111,-1.8,-1.9,-3.7,-0.1
2017-18,21.0,NOP,NBA,PF,52.0,0.0,581.0,8.4,14.5,0.58,0.0,0.0,,8.4,14.5,0.58,4.1,5.4,0.758,3.9,13.5,17.3,1.6,0.9,1.7,2.3,6.7,20.9,118.0,105.0,17.0,0.619,0.0,0.375,9.1,29.6,19.7,4.7,0.9,2.9,12.0,17.4,1.1,0.8,1.9,0.157,-1.3,0.1,-1.2,0.1
2018-19,22.0,NOP,NBA,PF,64.0,1.0,896.0,8.7,14.1,0.62,0.1,0.2,0.25,8.7,13.8,0.625,2.6,3.5,0.746,3.9,13.3,17.2,1.7,1.5,1.7,2.5,5.9,20.1,119.0,108.0,17.5,0.644,0.015,0.247,8.8,29.3,19.2,5.1,1.5,3.0,14.0,16.0,1.4,1.2,2.6,0.14,-1.1,0.1,-0.9,0.2
2019-20,23.0,PHO,NBA,C,47.0,2.0,479.0,9.1,14.0,0.648,0.1,0.3,0.333,9.0,13.7,0.655,3.4,3.9,0.872,3.0,10.0,13.0,2.2,1.1,1.2,3.2,5.4,21.7,119.0,110.0,16.5,0.688,0.021,0.275,6.9,23.7,15.2,6.9,1.1,2.2,16.7,17.0,0.8,0.5,1.3,0.132,-1.1,-0.2,-1.3,0.1
2021-22,25.0,DET,NBA,C,3.0,0.0,31.0,4.7,12.6,0.375,0.0,0.0,,4.7,12.6,0.375,7.9,9.4,0.833,6.3,12.6,18.9,0.0,1.6,0.0,1.6,9.4,17.3,115.0,111.0,12.3,0.517,0.0,0.75,13.3,29.4,20.9,0.0,1.6,0.0,8.6,16.1,0.0,0.0,0.1,0.108,-4.2,-3.3,-7.5,0.0
Career,,,NBA,,183.0,3.0,2186.0,8.7,14.5,0.596,0.0,0.2,0.286,8.6,14.4,0.599,3.3,4.3,0.774,3.9,12.5,16.4,1.7,1.2,1.6,2.5,5.9,20.7,117.0,108.0,17.0,0.63,0.01,0.296,8.8,27.9,18.5,5.2,1.2,2.7,13.3,17.0,3.5,2.9,6.3,0.139,-1.2,-0.2,-1.4,0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,NOP,NBA,,133.0,1.0,1676.0,8.6,14.7,0.585,0.0,0.1,0.25,8.6,14.6,0.588,3.2,4.3,0.747,4.1,13.3,17.3,1.6,1.2,1.7,2.4,6.0,20.5,117.0,107.0,17.3,0.616,0.008,0.294,9.3,29.1,19.4,4.7,1.2,2.9,12.4,17.0,2.7,2.3,5.0,0.142,-1.2,-0.1,-1.4,0.3
1 season,,PHO,NBA,,47.0,2.0,479.0,9.1,14.0,0.648,0.1,0.3,0.333,9.0,13.7,0.655,3.4,3.9,0.872,3.0,10.0,13.0,2.2,1.1,1.2,3.2,5.4,21.7,119.0,110.0,16.5,0.688,0.021,0.275,6.9,23.7,15.2,6.9,1.1,2.2,16.7,17.0,0.8,0.5,1.3,0.132,-1.1,-0.2,-1.3,0.1
1 season,,DET,NBA,,3.0,0.0,31.0,4.7,12.6,0.375,0.0,0.0,,4.7,12.6,0.375,7.9,9.4,0.833,6.3,12.6,18.9,0.0,1.6,0.0,1.6,9.4,17.3,115.0,111.0,12.3,0.517,0.0,0.75,13.3,29.4,20.9,0.0,1.6,0.0,8.6,16.1,0.0,0.0,0.1,0.108,-4.2,-3.3,-7.5,0.0
