Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2008-09,21.0,CHA,NBA,PG,72.0,12.0,1908.0,7.6,17.7,0.43,3.1,7.0,0.439,4.5,10.7,0.424,5.9,6.6,0.893,0.5,3.3,3.8,7.1,1.2,0.1,3.4,4.0,24.2,115.0,110.0,14.9,0.587,0.396,0.375,1.1,7.5,4.3,22.6,1.2,0.1,14.1,20.8,3.6,1.5,5.1,0.128,1.4,-0.5,0.9,1.4
2009-10,22.0,CHA,NBA,PG,80.0,2.0,1472.0,6.1,15.7,0.386,2.5,6.4,0.393,3.5,9.3,0.381,3.7,4.7,0.779,0.4,3.1,3.5,7.0,1.6,0.2,2.7,4.6,18.3,106.0,107.0,11.2,0.516,0.409,0.301,0.9,6.9,4.0,21.7,1.6,0.3,13.1,17.9,1.1,1.7,2.8,0.092,-1.5,0.3,-1.1,0.3
2010-11,23.0,CHA,NBA,PG,82.0,82.0,2757.0,7.7,18.6,0.416,2.2,6.5,0.333,5.6,12.1,0.461,5.2,5.8,0.906,0.7,3.6,4.4,9.7,1.0,0.1,3.0,3.0,22.9,112.0,112.0,15.9,0.541,0.348,0.31,1.7,8.3,4.9,31.1,1.0,0.1,12.5,21.2,4.9,1.3,6.2,0.108,1.7,-1.6,0.1,1.5
2011-12,24.0,CHA,NBA,PG,48.0,46.0,1408.0,6.8,18.2,0.376,2.3,6.7,0.341,4.6,11.5,0.396,3.9,4.5,0.875,0.9,3.2,4.1,11.5,1.3,0.0,4.1,2.4,19.9,100.0,114.0,14.1,0.493,0.368,0.246,1.9,7.2,4.4,38.9,1.3,0.1,16.9,21.3,0.7,-0.2,0.5,0.018,0.7,-3.2,-2.5,-0.2
2012-13,25.0,IND,NBA,PG,76.0,5.0,1226.0,4.5,12.8,0.35,2.9,8.2,0.353,1.6,4.5,0.346,3.6,4.3,0.838,0.9,3.1,4.0,7.4,1.5,0.1,3.0,2.8,15.5,109.0,104.0,11.0,0.527,0.646,0.337,1.9,6.3,4.1,21.6,1.5,0.2,16.8,15.1,1.4,1.5,2.8,0.112,-0.7,0.1,-0.6,0.5
2013-14,26.0,TOT,NBA,PG,71.0,9.0,1939.0,8.2,19.7,0.415,3.6,9.1,0.401,4.5,10.6,0.427,5.5,6.2,0.885,0.4,3.2,3.6,8.6,1.5,0.1,3.4,4.0,25.5,113.0,105.0,16.2,0.569,0.462,0.316,0.9,6.7,3.8,28.9,1.5,0.1,13.3,22.4,3.8,2.4,6.2,0.154,1.9,-0.4,1.4,1.7
2013-14,26.0,TOR,NBA,PG,10.0,0.0,82.0,4.5,15.3,0.292,0.6,7.0,0.091,3.8,8.3,0.462,3.8,3.8,1.0,0.0,2.5,2.5,6.4,0.6,0.0,5.7,4.5,13.4,75.0,111.0,1.2,0.394,0.458,0.25,0.0,5.7,2.8,18.4,0.6,0.0,25.3,19.8,-0.2,0.0,-0.2,-0.112,-6.9,-2.2,-9.1,-0.1
2013-14,26.0,CHI,NBA,PG,61.0,9.0,1857.0,8.3,19.9,0.419,3.8,9.2,0.411,4.6,10.7,0.426,5.6,6.3,0.882,0.4,3.2,3.6,8.7,1.5,0.1,3.3,4.0,26.0,114.0,105.0,16.8,0.574,0.463,0.318,0.9,6.7,3.9,29.3,1.5,0.1,12.8,22.5,4.0,2.4,6.4,0.166,2.2,-0.3,1.9,1.8
2014-15,27.0,TOT,NBA,PG,82.0,14.0,1964.0,6.7,16.9,0.399,2.2,6.4,0.337,4.6,10.4,0.436,4.6,5.3,0.868,0.5,3.7,4.2,9.2,1.3,0.1,3.8,2.4,20.2,107.0,110.0,13.9,0.527,0.38,0.317,1.1,7.9,4.4,28.2,1.3,0.1,16.4,19.8,2.5,0.9,3.4,0.083,0.4,-1.6,-1.2,0.4
2014-15,27.0,DET,NBA,PG,54.0,13.0,1287.0,7.6,18.5,0.41,2.0,6.0,0.327,5.6,12.5,0.45,5.9,6.8,0.87,0.5,3.5,4.0,10.6,1.3,0.1,4.4,2.5,23.1,108.0,110.0,15.8,0.536,0.325,0.367,1.1,7.6,4.2,33.2,1.3,0.1,17.0,22.2,2.0,0.6,2.5,0.094,1.2,-1.7,-0.5,0.5
