Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2004-05,24.0,DAL,NBA,C,15.0,1.0,58.0,5.4,12.5,0.429,0.0,0.0,,5.4,12.5,0.429,2.7,3.6,0.75,2.7,4.5,7.1,0.0,0.0,4.5,4.5,11.6,13.4,81.0,106.0,3.8,0.476,0.0,0.286,5.9,9.4,7.7,0.0,0.0,6.4,24.1,16.0,-0.1,0.1,0.0,-0.029,-9.2,-0.4,-9.6,-0.1
2005-06,25.0,DAL,NBA,C,43.0,1.0,237.0,7.4,13.8,0.533,0.0,0.2,0.0,7.4,13.6,0.542,2.3,4.6,0.5,4.4,8.5,12.9,0.5,1.4,5.8,3.7,10.8,17.1,98.0,99.0,13.4,0.538,0.017,0.333,9.8,18.4,14.2,1.4,1.4,8.1,18.9,16.7,0.0,0.4,0.5,0.092,-4.7,2.1,-2.6,0.0
2006-07,26.0,DAL,NBA,C,21.0,0.0,79.0,3.4,10.9,0.313,0.0,0.0,,3.4,10.9,0.313,4.8,5.4,0.875,2.0,5.4,7.5,4.1,2.0,3.4,3.4,11.5,11.5,91.0,100.0,7.2,0.435,0.0,0.5,4.7,11.9,8.4,10.9,2.0,4.8,20.4,14.5,-0.1,0.1,0.1,0.055,-6.5,2.8,-3.7,0.0
2007-08,27.0,TOT,NBA,C,42.0,0.0,326.0,5.9,12.8,0.464,0.0,0.0,,5.9,12.8,0.464,0.8,1.8,0.417,4.3,6.7,10.9,1.5,1.1,4.0,1.8,10.6,12.6,100.0,105.0,9.4,0.465,0.0,0.143,9.4,14.7,12.1,4.3,1.1,5.8,11.8,13.5,0.0,0.4,0.4,0.066,-5.7,0.4,-5.3,-0.3
2007-08,27.0,GSW,NBA,C,16.0,0.0,130.0,3.4,8.6,0.391,0.0,0.0,,3.4,8.6,0.391,0.4,0.7,0.5,4.9,6.7,11.6,1.5,1.1,3.7,1.5,12.0,7.1,98.0,107.0,6.7,0.398,0.0,0.087,10.3,15.4,12.8,3.9,1.1,5.6,14.3,9.0,0.0,0.1,0.1,0.048,-6.2,1.1,-5.1,-0.1
2007-08,27.0,LAL,NBA,C,26.0,0.0,196.0,7.7,15.6,0.492,0.0,0.0,,7.7,15.6,0.492,1.0,2.6,0.4,3.8,6.7,10.5,1.5,1.0,4.1,2.0,9.7,16.4,100.0,104.0,11.2,0.489,0.0,0.164,8.9,14.1,11.6,4.6,1.0,5.9,10.9,16.5,0.0,0.3,0.3,0.078,-5.3,-0.1,-5.4,-0.2
2008-09,28.0,LAL,NBA,C,23.0,0.0,181.0,7.6,16.0,0.474,0.0,0.3,0.0,7.6,15.7,0.482,2.0,2.2,0.875,2.5,6.2,8.7,2.5,2.8,6.7,3.7,9.3,17.2,95.0,97.0,13.9,0.504,0.018,0.14,5.7,13.6,9.7,7.2,2.8,10.2,17.7,17.8,-0.1,0.4,0.3,0.091,-5.0,4.4,-0.6,0.1
2009-10,29.0,LAL,NBA,C,49.0,2.0,355.0,7.0,15.0,0.466,0.0,0.0,,7.0,15.0,0.466,1.3,2.8,0.474,4.7,8.0,12.7,1.2,0.7,4.2,2.2,7.9,15.3,99.0,101.0,11.6,0.471,0.0,0.184,10.2,17.2,13.7,3.4,0.7,6.2,11.9,16.0,0.0,0.6,0.6,0.084,-4.9,0.8,-4.1,-0.2
2010-11,30.0,NOH,NBA,C,41.0,0.0,330.0,3.8,8.0,0.469,0.0,0.0,,3.8,8.0,0.469,2.1,3.0,0.722,5.7,8.4,14.1,1.0,1.0,4.4,3.4,8.5,9.7,97.0,102.0,9.7,0.518,0.0,0.367,12.8,18.9,15.9,2.7,1.0,6.8,27.0,11.3,0.0,0.6,0.5,0.076,-4.7,1.8,-2.8,-0.1
Career,,,NBA,,234.0,4.0,1566.0,6.0,12.8,0.47,0.0,0.1,0.0,6.0,12.7,0.472,1.8,3.0,0.607,4.3,7.4,11.7,1.4,1.2,4.7,2.9,9.5,13.8,97.0,102.0,10.8,0.49,0.005,0.232,9.6,16.2,12.9,3.8,1.2,6.9,17.1,14.7,-0.3,2.7,2.4,0.075,-5.2,1.6,-3.6,-0.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,LAL,NBA,,98.0,2.0,732.0,7.3,15.4,0.475,0.0,0.1,0.0,7.3,15.4,0.477,1.4,2.6,0.541,3.9,7.2,11.1,1.6,1.3,4.8,2.5,8.7,16.1,98.0,101.0,12.1,0.485,0.005,0.167,8.7,15.5,12.1,4.7,1.3,7.1,13.2,16.6,-0.1,1.4,1.3,0.084,-5.0,1.4,-3.6,-0.3
3 seasons,,DAL,NBA,,79.0,2.0,374.0,6.2,13.0,0.478,0.0,0.1,0.0,6.2,12.8,0.483,2.9,4.6,0.625,3.6,7.2,10.8,1.2,1.3,5.1,3.8,11.1,15.3,94.0,101.0,10.6,0.509,0.011,0.356,8.1,15.7,12.0,3.2,1.3,7.1,20.0,16.1,-0.1,0.6,0.5,0.065,-5.8,1.9,-3.9,-0.2
1 season,,NOH,NBA,,41.0,0.0,330.0,3.8,8.0,0.469,0.0,0.0,,3.8,8.0,0.469,2.1,3.0,0.722,5.7,8.4,14.1,1.0,1.0,4.4,3.4,8.5,9.7,97.0,102.0,9.7,0.518,0.0,0.367,12.8,18.9,15.9,2.7,1.0,6.8,27.0,11.3,0.0,0.6,0.5,0.076,-4.7,1.8,-2.8,-0.1
1 season,,GSW,NBA,,16.0,0.0,130.0,3.4,8.6,0.391,0.0,0.0,,3.4,8.6,0.391,0.4,0.7,0.5,4.9,6.7,11.6,1.5,1.1,3.7,1.5,12.0,7.1,98.0,107.0,6.7,0.398,0.0,0.087,10.3,15.4,12.8,3.9,1.1,5.6,14.3,9.0,0.0,0.1,0.1,0.048,-6.2,1.1,-5.1,-0.1
