Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,21.0,GSW,NBA,C,10.0,0.0,85.0,4.5,9.1,0.5,0.0,0.0,,4.5,9.1,0.5,1.7,5.7,0.3,5.1,7.9,13.0,0.0,0.6,2.3,3.4,8.5,10.8,87.0,105.0,5.3,0.466,0.0,0.625,12.4,17.0,14.8,0.0,0.6,3.7,22.7,13.4,-0.1,0.1,0.0,0.018,-7.7,-1.9,-9.7,-0.2
2017-18,22.0,GSW,NBA,C,15.0,0.0,89.0,6.0,11.9,0.5,0.0,0.0,,6.0,11.9,0.5,1.6,2.7,0.6,2.7,4.9,7.6,1.1,0.5,1.6,2.2,7.6,13.5,99.0,111.0,6.8,0.517,0.0,0.227,6.8,10.6,8.8,2.9,0.5,2.7,14.2,13.9,0.0,0.1,0.1,0.031,-5.3,-1.8,-7.1,-0.1
2018-19,23.0,GSW,NBA,C,24.0,22.0,410.0,6.1,8.6,0.716,0.0,0.0,,6.1,8.6,0.716,2.8,4.3,0.649,3.6,5.1,8.7,3.2,1.4,2.9,1.9,7.3,15.1,137.0,109.0,15.3,0.72,0.0,0.5,8.4,11.0,9.8,8.7,1.4,5.1,15.1,11.1,1.0,0.5,1.5,0.173,-0.6,1.7,1.1,0.3
2019-20,24.0,ATL,NBA,C,55.0,27.0,887.0,6.4,9.4,0.68,0.1,0.5,0.222,6.3,8.9,0.704,3.3,4.4,0.738,3.9,6.9,10.8,1.8,1.4,2.1,1.5,7.8,16.1,138.0,113.0,15.6,0.712,0.051,0.472,8.9,16.2,12.5,5.6,1.4,3.8,11.5,11.4,2.2,0.6,2.8,0.152,-1.6,0.1,-1.5,0.1
2020-21,25.0,TOT,NBA,C,39.0,10.0,547.0,6.2,9.1,0.68,0.1,0.4,0.2,6.1,8.7,0.704,3.7,5.1,0.724,3.2,7.5,10.7,2.6,1.0,2.6,2.3,6.8,16.2,129.0,113.0,14.6,0.712,0.049,0.563,7.3,17.4,12.3,7.0,1.0,4.6,16.8,12.3,1.0,0.5,1.6,0.138,-2.2,0.8,-1.4,0.1
2020-21,25.0,PHO,NBA,C,14.0,0.0,94.0,4.2,8.4,0.5,0.0,0.5,0.0,4.2,7.9,0.533,3.2,5.8,0.545,3.7,5.8,9.5,2.1,0.5,2.6,3.2,10.0,11.6,100.0,112.0,6.7,0.528,0.063,0.688,8.6,13.0,10.9,5.3,0.5,4.8,22.4,12.7,0.0,0.1,0.1,0.043,-7.0,1.1,-5.9,-0.1
2020-21,25.0,LAL,NBA,C,8.0,6.0,112.0,6.9,7.4,0.941,0.0,0.0,,6.9,7.4,0.941,4.8,5.2,0.917,3.5,7.8,11.3,0.4,0.4,3.0,2.2,9.6,18.7,158.0,106.0,17.1,0.965,0.0,0.706,8.1,18.0,13.0,1.3,0.4,5.6,18.3,10.6,0.4,0.2,0.5,0.235,-2.0,1.8,-0.2,0.1
2020-21,25.0,SAC,NBA,C,17.0,4.0,341.0,6.5,9.9,0.657,0.1,0.6,0.25,6.3,9.3,0.682,3.5,4.9,0.714,3.0,7.9,10.8,3.4,1.3,2.4,2.1,5.1,16.6,130.0,115.0,15.9,0.691,0.057,0.5,6.7,18.5,12.5,9.4,1.3,4.2,14.9,12.7,0.7,0.2,0.9,0.132,-1.0,0.3,-0.6,0.1
2021-22,26.0,SAC,NBA,C,56.0,15.0,1017.0,8.3,12.6,0.658,0.5,1.4,0.345,7.8,11.2,0.696,4.4,6.2,0.718,3.5,8.1,11.6,3.3,1.2,2.2,2.8,6.2,21.5,128.0,113.0,18.3,0.701,0.109,0.492,7.9,18.5,13.2,10.2,1.2,4.0,15.4,16.2,2.4,0.9,3.3,0.156,-0.2,0.5,0.3,0.6
2022-23,27.0,TOT,NBA,C,34.0,1.0,330.0,5.2,8.9,0.581,0.6,1.3,0.444,4.6,7.6,0.604,2.7,3.6,0.76,4.9,8.1,13.0,1.4,0.9,2.9,2.2,5.3,13.7,125.0,113.0,13.4,0.651,0.145,0.403,11.3,17.8,14.6,3.9,0.9,5.1,17.0,11.2,0.4,0.4,0.8,0.121,-2.2,0.4,-1.8,0.0
