Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2008-09,20.0,MEM,NBA,PF,76.0,64.0,1464.0,6.9,15.9,0.438,0.0,0.1,0.0,6.9,15.8,0.44,1.5,2.2,0.667,3.9,8.7,12.6,1.6,1.9,1.9,1.7,7.5,15.3,99.0,107.0,11.3,0.456,0.005,0.138,8.9,20.3,14.5,5.0,1.9,2.9,9.2,16.3,-0.1,1.8,1.7,0.055,-3.5,0.1,-3.4,-0.5
2009-10,21.0,MEM,NBA,PF,32.0,1.0,457.0,7.1,16.4,0.432,0.0,0.1,0.0,7.1,16.3,0.434,1.9,3.4,0.567,4.2,8.2,12.3,1.7,1.6,1.6,2.5,6.7,16.1,96.0,108.0,10.5,0.449,0.007,0.205,9.4,18.7,14.0,4.9,1.6,2.3,12.1,17.4,-0.1,0.4,0.3,0.031,-3.7,-0.4,-4.1,-0.2
2010-11,22.0,MEM,NBA,PF,80.0,9.0,1609.0,10.1,20.3,0.497,0.0,0.2,0.0,10.1,20.1,0.502,3.5,4.3,0.813,3.7,7.4,11.1,1.7,1.7,2.0,2.9,7.4,23.7,106.0,104.0,15.7,0.534,0.01,0.215,8.5,17.0,12.7,5.4,1.7,3.2,11.4,21.6,1.5,2.2,3.8,0.113,-1.8,0.2,-1.6,0.2
2012-13,24.0,MEM,NBA,PF,59.0,3.0,970.0,9.1,20.1,0.451,0.3,1.0,0.278,8.8,19.1,0.46,1.8,2.6,0.717,3.8,5.7,9.5,1.8,1.3,1.8,2.4,7.1,20.3,99.0,102.0,11.8,0.477,0.05,0.128,8.1,12.5,10.3,5.9,1.3,2.8,10.2,20.1,0.2,1.5,1.7,0.084,-2.8,0.4,-2.4,-0.1
2013-14,25.0,DEN,NBA,SF,68.0,1.0,1161.0,6.8,17.3,0.395,1.0,2.7,0.375,5.8,14.6,0.399,2.2,2.6,0.855,2.2,6.7,8.9,2.6,1.6,2.0,2.4,7.8,16.9,94.0,107.0,9.4,0.459,0.156,0.151,4.8,14.7,9.8,8.0,1.6,3.0,11.7,18.1,-0.5,1.2,0.7,0.029,-4.0,0.8,-3.2,-0.4
2014-15,26.0,DEN,NBA,PF,58.0,4.0,988.0,7.8,19.4,0.404,1.3,5.6,0.236,6.5,13.9,0.471,2.3,3.0,0.78,2.7,6.0,8.6,2.9,2.4,1.3,2.4,7.4,19.3,97.0,106.0,11.5,0.466,0.286,0.154,5.6,13.4,9.3,9.3,2.4,2.1,10.3,20.0,-0.1,0.9,0.9,0.042,-2.4,0.7,-1.7,0.1
2015-16,27.0,DEN,NBA,PF,70.0,16.0,1516.0,7.3,16.2,0.452,1.5,3.9,0.385,5.8,12.3,0.473,1.3,1.8,0.755,2.8,6.8,9.7,3.2,1.8,1.6,2.2,6.1,17.4,104.0,108.0,12.5,0.514,0.239,0.108,6.2,15.4,10.7,10.0,1.8,2.6,11.4,16.7,1.0,1.3,2.3,0.072,-1.3,0.5,-0.8,0.4
2016-17,28.0,DEN,NBA,PF,41.0,7.0,639.0,7.3,16.4,0.442,4.1,8.9,0.453,3.2,7.5,0.429,1.5,1.7,0.864,1.9,6.6,8.6,3.2,1.5,1.6,2.8,5.8,20.0,110.0,112.0,12.8,0.583,0.544,0.102,4.4,14.9,9.7,9.3,1.5,2.5,13.8,17.3,0.6,0.4,1.1,0.081,0.1,-0.2,-0.1,0.3
2017-18,29.0,DEN,NBA,PF,19.0,1.0,141.0,7.7,16.5,0.468,2.8,8.1,0.348,4.9,8.4,0.583,0.7,1.1,0.667,1.1,4.2,5.3,3.2,2.8,1.1,5.3,7.7,19.0,90.0,109.0,8.4,0.559,0.489,0.064,2.4,9.5,6.0,9.3,2.8,1.8,23.7,19.5,-0.2,0.1,0.0,-0.011,-4.8,-0.5,-5.3,-0.1
Career,,,NBA,,503.0,106.0,8945.0,7.9,17.8,0.444,0.9,2.6,0.352,7.0,15.2,0.46,2.1,2.7,0.765,3.1,7.0,10.1,2.3,1.8,1.8,2.4,7.1,18.8,101.0,106.0,12.2,0.495,0.147,0.151,7.0,15.9,11.4,7.2,1.8,2.7,11.3,18.5,2.4,10.0,12.3,0.066,-2.5,0.3,-2.2,-0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,DEN,NBA,,256.0,29.0,4445.0,7.3,17.2,0.424,1.7,4.8,0.362,5.6,12.4,0.448,1.8,2.2,0.804,2.4,6.5,8.9,3.0,1.9,1.6,2.5,6.8,18.1,100.0,108.0,11.4,0.498,0.279,0.129,5.3,14.5,9.9,9.2,1.9,2.5,12.0,18.0,0.9,4.0,4.9,0.053,-2.2,0.5,-1.7,0.4
4 seasons,,MEM,NBA,,247.0,77.0,4500.0,8.5,18.4,0.464,0.1,0.3,0.185,8.5,18.1,0.469,2.3,3.2,0.737,3.9,7.5,11.4,1.7,1.7,1.9,2.4,7.3,19.5,102.0,105.0,12.9,0.492,0.017,0.173,8.6,17.3,12.9,5.3,1.7,2.9,10.6,19.1,1.4,6.0,7.4,0.079,-2.8,0.1,-2.6,-0.7
