Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,22.0,ATL,NBA,SF,38.0,1.0,371.0,6.2,13.0,0.48,0.1,2.4,0.056,6.1,10.6,0.575,0.8,2.1,0.375,1.9,6.0,7.8,3.7,1.1,0.7,2.1,2.8,13.4,97.0,108.0,8.8,0.481,0.184,0.163,4.2,13.1,8.7,11.5,1.1,1.2,13.2,14.2,-0.1,0.4,0.3,0.038,-3.6,0.1,-3.5,-0.1
2017-18,23.0,ATL,NBA,SF,26.0,3.0,455.0,5.7,13.7,0.414,1.2,3.2,0.367,4.5,10.5,0.429,2.0,3.5,0.576,0.9,6.9,7.7,5.3,2.3,1.3,5.0,4.1,14.6,83.0,109.0,7.6,0.477,0.234,0.258,2.0,15.7,8.8,15.9,2.3,2.3,24.8,18.2,-0.9,0.5,-0.4,-0.04,-5.1,0.3,-4.7,-0.3
2018-19,24.0,ATL,NBA,SG,82.0,15.0,1931.0,6.6,14.7,0.446,1.2,4.1,0.289,5.4,10.6,0.508,2.1,3.3,0.64,1.3,7.3,8.6,4.8,2.5,1.0,3.4,4.5,16.4,97.0,112.0,10.8,0.508,0.281,0.221,2.9,16.9,9.7,14.7,2.5,1.8,17.4,17.2,-0.9,1.7,0.9,0.022,-3.3,0.8,-2.4,-0.2
2019-20,25.0,ATL,NBA,SG,43.0,4.0,915.0,5.3,11.6,0.456,0.8,3.3,0.231,4.5,8.3,0.546,1.3,2.4,0.542,1.7,6.0,7.7,4.1,2.8,1.0,3.1,4.3,12.7,95.0,112.0,9.6,0.5,0.285,0.211,3.9,14.1,8.9,12.3,2.8,1.7,19.4,14.0,-0.5,0.8,0.2,0.012,-3.5,1.1,-2.5,-0.1
2020-21,26.0,TOR,NBA,SF,51.0,12.0,972.0,5.8,11.4,0.513,0.7,2.6,0.264,5.1,8.7,0.589,2.2,3.3,0.682,1.6,5.6,7.3,5.3,2.6,0.9,3.5,4.3,14.6,104.0,111.0,11.2,0.57,0.232,0.289,3.6,13.3,8.3,15.6,2.6,1.9,21.6,14.6,0.1,1.1,1.2,0.059,-3.2,1.4,-1.9,0.0
2021-22,27.0,TOT,NBA,SF,56.0,20.0,1026.0,5.9,10.4,0.561,0.7,1.7,0.417,5.1,8.7,0.589,1.0,1.7,0.6,2.0,5.7,7.7,3.1,2.3,1.2,1.5,5.3,13.4,119.0,112.0,11.9,0.601,0.163,0.158,4.6,12.5,8.6,8.6,2.3,2.2,11.6,11.2,1.1,1.1,2.2,0.104,-2.2,1.5,-0.7,0.3
2021-22,27.0,BRK,NBA,SF,48.0,20.0,949.0,6.2,10.9,0.568,0.8,1.8,0.417,5.4,9.0,0.599,1.1,1.8,0.6,1.9,5.8,7.8,3.1,2.4,1.3,1.5,5.3,14.2,120.0,111.0,12.4,0.609,0.169,0.164,4.5,12.8,8.7,8.5,2.4,2.4,11.6,11.7,1.1,1.1,2.1,0.108,-2.0,1.6,-0.4,0.4
2021-22,27.0,MIL,NBA,SF,8.0,0.0,77.0,1.9,5.0,0.375,0.0,0.0,,1.9,5.0,0.375,0.0,0.0,,2.5,4.4,6.9,3.7,1.2,0.0,0.6,5.6,3.7,115.0,115.0,4.8,0.375,0.0,0.0,5.6,9.4,7.6,9.4,1.2,0.0,11.1,5.0,0.0,0.1,0.1,0.053,-4.4,0.5,-3.9,0.0
Career,,,NBA,,296.0,55.0,5670.0,6.0,12.7,0.474,0.9,3.1,0.283,5.1,9.6,0.537,1.7,2.8,0.611,1.5,6.4,7.9,4.5,2.4,1.0,3.1,4.5,14.6,100.0,111.0,10.5,0.525,0.247,0.22,3.5,14.7,9.0,13.2,2.4,1.9,18.1,15.0,-1.2,5.6,4.4,0.038,-3.3,1.0,-2.3,-0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,ATL,NBA,,189.0,23.0,3672.0,6.1,13.7,0.448,1.0,3.7,0.269,5.1,10.0,0.513,1.8,3.0,0.592,1.4,6.8,8.2,4.6,2.4,1.0,3.4,4.3,15.0,95.0,111.0,9.9,0.5,0.267,0.218,3.2,15.7,9.3,13.9,2.4,1.8,18.4,16.2,-2.4,3.4,1.0,0.013,-3.6,0.8,-2.8,-0.8
1 season,,TOR,NBA,,51.0,12.0,972.0,5.8,11.4,0.513,0.7,2.6,0.264,5.1,8.7,0.589,2.2,3.3,0.682,1.6,5.6,7.3,5.3,2.6,0.9,3.5,4.3,14.6,104.0,111.0,11.2,0.57,0.232,0.289,3.6,13.3,8.3,15.6,2.6,1.9,21.6,14.6,0.1,1.1,1.2,0.059,-3.2,1.4,-1.9,0.0
1 season,,BRK,NBA,,48.0,20.0,949.0,6.2,10.9,0.568,0.8,1.8,0.417,5.4,9.0,0.599,1.1,1.8,0.6,1.9,5.8,7.8,3.1,2.4,1.3,1.5,5.3,14.2,120.0,111.0,12.4,0.609,0.169,0.164,4.5,12.8,8.7,8.5,2.4,2.4,11.6,11.7,1.1,1.1,2.1,0.108,-2.0,1.6,-0.4,0.4
1 season,,MIL,NBA,,8.0,0.0,77.0,1.9,5.0,0.375,0.0,0.0,,1.9,5.0,0.375,0.0,0.0,,2.5,4.4,6.9,3.7,1.2,0.0,0.6,5.6,3.7,115.0,115.0,4.8,0.375,0.0,0.0,5.6,9.4,7.6,9.4,1.2,0.0,11.1,5.0,0.0,0.1,0.1,0.053,-4.4,0.5,-3.9,0.0
