Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,20.0,SAS,NBA,PG,38.0,8.0,322.0,7.9,18.4,0.431,1.4,3.6,0.391,6.5,14.7,0.441,3.3,4.7,0.7,0.9,5.7,6.6,7.6,1.3,0.9,6.0,4.6,20.6,91.0,106.0,9.6,0.503,0.198,0.259,2.2,12.4,7.4,22.6,1.3,1.5,22.7,23.5,-0.4,0.5,0.0,0.004,-4.2,-0.5,-4.8,-0.2
2017-18,21.0,SAS,NBA,PG,81.0,48.0,1743.0,7.8,17.7,0.443,0.3,1.0,0.265,7.6,16.7,0.454,3.0,4.3,0.709,3.2,10.1,13.3,6.7,2.8,0.9,3.9,4.4,19.0,99.0,101.0,15.1,0.485,0.056,0.243,7.0,22.4,14.6,20.2,2.8,1.5,16.6,20.7,-0.2,3.4,3.2,0.087,-1.6,2.2,0.5,1.1
2019-20,23.0,SAS,NBA,PG,66.0,58.0,1687.0,8.3,18.0,0.462,1.2,3.1,0.369,7.2,14.9,0.481,2.6,3.2,0.798,2.0,8.9,10.8,7.7,3.1,0.5,3.5,4.1,20.4,105.0,110.0,16.2,0.524,0.174,0.179,4.4,20.1,12.2,23.1,3.1,0.9,15.4,20.8,0.7,2.0,2.6,0.074,-0.9,1.3,0.4,1.0
2020-21,24.0,SAS,NBA,PG,67.0,67.0,2139.0,10.0,22.1,0.453,1.4,4.5,0.317,8.6,17.6,0.488,2.4,3.0,0.791,1.3,9.4,10.7,8.2,2.3,0.2,2.7,3.1,23.8,106.0,111.0,16.5,0.509,0.204,0.138,2.8,21.1,11.8,25.9,2.3,0.3,10.2,23.4,0.7,2.6,3.3,0.074,-0.2,1.0,0.8,1.5
2021-22,25.0,SAS,NBA,PG,68.0,68.0,2366.0,11.6,25.2,0.462,1.9,6.0,0.327,9.7,19.2,0.504,4.0,5.0,0.794,1.6,9.8,11.4,12.7,2.8,0.5,3.7,2.8,29.2,113.0,108.0,22.3,0.533,0.237,0.199,3.5,21.6,12.5,40.6,2.8,0.8,11.8,27.3,3.9,3.4,7.3,0.149,3.7,1.7,5.4,4.4
2022-23,26.0,ATL,NBA,SG,67.0,67.0,2437.0,10.8,23.6,0.459,2.5,7.0,0.35,8.4,16.6,0.505,2.7,3.2,0.831,0.9,6.1,7.0,8.0,2.0,0.4,2.9,1.9,26.8,111.0,116.0,17.0,0.536,0.298,0.137,2.1,14.2,8.1,24.2,2.0,0.7,10.2,24.6,1.9,2.2,4.1,0.081,1.0,0.0,1.0,1.9
Career,,,NBA,,387.0,316.0,10694.0,9.9,21.7,0.456,1.6,4.6,0.337,8.3,17.1,0.488,3.0,3.8,0.783,1.7,8.7,10.3,8.8,2.5,0.5,3.4,3.1,24.3,107.0,110.0,17.4,0.52,0.213,0.175,3.7,19.4,11.5,27.3,2.5,0.8,12.6,23.7,6.6,14.0,20.6,0.092,0.5,1.1,1.6,9.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,SAS,NBA,,320.0,249.0,8257.0,9.6,21.1,0.455,1.3,3.9,0.33,8.3,17.2,0.484,3.1,4.0,0.771,1.9,9.4,11.3,9.1,2.7,0.5,3.5,3.5,23.6,106.0,108.0,17.5,0.515,0.185,0.188,4.2,20.9,12.5,28.2,2.7,0.9,13.3,23.4,4.6,11.8,16.4,0.096,0.3,1.5,1.8,7.8
1 season,,ATL,NBA,,67.0,67.0,2437.0,10.8,23.6,0.459,2.5,7.0,0.35,8.4,16.6,0.505,2.7,3.2,0.831,0.9,6.1,7.0,8.0,2.0,0.4,2.9,1.9,26.8,111.0,116.0,17.0,0.536,0.298,0.137,2.1,14.2,8.1,24.2,2.0,0.7,10.2,24.6,1.9,2.2,4.1,0.081,1.0,0.0,1.0,1.9
