Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2009-10,20.0,SAS,NBA,PF,82.0,23.0,1494.0,9.6,17.3,0.556,0.0,0.1,0.0,9.6,17.3,0.558,3.1,5.6,0.547,7.0,11.4,18.4,2.3,1.8,1.4,3.9,7.9,22.4,108.0,101.0,17.7,0.564,0.004,0.325,16.0,25.1,20.6,7.1,1.8,1.9,16.5,20.8,1.8,2.8,4.6,0.147,-1.0,0.4,-0.7,0.5
2010-11,21.0,SAS,NBA,PF,81.0,65.0,1734.0,8.8,17.5,0.501,0.0,0.1,0.0,8.8,17.4,0.503,2.7,4.1,0.657,6.4,10.5,16.9,2.3,2.8,1.3,3.4,6.4,20.2,106.0,100.0,17.1,0.524,0.003,0.235,14.8,22.9,18.9,7.1,2.8,1.7,14.9,20.1,1.5,3.2,4.8,0.132,-1.2,0.7,-0.5,0.7
2011-12,22.0,SAS,NBA,PF,64.0,62.0,1363.0,10.2,19.1,0.534,0.0,0.0,0.0,10.2,19.1,0.535,2.8,4.5,0.613,5.8,7.5,13.3,3.0,2.2,0.5,3.5,6.4,23.2,108.0,102.0,17.6,0.549,0.002,0.236,13.2,16.3,14.8,9.2,2.2,0.6,14.2,21.7,2.2,1.8,4.0,0.142,-0.4,0.0,-0.3,0.6
2012-13,23.0,SAS,NBA,PF,61.0,16.0,851.0,8.5,16.2,0.524,0.0,0.1,0.0,8.5,16.2,0.526,2.6,4.2,0.629,4.0,9.8,13.8,2.7,2.2,0.6,2.9,6.7,19.6,104.0,99.0,14.6,0.543,0.004,0.258,9.5,21.1,15.6,8.3,2.2,0.9,14.0,19.0,0.7,1.5,2.2,0.126,-2.4,0.8,-1.6,0.1
2013-14,24.0,DAL,NBA,PF,78.0,13.0,1214.0,8.9,16.6,0.534,0.0,0.1,0.0,8.9,16.5,0.537,3.3,5.1,0.636,5.9,9.7,15.6,3.0,2.5,0.9,3.3,8.1,21.0,110.0,105.0,17.3,0.557,0.005,0.308,13.3,21.6,17.5,8.9,2.5,1.4,14.7,19.6,1.8,1.5,3.4,0.133,-1.2,0.1,-1.1,0.3
2014-15,25.0,WAS,NBA,PF,29.0,0.0,180.0,7.4,16.2,0.456,0.0,0.0,,7.4,16.2,0.456,1.1,1.7,0.667,4.6,11.4,15.9,0.9,2.0,0.3,3.7,11.7,15.9,88.0,100.0,7.7,0.469,0.0,0.105,10.3,24.5,17.5,2.6,2.0,0.4,17.9,18.3,-0.2,0.3,0.1,0.033,-7.5,-0.9,-8.4,-0.3
2015-16,26.0,WAS,NBA,C,29.0,0.0,218.0,6.3,15.2,0.412,0.0,0.2,0.0,6.3,15.0,0.418,1.1,2.9,0.385,4.5,8.3,12.7,2.5,1.8,0.4,3.4,11.9,13.6,85.0,105.0,5.4,0.414,0.015,0.191,10.1,19.4,14.6,7.3,1.8,0.7,16.9,17.8,-0.3,0.3,-0.1,-0.015,-8.1,-0.7,-8.9,-0.4
Career,,,NBA,,424.0,179.0,7054.0,9.1,17.4,0.524,0.0,0.1,0.0,9.1,17.3,0.526,2.8,4.6,0.608,5.9,9.8,15.8,2.6,2.3,0.9,3.4,7.3,21.0,106.0,102.0,16.5,0.541,0.004,0.264,13.6,21.6,17.7,7.8,2.3,1.3,15.1,20.2,7.5,11.5,19.0,0.129,-1.5,0.3,-1.2,1.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SAS,NBA,,288.0,166.0,5442.0,9.3,17.7,0.528,0.0,0.1,0.0,9.3,17.6,0.53,2.8,4.6,0.606,6.1,9.9,15.9,2.5,2.3,1.0,3.5,6.8,21.4,107.0,101.0,17.0,0.544,0.003,0.263,13.9,21.6,17.8,7.8,2.3,1.4,15.0,20.5,6.2,9.4,15.6,0.138,-1.2,0.5,-0.7,1.8
1 season,,DAL,NBA,,78.0,13.0,1214.0,8.9,16.6,0.534,0.0,0.1,0.0,8.9,16.5,0.537,3.3,5.1,0.636,5.9,9.7,15.6,3.0,2.5,0.9,3.3,8.1,21.0,110.0,105.0,17.3,0.557,0.005,0.308,13.3,21.6,17.5,8.9,2.5,1.4,14.7,19.6,1.8,1.5,3.4,0.133,-1.2,0.1,-1.1,0.3
2 seasons,,WAS,NBA,,58.0,0.0,398.0,6.8,15.7,0.432,0.0,0.1,0.0,6.8,15.5,0.435,1.1,2.4,0.474,4.5,9.6,14.2,1.8,1.9,0.4,3.5,11.8,14.7,86.0,103.0,6.5,0.439,0.008,0.152,10.1,21.7,15.9,5.2,1.9,0.6,17.4,18.0,-0.5,0.6,0.1,0.007,-7.8,-0.8,-8.6,-0.7
