Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,22.0,BOS,NBA,PG,5.0,0.0,17.0,8.8,11.7,0.75,2.9,2.9,1.0,5.8,8.8,0.667,8.8,17.5,0.5,5.8,5.8,11.7,8.8,0.0,0.0,0.0,0.0,29.2,167.0,114.0,30.8,0.753,0.25,1.5,13.2,13.0,13.1,28.2,0.0,0.0,0.0,17.3,0.1,0.0,0.1,0.386,9.7,0.1,9.8,0.1
2017-18,23.0,TOT,NBA,PG,15.0,0.0,80.0,4.3,11.0,0.389,0.6,4.3,0.143,3.7,6.7,0.545,0.6,1.2,0.5,3.1,4.3,7.3,5.5,3.1,0.6,6.1,4.3,9.8,77.0,105.0,5.4,0.424,0.389,0.111,7.1,9.8,8.4,15.9,3.1,1.1,34.6,15.8,-0.2,0.1,-0.1,-0.047,-6.1,0.9,-5.2,-0.1
2017-18,23.0,HOU,NBA,PG,12.0,0.0,63.0,3.1,10.9,0.286,0.0,4.7,0.0,3.1,6.2,0.5,0.0,0.0,,3.1,5.5,8.6,3.9,3.1,0.8,7.0,4.7,6.2,58.0,104.0,0.2,0.286,0.429,0.0,7.2,12.4,9.8,10.7,3.1,1.3,39.1,16.1,-0.3,0.1,-0.2,-0.14,-9.2,0.6,-8.5,-0.1
2017-18,23.0,PHI,NBA,PG,3.0,0.0,17.0,8.5,11.3,0.75,2.8,2.8,1.0,5.7,8.5,0.667,2.8,5.7,0.5,2.8,0.0,2.8,11.3,2.8,0.0,2.8,2.8,22.6,150.0,108.0,24.5,0.82,0.25,0.5,6.6,0.0,3.2,35.1,2.8,0.0,17.0,14.8,0.1,0.0,0.1,0.298,5.3,2.1,7.3,0.0
2018-19,24.0,PHI,NBA,PG,6.0,0.0,39.0,9.7,18.2,0.533,2.4,7.3,0.333,7.3,10.9,0.667,4.8,4.8,1.0,2.4,1.2,3.6,6.1,2.4,0.0,1.2,4.8,26.6,138.0,112.0,21.0,0.656,0.4,0.267,5.6,2.6,4.1,19.6,2.4,0.0,5.6,19.1,0.2,0.0,0.2,0.231,3.6,0.9,4.5,0.1
Career,,,NBA,,26.0,0.0,136.0,6.4,13.2,0.486,1.4,5.0,0.286,5.0,8.2,0.609,2.9,4.3,0.667,3.2,3.6,6.8,6.1,2.5,0.4,3.9,3.9,17.1,107.0,108.0,13.0,0.568,0.378,0.324,7.4,8.1,7.8,18.5,2.5,0.6,20.6,17.0,0.1,0.2,0.2,0.087,-1.3,0.8,-0.5,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,HOU,NBA,,12.0,0.0,63.0,3.1,10.9,0.286,0.0,4.7,0.0,3.1,6.2,0.5,0.0,0.0,,3.1,5.5,8.6,3.9,3.1,0.8,7.0,4.7,6.2,58.0,104.0,0.2,0.286,0.429,0.0,7.2,12.4,9.8,10.7,3.1,1.3,39.1,16.1,-0.3,0.1,-0.2,-0.14,-9.2,0.6,-8.5,-0.1
2 seasons,,PHI,NBA,,9.0,0.0,56.0,9.3,16.1,0.579,2.5,5.9,0.429,6.8,10.2,0.667,4.2,5.1,0.833,2.5,0.8,3.4,7.6,2.5,0.0,1.7,4.2,25.4,141.0,111.0,22.1,0.693,0.368,0.316,5.9,1.8,3.8,24.3,2.5,0.0,8.5,17.8,0.2,0.1,0.3,0.252,4.1,1.2,5.3,0.1
1 season,,BOS,NBA,,5.0,0.0,17.0,8.8,11.7,0.75,2.9,2.9,1.0,5.8,8.8,0.667,8.8,17.5,0.5,5.8,5.8,11.7,8.8,0.0,0.0,0.0,0.0,29.2,167.0,114.0,30.8,0.753,0.25,1.5,13.2,13.0,13.1,28.2,0.0,0.0,0.0,17.3,0.1,0.0,0.1,0.386,9.7,0.1,9.8,0.1
