Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2005-06,21.0,UTA,NBA,PG,80.0,47.0,2307.0,8.0,19.1,0.421,2.2,5.2,0.416,5.9,13.9,0.423,2.2,3.2,0.704,0.8,3.8,4.6,8.5,1.4,0.4,3.4,5.5,20.5,103.0,110.0,12.4,0.5,0.272,0.168,1.8,8.4,5.1,28.6,1.4,0.6,14.4,20.3,1.5,1.3,2.8,0.059,-0.5,-1.2,-1.7,0.2
2006-07,22.0,UTA,NBA,PG,80.0,80.0,2950.0,8.8,19.2,0.456,1.5,4.5,0.322,7.3,14.7,0.498,4.0,5.3,0.767,0.7,4.0,4.7,13.2,1.4,0.2,4.4,4.5,23.0,111.0,110.0,17.1,0.535,0.235,0.273,1.7,9.3,5.5,41.6,1.4,0.4,16.9,22.2,5.3,1.9,7.2,0.117,2.6,-1.3,1.3,2.4
2007-08,23.0,UTA,NBA,PG,82.0,82.0,3059.0,9.5,18.8,0.507,1.4,3.5,0.395,8.1,15.3,0.533,5.6,6.9,0.803,0.6,3.5,4.1,14.5,1.5,0.4,4.7,3.4,26.0,118.0,110.0,20.8,0.595,0.188,0.368,1.4,8.3,4.9,43.6,1.5,0.6,17.7,23.1,8.9,2.3,11.3,0.177,4.9,-1.1,3.8,4.5
2008-09,24.0,UTA,NBA,PG,68.0,68.0,2505.0,9.5,20.2,0.471,1.4,4.6,0.31,8.1,15.6,0.518,6.7,7.9,0.849,0.5,3.5,4.0,14.9,1.5,0.4,4.7,2.8,27.2,116.0,111.0,21.1,0.573,0.23,0.39,1.1,8.1,4.6,47.8,1.5,0.6,16.5,24.7,6.5,1.9,8.4,0.16,4.8,-0.9,4.0,3.8
2009-10,25.0,UTA,NBA,PG,76.0,76.0,2802.0,9.0,19.2,0.469,1.8,4.7,0.371,7.3,14.5,0.501,6.1,7.6,0.801,0.9,4.6,5.5,14.6,1.8,0.3,4.6,3.8,25.9,116.0,107.0,20.6,0.574,0.246,0.397,2.2,10.4,6.4,44.5,1.8,0.5,16.9,23.8,7.4,3.0,10.3,0.177,4.2,-0.4,3.8,4.1
2010-11,26.0,TOT,NBA,PG,65.0,65.0,2465.0,9.2,20.9,0.439,2.3,6.8,0.331,6.9,14.1,0.491,7.5,8.8,0.845,0.9,4.7,5.6,14.3,1.7,0.3,4.9,4.1,28.1,114.0,112.0,21.1,0.566,0.325,0.423,1.9,10.9,6.3,45.9,1.7,0.5,16.6,25.8,6.2,1.1,7.3,0.142,4.3,-1.3,3.0,3.1
2010-11,26.0,UTA,NBA,PG,53.0,53.0,2009.0,9.7,21.2,0.458,2.3,6.8,0.345,7.3,14.4,0.511,7.9,9.3,0.853,0.8,4.5,5.4,13.5,1.7,0.3,4.9,4.0,29.6,116.0,113.0,22.1,0.587,0.32,0.439,1.9,10.5,6.2,43.6,1.7,0.5,16.3,26.2,5.9,0.8,6.7,0.159,5.0,-1.2,3.7,2.9
2010-11,26.0,NJN,NBA,PG,12.0,12.0,456.0,6.9,19.8,0.349,1.9,6.9,0.271,5.0,12.9,0.391,5.4,6.8,0.793,0.9,5.5,6.4,17.9,1.8,0.4,5.0,4.4,21.1,103.0,110.0,17.0,0.463,0.349,0.343,2.0,12.5,7.1,55.9,1.8,0.5,18.1,24.2,0.3,0.3,0.6,0.066,1.4,-1.5,-0.1,0.2
2011-12,27.0,NJN,NBA,PG,55.0,55.0,1999.0,10.4,25.6,0.407,3.1,9.1,0.336,7.4,16.5,0.446,6.8,8.1,0.843,0.6,4.3,4.9,12.8,1.8,0.5,5.8,3.2,30.7,106.0,111.0,20.3,0.527,0.356,0.317,1.3,9.6,5.3,46.6,1.8,0.8,16.7,30.1,3.7,0.4,4.1,0.099,4.2,-1.9,2.3,2.2
2012-13,28.0,BRK,NBA,PG,78.0,78.0,2842.0,9.4,21.4,0.44,3.2,8.5,0.378,6.2,12.9,0.482,6.0,7.0,0.859,0.6,3.9,4.4,11.5,1.4,0.6,4.1,3.7,28.1,118.0,109.0,20.3,0.574,0.398,0.328,1.2,8.5,4.8,37.5,1.4,0.8,14.5,24.4,9.1,1.8,10.9,0.184,4.5,-0.7,3.8,4.2
