Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,19.0,PHO,NBA,SF,32.0,8.0,545.0,6.0,10.6,0.562,0.3,1.0,0.273,5.7,9.7,0.591,2.5,3.6,0.707,3.4,3.5,6.9,1.1,1.2,1.1,1.1,5.5,14.8,124.0,115.0,12.0,0.604,0.091,0.339,7.6,8.2,7.9,3.1,1.2,1.9,8.6,11.7,0.9,0.2,1.1,0.098,-1.6,-0.7,-2.3,0.0
2017-18,20.0,TOT,NBA,SF,20.0,8.0,245.0,4.3,10.8,0.396,0.6,3.7,0.167,3.7,7.1,0.514,3.3,4.9,0.667,4.3,3.5,7.7,1.8,0.8,2.6,1.4,4.9,12.4,107.0,109.0,10.1,0.48,0.34,0.453,9.6,7.8,8.7,5.1,0.8,4.4,9.9,12.8,0.1,0.2,0.4,0.075,-2.9,0.2,-2.7,0.0
2017-18,20.0,PHO,NBA,SF,6.0,0.0,33.0,2.9,5.8,0.5,0.0,2.9,0.0,2.9,2.9,1.0,7.3,8.7,0.833,2.9,2.9,5.8,4.4,1.5,5.8,1.5,2.9,13.1,141.0,109.0,18.4,0.678,0.5,1.5,6.4,6.6,6.5,12.3,1.5,9.8,13.1,9.8,0.1,0.0,0.1,0.177,2.0,2.8,4.8,0.1
2017-18,20.0,MIA,NBA,SF,14.0,8.0,212.0,4.5,11.6,0.388,0.7,3.8,0.188,3.8,7.8,0.485,2.6,4.3,0.611,4.5,3.6,8.1,1.4,0.7,2.1,1.4,5.2,12.3,103.0,109.0,8.8,0.457,0.327,0.367,10.1,8.0,9.0,4.0,0.7,3.6,9.5,13.3,0.0,0.2,0.3,0.059,-3.7,-0.2,-3.9,-0.1
2018-19,21.0,MIA,NBA,SF,60.0,14.0,1153.0,6.8,13.7,0.494,1.2,3.9,0.308,5.6,9.9,0.567,3.1,5.2,0.607,4.1,6.1,10.2,1.6,1.9,1.8,1.8,5.2,17.9,113.0,107.0,14.0,0.559,0.281,0.377,8.8,13.3,11.1,4.7,1.9,3.3,10.2,15.6,1.2,1.7,2.9,0.121,-1.5,1.0,-0.5,0.4
2019-20,22.0,MIA,NBA,SF,59.0,16.0,1375.0,6.5,12.4,0.527,1.3,4.7,0.28,5.2,7.7,0.677,3.4,4.4,0.772,2.3,5.9,8.3,2.2,2.1,1.3,1.1,4.6,17.7,126.0,109.0,14.9,0.62,0.378,0.352,5.6,13.1,9.5,6.7,2.1,2.7,6.9,13.9,2.6,1.8,4.4,0.153,-0.3,1.1,0.7,1.0
2020-21,23.0,POR,NBA,SF,58.0,43.0,1318.0,5.4,11.3,0.484,1.6,5.0,0.316,3.8,6.2,0.619,2.2,3.4,0.648,2.8,4.7,7.6,1.7,1.4,2.0,1.2,4.7,14.7,121.0,116.0,11.9,0.576,0.447,0.299,6.1,10.7,8.3,4.8,1.4,3.7,8.5,12.3,1.6,0.8,2.4,0.089,-1.4,0.0,-1.4,0.2
2021-22,24.0,CHI,NBA,PF,51.0,8.0,899.0,5.7,10.6,0.538,1.1,3.3,0.328,4.6,7.3,0.634,3.0,3.8,0.8,3.3,5.9,9.2,1.6,1.4,1.8,1.6,5.7,15.5,124.0,113.0,13.0,0.633,0.313,0.359,7.6,13.6,10.6,4.4,1.4,3.2,11.7,12.5,1.4,0.8,2.2,0.119,-1.5,0.5,-0.9,0.2
2022-23,25.0,CHI,NBA,SF,56.0,0.0,781.0,6.3,12.4,0.508,1.2,3.9,0.317,5.0,8.5,0.596,3.7,4.8,0.766,3.3,4.9,8.2,2.1,1.4,2.1,1.4,4.7,17.5,124.0,112.0,14.1,0.603,0.317,0.387,7.9,11.2,9.6,5.7,1.4,4.2,8.6,14.4,1.2,1.0,2.2,0.136,-1.0,0.8,-0.2,0.4
Career,,,NBA,,336.0,97.0,6316.0,6.1,11.9,0.509,1.2,4.0,0.301,4.9,8.0,0.612,3.0,4.2,0.708,3.2,5.3,8.5,1.8,1.6,1.8,1.4,5.0,16.3,121.0,111.0,13.3,0.592,0.331,0.355,7.2,11.8,9.5,5.1,1.6,3.3,9.0,13.5,9.1,6.5,15.7,0.119,-1.2,0.5,-0.7,2.1
