Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2011-12,20.0,MIN,NBA,PF,66.0,15.0,1418.0,7.4,18.1,0.412,1.3,5.0,0.268,6.1,13.1,0.467,4.9,7.1,0.697,2.8,8.5,11.3,1.4,1.1,1.1,2.8,3.4,21.2,100.0,106.0,12.9,0.499,0.277,0.392,6.0,18.4,12.2,4.5,1.1,1.6,11.7,20.7,0.6,1.2,1.8,0.059,-1.4,-0.7,-2.1,0.0
2012-13,21.0,MIN,NBA,PF,78.0,56.0,1916.0,9.1,21.2,0.43,1.8,5.3,0.332,7.4,15.9,0.463,5.2,7.3,0.706,2.6,9.0,11.6,1.2,1.2,1.0,2.7,3.4,25.2,101.0,105.0,14.5,0.515,0.249,0.346,5.6,20.6,12.8,4.2,1.2,1.5,10.0,23.5,1.0,2.1,3.0,0.076,-0.5,-1.0,-1.5,0.2
2013-14,22.0,TOT,NBA,"PF,SF",78.0,15.0,1820.0,5.7,13.4,0.427,0.7,2.8,0.263,5.0,10.7,0.47,5.2,7.2,0.718,2.0,7.0,9.0,1.6,1.3,0.6,2.1,3.2,17.4,105.0,109.0,11.5,0.524,0.205,0.537,4.3,15.8,10.0,4.7,1.3,0.9,11.3,16.2,1.3,1.3,2.6,0.068,-1.6,-0.5,-2.1,0.0
2013-14,22.0,MIN,NBA,PF,11.0,0.0,162.0,5.8,16.4,0.352,0.6,4.6,0.133,5.2,11.9,0.436,4.3,4.9,0.875,0.9,7.0,7.9,0.3,1.2,1.2,1.8,2.7,16.4,90.0,107.0,7.6,0.442,0.278,0.296,2.0,15.9,8.7,0.9,1.2,1.9,8.9,17.6,-0.1,0.2,0.0,0.008,-4.0,-0.2,-4.2,-0.1
2013-14,22.0,SAC,NBA,SF,67.0,15.0,1658.0,5.7,13.1,0.437,0.7,2.6,0.286,5.0,10.6,0.474,5.3,7.5,0.708,2.1,7.0,9.1,1.7,1.4,0.5,2.1,3.2,17.5,107.0,110.0,11.9,0.533,0.196,0.568,4.6,15.8,10.1,5.1,1.4,0.8,11.6,16.1,1.4,1.1,2.5,0.073,-1.3,-0.5,-1.9,0.1
2014-15,23.0,SAC,NBA,PF,74.0,6.0,1462.0,7.5,16.7,0.447,1.7,5.4,0.314,5.8,11.3,0.511,4.6,6.7,0.684,1.4,5.5,7.0,1.7,1.2,0.1,1.9,2.3,21.2,108.0,112.0,12.8,0.54,0.322,0.404,3.3,12.1,7.8,5.6,1.2,0.2,8.9,18.9,1.7,0.4,2.1,0.069,-0.3,-1.6,-2.0,0.0
2015-16,24.0,NYK,NBA,SF,80.0,9.0,1435.0,9.1,20.2,0.45,1.6,5.4,0.293,7.5,14.9,0.506,6.9,9.2,0.758,1.7,8.9,10.6,2.7,1.0,0.3,2.2,2.5,26.7,110.0,108.0,17.2,0.55,0.265,0.453,3.6,18.7,11.3,8.9,1.0,0.5,8.3,23.3,2.4,1.2,3.6,0.12,1.5,-1.2,0.3,0.8
2016-17,25.0,TOT,NBA,PF,50.0,11.0,804.0,6.7,15.2,0.443,1.9,6.0,0.309,4.9,9.2,0.531,3.6,5.6,0.652,1.2,6.9,8.1,1.7,0.9,0.4,1.7,3.7,19.0,106.0,111.0,10.6,0.537,0.398,0.365,2.6,15.1,8.9,5.1,0.9,0.7,9.0,17.2,0.4,0.6,1.1,0.064,-1.9,-1.0,-2.9,-0.2
2016-17,25.0,MIA,NBA,PF,25.0,11.0,377.0,7.2,18.3,0.394,1.2,6.0,0.2,6.0,12.3,0.489,4.1,6.7,0.62,2.1,7.6,9.8,1.9,1.2,0.7,1.9,4.4,19.8,97.0,108.0,10.1,0.465,0.328,0.365,4.7,16.9,10.7,5.6,1.2,1.0,8.1,20.4,-0.1,0.4,0.3,0.038,-2.9,-0.5,-3.4,-0.1
2016-17,25.0,CLE,NBA,PF,25.0,0.0,427.0,6.3,12.5,0.505,2.5,6.1,0.404,3.9,6.4,0.6,3.2,4.6,0.692,0.4,6.3,6.7,1.6,0.6,0.2,1.6,3.2,18.2,117.0,113.0,11.1,0.628,0.486,0.364,0.8,13.5,7.4,4.7,0.6,0.4,10.1,14.4,0.6,0.2,0.8,0.086,-1.0,-1.5,-2.5,-0.1
2017-18,26.0,LAL,NBA,PF,2.0,0.0,9.0,5.3,21.3,0.25,0.0,10.6,0.0,5.3,10.6,0.5,0.0,0.0,,0.0,5.3,5.3,0.0,0.0,0.0,0.0,0.0,10.6,55.0,114.0,-3.2,0.25,0.5,0.0,0.0,11.7,5.9,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,-0.191,-9.8,-7.0,-16.8,0.0
Career,,,NBA,,428.0,112.0,8864.0,7.7,17.6,0.434,1.4,4.8,0.3,6.2,12.8,0.484,5.2,7.3,0.71,2.0,7.7,9.7,1.7,1.1,0.6,2.3,3.1,21.9,105.0,108.0,13.4,0.526,0.273,0.414,4.4,17.0,10.7,5.4,1.1,0.9,9.9,20.2,7.2,6.8,14.1,0.076,-0.6,-1.0,-1.6,0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIN,NBA,,155.0,71.0,3496.0,8.3,19.7,0.42,1.5,5.1,0.298,6.7,14.6,0.463,5.0,7.1,0.708,2.6,8.7,11.3,1.3,1.1,1.1,2.7,3.4,23.1,100.0,106.0,13.5,0.506,0.261,0.361,5.6,19.5,12.4,4.2,1.1,1.5,10.6,22.1,1.4,3.4,4.8,0.066,-1.0,-0.8,-1.9,0.1
2 seasons,,SAC,NBA,,141.0,21.0,3120.0,6.6,14.8,0.442,1.2,3.9,0.304,5.4,10.9,0.492,5.0,7.1,0.697,1.8,6.3,8.1,1.7,1.3,0.3,2.0,2.8,19.3,107.0,111.0,12.3,0.537,0.263,0.481,4.0,14.0,9.0,5.3,1.3,0.5,10.2,17.4,3.1,1.6,4.6,0.071,-0.9,-1.1,-1.9,0.1
1 season,,NYK,NBA,,80.0,9.0,1435.0,9.1,20.2,0.45,1.6,5.4,0.293,7.5,14.9,0.506,6.9,9.2,0.758,1.7,8.9,10.6,2.7,1.0,0.3,2.2,2.5,26.7,110.0,108.0,17.2,0.55,0.265,0.453,3.6,18.7,11.3,8.9,1.0,0.5,8.3,23.3,2.4,1.2,3.6,0.12,1.5,-1.2,0.3,0.8
1 season,,CLE,NBA,,25.0,0.0,427.0,6.3,12.5,0.505,2.5,6.1,0.404,3.9,6.4,0.6,3.2,4.6,0.692,0.4,6.3,6.7,1.6,0.6,0.2,1.6,3.2,18.2,117.0,113.0,11.1,0.628,0.486,0.364,0.8,13.5,7.4,4.7,0.6,0.4,10.1,14.4,0.6,0.2,0.8,0.086,-1.0,-1.5,-2.5,-0.1
1 season,,MIA,NBA,,25.0,11.0,377.0,7.2,18.3,0.394,1.2,6.0,0.2,6.0,12.3,0.489,4.1,6.7,0.62,2.1,7.6,9.8,1.9,1.2,0.7,1.9,4.4,19.8,97.0,108.0,10.1,0.465,0.328,0.365,4.7,16.9,10.7,5.6,1.2,1.0,8.1,20.4,-0.1,0.4,0.3,0.038,-2.9,-0.5,-3.4,-0.1
1 season,,LAL,NBA,,2.0,0.0,9.0,5.3,21.3,0.25,0.0,10.6,0.0,5.3,10.6,0.5,0.0,0.0,,0.0,5.3,5.3,0.0,0.0,0.0,0.0,0.0,10.6,55.0,114.0,-3.2,0.25,0.5,0.0,0.0,11.7,5.9,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,-0.191,-9.8,-7.0,-16.8,0.0
