Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,20.0,OKC,NBA,PF,81.0,66.0,1632.0,5.8,14.5,0.399,1.5,4.8,0.321,4.2,9.7,0.438,1.3,2.0,0.657,1.4,7.3,8.7,2.5,1.2,1.0,2.5,6.0,14.4,93.0,108.0,6.9,0.469,0.331,0.139,3.1,16.4,9.8,7.2,1.2,1.6,14.0,15.4,-1.0,1.8,0.8,0.022,-4.5,-0.1,-4.5,-1.0
2017-18,21.0,IND,NBA,C,74.0,19.0,1810.0,9.4,18.3,0.514,0.4,1.0,0.351,9.0,17.2,0.524,4.6,6.2,0.75,4.6,11.2,15.8,4.2,1.1,0.9,3.8,6.1,23.8,110.0,107.0,17.5,0.567,0.056,0.339,10.4,25.2,17.8,12.7,1.1,1.6,15.3,22.1,2.5,2.2,4.7,0.126,-0.6,-0.5,-1.1,0.4
2018-19,22.0,IND,NBA,C,74.0,5.0,1838.0,11.0,18.6,0.59,0.2,0.5,0.529,10.8,18.2,0.592,5.5,7.7,0.715,5.0,13.4,18.4,5.6,1.3,0.8,4.3,6.4,27.8,118.0,104.0,21.9,0.63,0.024,0.416,11.5,29.8,20.8,18.2,1.3,1.5,16.2,23.5,4.3,3.3,7.6,0.197,1.9,1.3,3.1,2.4
2019-20,23.0,IND,NBA,PF,62.0,62.0,2159.0,10.3,19.1,0.54,0.4,1.5,0.254,9.9,17.6,0.565,4.8,6.7,0.723,4.2,13.1,17.3,7.0,1.1,0.7,3.8,4.4,25.8,115.0,106.0,20.7,0.586,0.079,0.349,9.7,29.3,19.6,21.7,1.1,1.2,14.8,23.3,4.1,3.4,7.5,0.168,2.0,1.2,3.2,2.9
2020-21,24.0,IND,NBA,PF,62.0,62.0,2231.0,10.3,19.2,0.535,1.1,3.4,0.321,9.2,15.7,0.582,5.1,6.9,0.732,3.2,12.5,15.7,8.8,1.6,0.7,4.5,4.3,26.7,115.0,110.0,20.6,0.601,0.179,0.363,7.3,28.6,18.0,27.5,1.6,1.2,16.9,24.1,4.0,3.0,6.9,0.149,2.3,1.6,3.8,3.3
2021-22,25.0,TOT,NBA,PF,62.0,61.0,2136.0,10.1,17.6,0.573,0.9,2.9,0.312,9.2,14.8,0.623,5.6,7.6,0.741,4.6,12.6,17.2,7.4,1.3,0.6,4.5,4.6,26.7,121.0,113.0,21.9,0.637,0.162,0.429,10.3,29.0,19.5,23.6,1.3,1.1,17.5,22.3,5.3,1.8,7.1,0.159,3.2,0.9,4.1,3.2
2021-22,25.0,IND,NBA,PF,47.0,46.0,1632.0,9.9,17.1,0.58,1.1,3.2,0.324,8.9,13.9,0.639,5.7,7.7,0.74,4.7,12.4,17.0,7.1,1.4,0.7,4.3,4.4,26.6,123.0,114.0,22.2,0.649,0.189,0.452,10.4,28.6,19.4,22.2,1.4,1.2,17.3,21.7,4.4,1.3,5.7,0.168,3.6,1.0,4.6,2.7
2021-22,25.0,SAC,NBA,PF,15.0,15.0,504.0,10.7,19.3,0.554,0.4,1.6,0.235,10.3,17.7,0.584,5.3,7.1,0.743,4.4,13.3,17.7,8.3,1.2,0.5,5.0,5.4,27.0,115.0,113.0,21.0,0.603,0.084,0.366,9.8,30.3,20.0,28.0,1.2,0.9,18.1,24.4,0.9,0.5,1.4,0.132,1.8,0.5,2.3,0.5
2022-23,26.0,SAC,NBA,C,72.0,72.0,2511.0,9.9,16.3,0.608,0.5,1.5,0.354,9.4,14.8,0.633,5.8,7.6,0.762,4.4,12.7,17.1,10.0,1.1,0.7,4.0,4.9,26.2,132.0,114.0,23.3,0.665,0.092,0.464,10.6,30.2,20.5,30.1,1.1,1.2,16.9,21.3,8.8,2.7,11.5,0.219,4.0,1.7,5.7,4.9
Career,,,NBA,,487.0,347.0,14317.0,9.7,17.7,0.546,0.7,2.2,0.324,9.0,15.5,0.577,4.8,6.6,0.735,4.0,12.0,16.0,6.8,1.2,0.7,4.0,5.1,24.9,117.0,109.0,19.5,0.604,0.124,0.371,9.1,27.4,18.3,21.1,1.2,1.3,16.1,21.9,27.9,18.2,46.1,0.155,1.5,1.0,2.4,16.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,IND,NBA,,319.0,194.0,9670.0,10.2,18.5,0.55,0.6,2.0,0.322,9.6,16.6,0.577,5.1,7.0,0.731,4.3,12.6,16.8,6.7,1.3,0.7,4.1,5.0,26.2,116.0,108.0,20.6,0.605,0.106,0.379,9.7,28.4,19.1,20.8,1.3,1.3,16.1,23.0,19.2,13.3,32.5,0.161,1.8,0.9,2.8,11.6
2 seasons,,SAC,NBA,,87.0,87.0,3015.0,10.1,16.8,0.598,0.5,1.5,0.333,9.5,15.3,0.624,5.7,7.5,0.759,4.4,12.8,17.2,9.7,1.1,0.7,4.2,5.0,26.3,129.0,114.0,22.9,0.654,0.09,0.446,10.5,30.2,20.4,29.8,1.1,1.2,17.1,21.8,9.7,3.2,12.9,0.205,3.6,1.5,5.1,5.5
1 season,,OKC,NBA,,81.0,66.0,1632.0,5.8,14.5,0.399,1.5,4.8,0.321,4.2,9.7,0.438,1.3,2.0,0.657,1.4,7.3,8.7,2.5,1.2,1.0,2.5,6.0,14.4,93.0,108.0,6.9,0.469,0.331,0.139,3.1,16.4,9.8,7.2,1.2,1.6,14.0,15.4,-1.0,1.8,0.8,0.022,-4.5,-0.1,-4.5,-1.0
