Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2012-13,22.0,HOU,NBA,PF,44.0,14.0,538.0,9.0,19.8,0.455,2.2,7.7,0.289,6.8,12.1,0.562,3.0,4.7,0.627,3.3,5.3,8.6,2.9,0.6,0.9,3.4,6.8,23.2,102.0,109.0,12.2,0.531,0.39,0.239,7.7,11.9,9.8,9.5,0.6,1.4,13.6,22.1,0.4,0.3,0.7,0.061,-1.9,-1.6,-3.5,-0.2
2013-14,23.0,HOU,NBA,PF,62.0,3.0,952.0,6.9,15.5,0.443,1.1,4.4,0.25,5.8,11.1,0.519,3.0,5.0,0.604,3.1,8.6,11.8,1.8,1.0,1.1,2.6,6.9,17.9,101.0,106.0,10.7,0.504,0.284,0.324,7.4,18.2,13.1,5.5,1.0,1.6,12.7,17.8,0.3,1.0,1.4,0.069,-3.2,-0.6,-3.8,-0.4
2014-15,24.0,HOU,NBA,PF,71.0,62.0,2037.0,8.6,17.1,0.504,1.2,3.2,0.368,7.4,13.8,0.536,2.4,4.1,0.602,3.3,6.9,10.3,3.2,1.4,0.8,3.0,5.0,20.9,107.0,105.0,14.4,0.553,0.19,0.237,7.4,15.4,11.4,10.8,1.4,1.3,13.7,19.1,2.4,2.3,4.7,0.11,-0.4,-0.1,-0.5,0.8
2015-16,25.0,HOU,NBA,PF,37.0,22.0,547.0,8.1,18.4,0.439,1.4,5.1,0.281,6.7,13.3,0.5,3.1,4.8,0.642,3.3,6.5,9.8,3.7,1.5,0.4,4.0,6.2,20.7,98.0,110.0,11.3,0.504,0.278,0.259,7.4,14.6,11.0,12.2,1.5,0.8,16.2,21.4,0.0,0.3,0.3,0.026,-2.8,-1.7,-4.5,-0.3
2016-17,26.0,NOP,NBA,PF,34.0,0.0,479.0,5.8,14.1,0.413,1.1,4.8,0.234,4.7,9.3,0.505,2.6,5.0,0.51,2.7,7.7,10.3,3.3,1.8,1.1,3.2,5.6,15.3,91.0,106.0,9.1,0.47,0.341,0.355,5.7,16.6,11.1,9.7,1.8,1.9,16.3,17.6,-0.5,0.6,0.2,0.016,-4.5,0.3,-4.3,-0.3
2018-19,28.0,SAS,NBA,PF,3.0,0.0,13.0,11.3,22.5,0.5,0.0,0.0,,11.3,22.5,0.5,0.0,7.5,0.0,7.5,3.8,11.3,3.8,0.0,3.8,11.3,22.5,22.5,72.0,111.0,-0.5,0.436,0.0,0.333,16.9,8.3,12.6,11.9,0.0,6.5,30.4,33.5,-0.1,0.0,-0.1,-0.246,-19.4,-2.3,-21.7,-0.1
Career,,,NBA,,251.0,101.0,4566.0,7.9,16.9,0.469,1.3,4.4,0.3,6.6,12.5,0.529,2.7,4.5,0.597,3.2,7.1,10.3,2.9,1.3,0.9,3.1,5.8,19.9,102.0,106.0,12.4,0.526,0.259,0.268,7.3,15.6,11.5,9.6,1.3,1.4,14.1,19.3,2.5,4.6,7.1,0.075,-1.9,-0.5,-2.5,-0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,HOU,NBA,,214.0,101.0,4074.0,8.2,17.2,0.475,1.3,4.4,0.308,6.8,12.9,0.531,2.7,4.5,0.612,3.3,7.1,10.3,2.9,1.2,0.9,3.1,5.8,20.4,104.0,106.0,12.8,0.532,0.252,0.259,7.5,15.5,11.5,9.6,1.2,1.3,13.8,19.5,3.0,4.0,7.0,0.083,-1.6,-0.6,-2.2,-0.2
1 season,,NOP,NBA,,34.0,0.0,479.0,5.8,14.1,0.413,1.1,4.8,0.234,4.7,9.3,0.505,2.6,5.0,0.51,2.7,7.7,10.3,3.3,1.8,1.1,3.2,5.6,15.3,91.0,106.0,9.1,0.47,0.341,0.355,5.7,16.6,11.1,9.7,1.8,1.9,16.3,17.6,-0.5,0.6,0.2,0.016,-4.5,0.3,-4.3,-0.3
1 season,,SAS,NBA,,3.0,0.0,13.0,11.3,22.5,0.5,0.0,0.0,,11.3,22.5,0.5,0.0,7.5,0.0,7.5,3.8,11.3,3.8,0.0,3.8,11.3,22.5,22.5,72.0,111.0,-0.5,0.436,0.0,0.333,16.9,8.3,12.6,11.9,0.0,6.5,30.4,33.5,-0.1,0.0,-0.1,-0.246,-19.4,-2.3,-21.7,-0.1
