Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2004-05,19.0,MIA,NBA,SF,3.0,0.0,27.0,5.9,21.5,0.273,0.0,7.8,0.0,5.9,13.7,0.429,2.0,2.0,1.0,0.0,2.0,2.0,5.9,7.8,0.0,5.9,3.9,13.7,62.0,94.0,5.2,0.306,0.364,0.091,0.0,4.2,2.2,16.7,7.8,0.0,20.8,24.9,-0.1,0.1,-0.1,-0.134,-9.0,1.7,-7.2,0.0
2005-06,20.0,MIA,NBA,SF,20.0,2.0,132.0,7.9,17.1,0.465,1.2,2.4,0.5,6.8,14.7,0.459,6.0,6.8,0.882,0.8,11.9,12.7,3.2,1.2,0.4,5.6,4.8,23.0,97.0,103.0,13.2,0.574,0.14,0.395,1.9,25.6,14.3,9.8,1.2,0.6,21.7,22.6,0.0,0.2,0.2,0.064,-2.6,0.0,-2.6,0.0
2006-07,21.0,MIA,NBA,SF,66.0,19.0,1292.0,6.7,15.0,0.445,0.2,1.4,0.147,6.5,13.6,0.476,2.6,3.6,0.744,1.7,9.6,11.2,3.9,1.7,1.9,2.7,4.6,16.2,97.0,102.0,12.7,0.489,0.093,0.236,3.7,20.7,12.4,12.1,1.7,2.8,13.9,17.1,-0.1,2.0,1.9,0.072,-1.9,1.5,-0.4,0.5
2007-08,22.0,MIA,NBA,SF,44.0,34.0,1104.0,6.9,14.1,0.488,0.2,0.5,0.364,6.7,13.6,0.493,2.7,3.3,0.826,2.3,8.3,10.6,2.9,1.4,2.0,1.4,3.8,16.7,111.0,108.0,14.4,0.537,0.038,0.235,5.1,19.0,11.9,9.4,1.4,3.0,8.2,15.1,1.2,1.1,2.2,0.096,-0.7,0.7,0.1,0.6
2008-09,23.0,MIA,NBA,SF,6.0,0.0,73.0,5.9,14.6,0.4,0.0,0.0,,5.9,14.6,0.4,1.5,4.4,0.333,1.5,13.2,14.6,1.5,1.5,0.0,4.4,5.9,13.2,70.0,105.0,3.7,0.398,0.0,0.3,3.3,29.8,16.4,4.2,1.5,0.0,20.9,18.4,-0.2,0.1,-0.1,-0.086,-9.5,-0.8,-10.3,-0.1
2009-10,24.0,MIA,NBA,SF,72.0,1.0,1496.0,6.9,15.0,0.463,2.2,5.6,0.389,4.8,9.4,0.508,2.2,2.5,0.884,1.8,6.6,8.4,3.3,1.9,1.1,1.9,3.4,18.3,114.0,104.0,14.5,0.567,0.375,0.165,4.0,14.4,9.2,9.8,1.9,1.7,10.6,15.8,2.1,2.2,4.3,0.137,0.7,1.2,1.8,1.5
2010-11,25.0,GSW,NBA,SF,82.0,82.0,3147.0,7.8,18.4,0.423,3.1,8.3,0.376,4.7,10.1,0.462,2.9,3.7,0.789,1.4,5.5,6.9,3.9,2.0,1.0,2.1,2.8,21.6,110.0,111.0,15.0,0.539,0.45,0.199,3.1,12.6,7.8,11.6,2.0,1.5,9.6,19.3,3.9,1.8,5.8,0.088,1.3,-0.5,0.8,2.2
2011-12,26.0,GSW,NBA,SF,61.0,61.0,1650.0,7.0,16.6,0.422,3.3,9.2,0.36,3.7,7.4,0.5,2.5,3.1,0.816,1.9,6.9,8.8,3.0,1.8,0.8,1.6,3.1,19.8,111.0,109.0,15.0,0.553,0.555,0.186,4.1,14.9,9.6,8.8,1.8,1.2,8.2,17.3,2.6,0.8,3.4,0.099,1.6,-0.7,0.9,1.2
2012-13,27.0,PHI,NBA,SF,79.0,8.0,1783.0,7.0,17.7,0.396,4.0,10.7,0.374,3.0,7.0,0.429,3.5,4.2,0.851,1.2,7.7,8.9,4.4,1.8,1.0,1.9,2.9,21.6,112.0,105.0,16.0,0.551,0.603,0.235,2.6,17.0,9.6,13.1,1.8,1.5,8.8,18.7,2.8,2.1,4.9,0.132,1.9,0.6,2.6,2.1
2013-14,28.0,POR,NBA,SF,68.0,13.0,984.0,5.7,15.3,0.374,3.5,10.4,0.342,2.2,4.9,0.442,2.7,3.5,0.754,1.5,8.3,9.8,3.3,1.2,0.8,2.0,3.2,17.6,108.0,107.0,11.9,0.524,0.68,0.232,3.2,17.5,10.5,9.4,1.2,1.1,10.6,16.2,0.9,1.0,1.9,0.091,0.4,0.5,0.9,0.7
2014-15,29.0,POR,NBA,SF,48.0,2.0,592.0,6.2,16.4,0.379,3.5,9.3,0.38,2.7,7.1,0.378,2.9,3.6,0.81,1.2,8.3,9.6,3.5,1.7,0.9,1.5,4.7,18.8,109.0,102.0,13.4,0.525,0.568,0.221,2.6,17.2,10.0,10.2,1.7,1.3,7.9,17.1,0.7,0.8,1.6,0.128,0.3,1.5,1.8,0.6
Career,,,NBA,,549.0,222.0,12280.0,7.0,16.6,0.424,2.6,7.2,0.365,4.4,9.4,0.469,2.8,3.5,0.806,1.6,7.3,8.9,3.6,1.8,1.1,2.0,3.3,19.5,109.0,107.0,14.4,0.538,0.433,0.211,3.5,16.0,9.7,10.8,1.8,1.7,10.0,17.6,13.7,12.1,25.9,0.101,0.6,0.3,0.9,9.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,MIA,NBA,,211.0,56.0,4124.0,6.9,14.9,0.461,0.9,2.7,0.344,5.9,12.1,0.487,2.6,3.2,0.806,1.8,8.3,10.1,3.4,1.7,1.6,2.2,4.0,17.2,105.0,104.0,13.6,0.529,0.184,0.216,4.1,18.2,11.2,10.3,1.7,2.3,11.9,16.4,2.8,5.6,8.4,0.098,-0.9,1.1,0.2,2.3
2 seasons,,GSW,NBA,,143.0,143.0,4797.0,7.5,17.8,0.423,3.2,8.6,0.37,4.3,9.2,0.472,2.8,3.5,0.798,1.6,6.0,7.6,3.6,1.9,0.9,2.0,2.9,21.0,110.0,110.0,15.0,0.543,0.483,0.195,3.5,13.4,8.4,10.6,1.9,1.4,9.2,18.6,6.5,2.6,9.2,0.092,1.4,-0.6,0.8,3.4
2 seasons,,POR,NBA,,116.0,15.0,1576.0,5.9,15.7,0.376,3.5,10.0,0.355,2.3,5.7,0.412,2.8,3.6,0.775,1.4,8.3,9.7,3.4,1.4,0.9,1.8,3.8,18.1,108.0,105.0,12.5,0.524,0.637,0.228,3.0,17.4,10.3,9.7,1.4,1.2,9.6,16.6,1.6,1.8,3.5,0.105,0.4,0.9,1.2,1.3
1 season,,PHI,NBA,,79.0,8.0,1783.0,7.0,17.7,0.396,4.0,10.7,0.374,3.0,7.0,0.429,3.5,4.2,0.851,1.2,7.7,8.9,4.4,1.8,1.0,1.9,2.9,21.6,112.0,105.0,16.0,0.551,0.603,0.235,2.6,17.0,9.6,13.1,1.8,1.5,8.8,18.7,2.8,2.1,4.9,0.132,1.9,0.6,2.6,2.1
