Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2012-13,22.0,GSW,NBA,SF,79,1,1061,4.0,12.3,0.327,0.7,3.2,0.209,3.4,9.1,0.368,2.2,2.6,0.818,2.8,9.7,12.5,2.5,2.0,1.2,2.4,7.6,10.9,87,102,7.1,0.404,0.261,0.214,6.2,20.3,13.5,7.0,2.0,1.8,15.4,14.0,-0.9,1.6,0.6,0.028,-5.0,1.4,-3.6,-0.4
2013-14,23.0,GSW,NBA,SF,82,12,1797,5.2,12.7,0.407,1.5,4.6,0.333,3.7,8.2,0.449,2.3,3.4,0.667,2.4,9.0,11.4,4.2,2.8,2.0,2.5,6.4,14.2,102,98,12.7,0.498,0.359,0.268,5.3,19.3,12.4,11.9,2.8,3.0,15.1,14.8,0.7,3.8,4.5,0.119,-1.7,3.6,1.9,1.8
2014-15,24.0,GSW,NBA,PF,79,79,2490,6.7,15.0,0.443,2.2,6.5,0.337,4.5,8.6,0.523,2.6,3.9,0.66,2.2,10.5,12.7,5.7,2.4,1.9,2.6,5.0,18.1,110,97,16.4,0.54,0.43,0.261,5.1,22.4,14.0,16.1,2.4,2.9,13.5,17.2,3.3,5.2,8.5,0.163,0.7,2.8,3.5,3.5
2015-16,25.0,GSW,NBA,PF,81,81,2808,6.9,14.1,0.49,1.7,4.4,0.388,5.2,9.7,0.537,3.9,5.7,0.696,2.3,10.9,13.2,10.3,2.0,1.9,4.5,4.1,19.5,115,100,19.3,0.587,0.315,0.402,5.5,23.0,14.7,29.0,2.0,3.0,21.2,18.8,6.0,5.1,11.1,0.19,2.6,2.9,5.5,5.3
2016-17,26.0,GSW,NBA,PF,76,76,2471,5.3,12.7,0.418,1.6,5.1,0.308,3.7,7.5,0.494,2.9,4.1,0.709,1.9,9.8,11.7,10.4,3.0,2.1,3.6,4.2,15.1,111,99,16.5,0.522,0.405,0.328,4.7,20.9,13.3,27.6,3.0,3.4,19.8,16.2,2.8,5.4,8.2,0.16,1.0,3.9,4.9,4.3
2017-18,27.0,GSW,NBA,PF,70,70,2287,5.9,13.0,0.454,1.6,5.4,0.301,4.3,7.6,0.562,2.8,3.6,0.775,1.6,9.7,11.3,10.7,2.0,1.9,4.3,3.9,16.3,110,105,16.1,0.556,0.414,0.279,3.9,21.1,13.1,29.0,2.0,3.1,22.5,17.2,2.6,3.4,6.1,0.127,0.9,1.9,2.8,2.8
2018-19,28.0,GSW,NBA,PF,66,66,2065,4.3,9.7,0.445,1.1,3.8,0.285,3.2,5.9,0.549,1.5,2.1,0.692,1.4,9.7,11.1,10.5,2.2,1.6,3.9,4.5,11.2,108,106,12.9,0.526,0.391,0.216,3.2,20.8,12.4,26.8,2.2,2.8,26.8,13.1,1.1,3.2,4.3,0.1,-1.3,2.7,1.4,1.8
2019-20,29.0,GSW,NBA,PF,43,43,1222,4.8,12.4,0.389,1.4,5.1,0.279,3.4,7.3,0.465,2.5,3.3,0.759,0.9,9.5,10.4,10.4,2.3,1.3,3.8,4.3,13.5,100,110,12.5,0.489,0.408,0.263,2.0,22.3,11.8,31.2,2.3,2.4,21.8,15.7,-0.2,1.3,1.1,0.044,-2.1,1.9,-0.2,0.5
2020-21,30.0,GSW,NBA,PF,63,63,1982,4.0,9.0,0.447,0.8,3.0,0.27,3.2,6.0,0.535,1.7,2.1,0.795,1.3,9.3,10.6,13.2,2.5,1.2,4.5,4.6,10.5,110,106,13.3,0.53,0.332,0.232,3.0,20.9,12.1,36.4,2.5,2.3,31.0,13.1,1.2,3.4,4.6,0.112,-1.6,3.3,1.7,1.9
2021-22,31.0,GSW,NBA,PF,46,44,1329,5.0,9.4,0.525,0.6,2.0,0.296,4.4,7.4,0.586,2.2,3.3,0.659,1.7,10.7,12.3,11.7,2.2,1.8,5.1,5.0,12.7,109,103,14.3,0.582,0.21,0.354,3.8,23.2,13.8,32.5,2.2,3.6,31.9,14.3,0.8,2.8,3.6,0.131,-1.4,4.6,3.2,1.8
2022-23,32.0,GSW,NBA,PF,66,66,2074,5.1,9.7,0.528,0.8,2.7,0.311,4.3,7.0,0.612,1.6,2.3,0.707,1.3,9.6,10.9,10.2,1.5,1.2,4.0,4.6,12.7,115,113,12.4,0.593,0.278,0.231,3.0,22.2,12.8,27.8,1.5,2.3,27.0,13.1,1.7,2.6,4.3,0.1,-1.6,2.5,1.0,1.5
Career,,,NBA,,751,601,21586,5.4,12.0,0.448,1.4,4.3,0.315,4.0,7.7,0.523,2.5,3.5,0.711,1.8,9.9,11.7,9.4,2.3,1.7,3.8,4.8,14.6,109,103,14.6,0.539,0.359,0.288,4.2,21.5,13.2,25.5,2.3,2.8,21.8,15.5,19.1,37.9,57.0,0.127,-0.4,2.9,2.5,24.6
