Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2005-06,22.0,BOS,NBA,PF,14.0,0.0,87.0,2.4,6.0,0.4,0.0,0.0,,2.4,6.0,0.4,3.6,7.8,0.462,6.0,12.6,18.6,1.2,0.6,1.8,1.8,8.4,8.4,103.0,104.0,9.2,0.445,0.0,1.3,14.4,28.7,21.7,3.3,0.6,2.6,16.0,9.9,0.0,0.1,0.1,0.081,-3.8,-1.0,-4.8,-0.1
2006-07,23.0,CLE,NBA,PF,4.0,0.0,18.0,0.0,2.9,0.0,0.0,0.0,,0.0,2.9,0.0,8.8,17.6,0.5,2.9,14.7,17.6,0.0,0.0,0.0,5.9,8.8,8.8,64.0,101.0,-0.5,0.412,0.0,6.0,6.3,33.1,19.4,0.0,0.0,0.0,35.5,14.2,-0.1,0.0,0.0,-0.068,-10.8,-1.7,-12.5,0.0
2007-08,24.0,CLE,NBA,PF,56.0,0.0,472.0,2.8,5.3,0.532,0.0,0.1,0.0,2.8,5.2,0.543,3.2,6.5,0.483,7.8,8.0,15.8,1.1,1.1,2.8,1.9,9.9,8.8,116.0,104.0,11.1,0.538,0.021,1.234,16.2,17.7,16.9,3.1,1.1,4.2,19.0,8.6,0.5,0.7,1.2,0.121,-3.7,0.1,-3.6,-0.2
2008-09,25.0,CHA,NBA,PF,6.0,0.0,52.0,4.2,7.3,0.571,0.0,0.0,,4.2,7.3,0.571,4.2,6.3,0.667,6.3,6.3,12.5,0.0,0.0,1.0,4.2,6.3,12.5,102.0,110.0,8.0,0.622,0.0,0.857,14.4,14.2,14.3,0.0,0.0,1.6,29.3,12.4,0.0,0.0,0.1,0.051,-3.9,-1.8,-5.7,0.0
2009-10,26.0,PHO,NBA,PF,2.0,0.0,7.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,14.4,14.4,0.0,0.0,0.0,0.0,7.2,0.0,,108.0,1.4,,,,0.0,30.5,16.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.045,-5.1,0.6,-4.4,0.0
Career,,,NBA,,82.0,0.0,636.0,2.8,5.4,0.508,0.0,0.1,0.0,2.8,5.3,0.516,3.4,6.9,0.494,7.2,8.8,16.0,1.0,0.9,2.4,2.2,9.4,8.9,111.0,105.0,10.1,0.527,0.015,1.277,15.3,19.5,17.4,2.7,0.9,3.6,20.4,9.2,0.5,0.9,1.4,0.104,-4.0,-0.2,-4.2,-0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,CLE,NBA,,60.0,0.0,490.0,2.7,5.2,0.521,0.0,0.1,0.0,2.7,5.1,0.532,3.4,7.0,0.484,7.6,8.3,15.9,1.1,1.1,2.7,2.1,9.9,8.8,114.0,104.0,10.7,0.532,0.021,1.333,15.8,18.3,17.0,3.0,1.1,4.0,20.0,8.8,0.5,0.7,1.2,0.114,-4.0,0.1,-3.9,-0.2
1 season,,BOS,NBA,,14.0,0.0,87.0,2.4,6.0,0.4,0.0,0.0,,2.4,6.0,0.4,3.6,7.8,0.462,6.0,12.6,18.6,1.2,0.6,1.8,1.8,8.4,8.4,103.0,104.0,9.2,0.445,0.0,1.3,14.4,28.7,21.7,3.3,0.6,2.6,16.0,9.9,0.0,0.1,0.1,0.081,-3.8,-1.0,-4.8,-0.1
1 season,,CHA,NBA,,6.0,0.0,52.0,4.2,7.3,0.571,0.0,0.0,,4.2,7.3,0.571,4.2,6.3,0.667,6.3,6.3,12.5,0.0,0.0,1.0,4.2,6.3,12.5,102.0,110.0,8.0,0.622,0.0,0.857,14.4,14.2,14.3,0.0,0.0,1.6,29.3,12.4,0.0,0.0,0.1,0.051,-3.9,-1.8,-5.7,0.0
1 season,,PHO,NBA,,2.0,0.0,7.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,14.4,14.4,0.0,0.0,0.0,0.0,7.2,0.0,,108.0,1.4,,,,0.0,30.5,16.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.045,-5.1,0.6,-4.4,0.0
