Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1999-00,20.0,CHI,NBA,PF,81.0,80.0,2999.0,11.3,23.4,0.482,0.0,0.0,0.0,11.3,23.3,0.483,6.6,9.6,0.685,6.2,8.3,14.5,2.8,1.2,2.4,4.1,4.6,29.1,104.0,103.0,20.6,0.528,0.002,0.41,13.3,18.4,15.8,11.8,1.2,3.3,12.9,27.0,4.2,3.3,7.5,0.121,2.2,-0.9,1.3,2.5
2000-01,21.0,CHI,NBA,PF,74.0,74.0,2906.0,10.7,22.5,0.476,0.0,0.0,0.0,10.7,22.4,0.477,6.2,8.7,0.708,5.3,8.5,13.8,4.4,1.3,2.2,4.0,4.5,27.6,103.0,106.0,20.4,0.524,0.002,0.388,11.2,19.6,15.2,17.0,1.3,3.0,13.3,26.3,4.1,2.0,6.1,0.101,2.2,-1.2,1.1,2.2
2001-02,22.0,LAC,NBA,PF,80.0,80.0,3020.0,9.4,17.8,0.527,0.0,0.0,,9.4,17.8,0.527,6.9,9.2,0.742,7.0,9.3,16.3,3.4,1.4,2.9,3.1,4.5,25.6,120.0,103.0,23.6,0.586,0.0,0.519,15.0,19.6,17.3,11.0,1.4,3.7,12.2,21.1,9.9,3.7,13.6,0.216,3.9,0.4,4.3,4.8
2002-03,23.0,LAC,NBA,PF,62.0,61.0,2454.0,9.7,19.3,0.502,0.0,0.0,0.0,9.7,19.2,0.502,5.2,7.6,0.685,6.1,9.0,15.1,3.4,1.5,3.4,3.4,4.4,24.5,109.0,103.0,21.7,0.543,0.001,0.396,13.1,19.3,16.2,12.0,1.5,4.6,13.2,22.4,4.9,2.7,7.6,0.149,2.5,0.5,3.0,3.1
2003-04,24.0,LAC,NBA,PF,69.0,68.0,2670.0,9.6,19.4,0.493,0.0,0.0,0.0,9.6,19.4,0.493,8.1,10.5,0.773,5.3,8.8,14.1,4.5,1.3,3.0,3.8,4.5,27.3,114.0,106.0,23.2,0.567,0.001,0.542,11.4,19.1,15.2,16.0,1.3,4.2,13.7,23.4,7.9,1.8,9.7,0.174,4.0,0.0,4.0,4.0
2004-05,25.0,LAC,NBA,PF,81.0,81.0,3001.0,11.3,22.4,0.503,0.0,0.1,0.0,11.3,22.4,0.504,6.5,8.7,0.752,5.3,8.5,13.8,3.7,1.1,3.0,3.3,4.3,29.1,113.0,104.0,22.4,0.554,0.002,0.387,12.2,18.4,15.4,13.3,1.1,4.3,11.1,25.4,6.9,3.7,10.6,0.169,3.4,0.2,3.6,4.2
2005-06,26.0,LAC,NBA,PF,79.0,79.0,3099.0,12.8,24.2,0.527,0.0,0.1,0.333,12.7,24.2,0.527,7.4,9.6,0.775,4.0,9.4,13.3,3.5,1.4,3.4,2.9,3.8,33.0,116.0,100.0,26.5,0.58,0.002,0.396,9.3,19.9,14.8,13.1,1.4,4.9,9.3,27.7,9.3,5.5,14.8,0.229,5.1,1.6,6.7,6.8
2006-07,27.0,LAC,NBA,PF,80.0,80.0,3077.0,11.1,20.8,0.533,0.0,0.0,1.0,11.1,20.8,0.532,6.0,7.9,0.761,4.6,8.2,12.8,4.0,1.3,3.1,3.5,4.1,28.2,114.0,103.0,23.1,0.581,0.001,0.381,10.5,18.3,14.5,14.7,1.3,4.5,12.5,24.3,7.2,4.3,11.5,0.18,3.4,0.8,4.2,4.8
2007-08,28.0,LAC,NBA,PF,8.0,6.0,274.0,9.9,21.7,0.456,0.0,0.0,,9.9,21.7,0.456,7.0,8.9,0.787,4.0,8.2,12.2,3.0,0.6,2.9,3.2,4.0,26.8,104.0,108.0,18.0,0.523,0.0,0.412,8.8,18.2,13.5,11.2,0.6,4.1,11.2,25.5,0.2,0.3,0.5,0.08,0.3,-0.6,-0.3,0.1
2008-09,29.0,PHI,NBA,PF,29.0,23.0,920.0,9.5,21.2,0.447,0.0,0.0,,9.5,21.2,0.447,4.2,6.3,0.676,4.5,10.3,14.7,2.1,1.0,2.6,3.9,4.5,23.1,97.0,105.0,14.6,0.484,0.0,0.296,9.9,23.2,16.5,6.9,1.0,3.9,14.2,23.8,-0.4,1.3,0.9,0.047,-2.0,0.2,-1.9,0.0
