Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2001-02,23.0,WAS,NBA,C,47.0,0.0,618.0,7.1,13.3,0.536,0.0,0.0,7.1,13.3,0.536,3.6,6.5,0.554,4.8,11.1,15.9,0.5,1.5,3.1,2.3,6.7,17.8,109.0,101.0,15.7,0.553,0.0,0.49,10.2,24.0,17.0,1.6,1.5,4.2,12.4,15.6,0.8,0.9,1.6,0.127,-1.2,0.0,-1.2,0.1
2002-03,24.0,WAS,NBA,PF,38.0,0.0,513.0,6.5,13.2,0.492,0.0,0.0,6.5,13.2,0.492,6.4,10.0,0.638,7.4,10.1,17.5,0.3,0.8,2.4,3.5,7.0,19.3,107.0,102.0,15.8,0.55,0.0,0.758,16.1,22.0,19.0,1.0,0.8,3.4,16.6,18.2,0.7,0.6,1.3,0.125,-1.5,-1.5,-3.0,-0.1
2003-04,25.0,WAS,NBA,C,79.0,15.0,1901.0,7.0,14.4,0.489,0.0,0.0,7.0,14.4,0.489,5.2,8.1,0.647,5.0,9.4,14.5,1.9,1.0,3.4,3.1,6.0,19.3,106.0,102.0,16.4,0.538,0.0,0.561,10.5,20.9,15.6,6.4,1.0,4.7,14.7,17.9,2.5,2.1,4.5,0.115,-1.1,0.0,-1.1,0.4
2004-05,26.0,WAS,NBA,C,47.0,10.0,976.0,6.7,13.4,0.502,0.0,0.0,6.7,13.4,0.502,4.0,7.6,0.528,4.5,8.4,12.9,1.1,0.9,2.7,2.6,7.0,17.5,104.0,106.0,13.0,0.521,0.0,0.565,9.5,19.0,14.1,3.3,0.9,3.9,13.6,16.5,0.6,1.0,1.6,0.079,-3.0,-1.0,-4.0,-0.5
2005-06,27.0,WAS,NBA,C,71.0,9.0,1121.0,6.1,11.4,0.533,0.0,0.0,6.1,11.4,0.533,3.5,5.8,0.6,4.6,8.4,12.9,0.6,0.9,3.2,2.4,6.9,15.6,110.0,105.0,13.6,0.56,0.0,0.508,10.0,19.3,14.5,2.0,0.9,4.7,14.5,14.0,1.2,1.3,2.5,0.107,-1.8,0.0,-1.7,0.1
2006-07,28.0,WAS,NBA,C,65.0,32.0,1246.0,6.5,11.3,0.574,0.0,0.0,6.5,11.3,0.574,3.2,5.7,0.558,5.6,9.9,15.4,1.2,0.9,3.6,2.9,6.6,16.2,111.0,107.0,15.6,0.585,0.0,0.498,12.2,22.9,17.4,3.6,0.9,5.5,17.4,14.4,1.5,1.2,2.7,0.105,-1.1,-0.1,-1.2,0.3
2008-09,30.0,WAS,NBA,C,26.0,7.0,306.0,5.5,11.4,0.485,0.0,0.0,5.5,11.4,0.485,2.8,4.0,0.696,4.3,7.1,11.4,1.0,0.5,3.1,3.1,6.0,13.8,99.0,113.0,10.1,0.525,0.0,0.348,9.3,16.2,12.7,3.0,0.5,4.8,19.1,14.0,0.0,0.1,0.1,0.018,-4.2,-0.7,-4.9,-0.2
2009-10,31.0,OKC,NBA,C,23.0,1.0,321.0,5.0,10.9,0.456,0.0,0.0,5.0,10.9,0.456,2.1,3.5,0.591,2.9,7.4,10.3,0.2,0.6,2.6,2.9,6.3,12.0,89.0,105.0,6.9,0.483,0.0,0.324,6.6,16.0,11.4,0.5,0.6,3.7,18.8,13.4,-0.2,0.4,0.2,0.028,-5.3,0.3,-5.0,-0.2
2010-11,32.0,ATL,NBA,C,13.0,0.0,82.0,6.6,13.8,0.476,0.0,0.0,6.6,13.8,0.476,7.9,9.8,0.8,3.9,11.1,15.1,1.3,0.7,2.6,3.3,7.2,21.0,110.0,104.0,15.1,0.58,0.0,0.714,8.9,24.8,16.9,3.9,0.7,3.7,15.3,18.9,0.1,0.1,0.2,0.13,-1.9,0.3,-1.7,0.0
Career,,,NBA,,409.0,74.0,7084.0,6.6,12.8,0.513,0.0,0.0,6.6,12.8,0.513,4.1,6.8,0.603,5.0,9.2,14.2,1.1,0.9,3.1,2.8,6.5,17.2,107.0,105.0,14.5,0.546,0.0,0.536,10.7,20.7,15.6,3.5,0.9,4.5,15.2,15.9,7.1,7.7,14.9,0.101,-1.8,-0.3,-2.1,-0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,WAS,NBA,,373.0,73.0,6681.0,6.6,12.8,0.516,0.0,0.0,6.6,12.8,0.516,4.2,7.0,0.6,5.1,9.3,14.4,1.1,1.0,3.2,2.8,6.6,17.4,107.0,105.0,14.9,0.548,0.0,0.543,10.9,20.9,15.8,3.7,1.0,4.6,15.1,16.0,7.3,7.2,14.5,0.104,-1.7,-0.3,-2.0,0.0
1 season,,OKC,NBA,,23.0,1.0,321.0,5.0,10.9,0.456,0.0,0.0,5.0,10.9,0.456,2.1,3.5,0.591,2.9,7.4,10.3,0.2,0.6,2.6,2.9,6.3,12.0,89.0,105.0,6.9,0.483,0.0,0.324,6.6,16.0,11.4,0.5,0.6,3.7,18.8,13.4,-0.2,0.4,0.2,0.028,-5.3,0.3,-5.0,-0.2
1 season,,ATL,NBA,,13.0,0.0,82.0,6.6,13.8,0.476,0.0,0.0,6.6,13.8,0.476,7.9,9.8,0.8,3.9,11.1,15.1,1.3,0.7,2.6,3.3,7.2,21.0,110.0,104.0,15.1,0.58,0.0,0.714,8.9,24.8,16.9,3.9,0.7,3.7,15.3,18.9,0.1,0.1,0.2,0.13,-1.9,0.3,-1.7,0.0
