Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2010-11,22.0,PHI,NBA,SG,78.0,14.0,1797.0,6.6,15.4,0.425,0.4,1.3,0.318,6.1,14.1,0.435,2.9,3.6,0.808,1.2,7.7,8.9,4.6,1.4,0.4,2.3,4.0,16.5,99.0,106.0,10.8,0.484,0.083,0.236,2.7,16.9,9.8,13.4,1.4,0.6,12.0,17.0,0.0,2.2,2.3,0.06,-2.6,0.4,-2.2,-0.1
2011-12,23.0,PHI,NBA,SF,65.0,20.0,1713.0,8.2,18.4,0.446,0.3,1.5,0.224,7.9,16.9,0.466,2.3,3.4,0.676,0.8,10.9,11.7,5.6,1.2,0.6,3.3,3.7,19.1,93.0,99.0,12.6,0.478,0.083,0.183,1.7,22.8,12.2,16.9,1.2,0.9,14.1,20.3,-0.6,3.0,2.4,0.068,-2.2,1.0,-1.3,0.3
2012-13,24.0,PHI,NBA,SF,82.0,82.0,2892.0,8.0,19.2,0.419,1.1,2.9,0.365,7.0,16.3,0.428,2.8,3.8,0.74,1.0,8.4,9.4,6.5,1.3,0.3,3.4,3.6,20.0,95.0,106.0,12.1,0.478,0.151,0.198,2.1,18.5,10.1,19.7,1.3,0.5,14.0,21.2,-0.7,2.9,2.1,0.035,-2.2,-0.2,-2.3,-0.3
2013-14,25.0,TOT,NBA,SF,81.0,56.0,2457.0,8.7,20.4,0.425,1.0,3.1,0.321,7.7,17.3,0.444,4.3,5.2,0.813,1.2,6.9,8.2,5.2,1.3,0.1,3.8,3.9,22.6,97.0,109.0,12.4,0.498,0.153,0.257,2.7,15.7,9.0,17.8,1.3,0.2,14.3,23.2,-0.5,1.8,1.4,0.027,-2.1,-1.2,-3.3,-0.8
2013-14,25.0,PHI,NBA,SF,54.0,54.0,1886.0,9.1,21.3,0.428,1.0,3.4,0.288,8.2,17.9,0.455,4.9,5.9,0.829,1.3,7.0,8.3,5.1,1.4,0.1,4.0,3.8,24.1,97.0,111.0,13.2,0.504,0.159,0.274,2.8,16.2,9.2,17.7,1.4,0.2,14.3,24.4,-0.2,0.9,0.7,0.017,-1.9,-1.6,-3.5,-0.7
2013-14,25.0,IND,NBA,SF,27.0,2.0,571.0,7.1,17.3,0.411,1.1,2.2,0.5,6.0,15.1,0.398,2.2,3.1,0.706,1.1,6.7,7.8,5.8,1.0,0.2,3.1,4.4,17.5,95.0,102.0,9.7,0.468,0.126,0.179,2.5,13.9,8.5,18.4,1.0,0.3,14.2,19.1,-0.2,0.9,0.7,0.059,-2.8,0.2,-2.6,-0.1
2014-15,26.0,BOS,NBA,SG,82.0,57.0,2260.0,7.1,16.5,0.429,0.7,2.6,0.277,6.4,13.9,0.458,2.3,3.1,0.752,0.9,8.4,9.2,9.9,1.8,0.4,4.4,4.0,17.3,96.0,104.0,12.8,0.482,0.16,0.189,1.9,18.5,10.1,30.0,1.8,0.7,19.7,19.5,-0.3,2.8,2.5,0.054,-1.8,0.8,-1.0,0.6
2015-16,27.0,BOS,NBA,SG,81.0,12.0,2271.0,7.4,16.2,0.456,0.4,1.8,0.241,6.9,14.4,0.482,3.2,3.8,0.827,1.1,7.4,8.5,7.7,1.7,0.6,3.6,3.0,18.3,102.0,104.0,13.6,0.513,0.11,0.238,2.3,16.5,9.3,23.9,1.7,1.0,16.9,18.8,1.0,3.0,4.0,0.085,-0.9,0.9,0.0,1.1
2016-17,28.0,POR,NBA,SF,65.0,12.0,1658.0,7.0,16.5,0.426,0.9,3.5,0.263,6.1,13.0,0.47,2.5,3.1,0.825,1.1,6.3,7.4,6.1,1.6,0.7,3.0,3.6,17.5,100.0,111.0,11.4,0.491,0.214,0.187,2.4,14.2,8.3,18.4,1.6,1.2,14.3,18.5,0.0,1.2,1.2,0.035,-2.3,-0.1,-2.5,-0.2
2017-18,29.0,POR,NBA,SF,79.0,40.0,2034.0,6.3,14.1,0.447,1.0,3.2,0.318,5.3,10.9,0.485,2.2,2.6,0.85,0.7,5.2,6.0,4.2,1.1,0.7,2.4,4.0,15.9,103.0,109.0,9.9,0.52,0.229,0.185,1.6,11.4,6.5,12.4,1.1,1.2,13.7,15.6,0.5,2.1,2.6,0.061,-2.9,0.4,-2.5,-0.3
