Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2003-04,27.0,DEN,NBA,C,62.0,14.0,875.0,5.5,11.7,0.472,0.0,0.1,0.0,5.5,11.6,0.475,1.8,2.6,0.667,3.8,8.1,11.9,1.9,2.1,2.3,2.1,8.5,12.8,103.0,100.0,11.2,0.498,0.005,0.226,8.3,18.1,13.1,5.6,2.1,3.1,13.8,12.7,0.6,1.2,1.8,0.097,-3.2,1.4,-1.8,0.0
2004-05,28.0,DEN,NBA,C,67.0,11.0,939.0,5.5,11.8,0.468,0.1,0.2,0.333,5.5,11.6,0.469,2.5,4.3,0.57,3.3,7.7,11.0,1.9,1.9,2.2,2.2,7.1,13.6,100.0,102.0,10.7,0.494,0.014,0.366,7.5,17.1,12.3,5.5,1.9,3.3,13.8,13.8,0.2,1.4,1.6,0.081,-3.6,1.0,-2.5,-0.1
2005-06,29.0,DEN,NBA,C,72.0,54.0,1579.0,4.9,9.2,0.532,0.0,0.2,0.2,4.9,9.0,0.538,1.6,2.4,0.662,3.2,7.8,11.0,1.5,1.7,1.5,2.1,6.8,11.4,105.0,104.0,10.1,0.556,0.018,0.261,7.4,17.6,12.5,4.4,1.7,2.1,17.0,10.8,0.8,2.0,2.9,0.087,-3.2,1.0,-2.2,-0.1
2006-07,30.0,SAS,NBA,C,70.0,41.0,1332.0,5.8,11.3,0.511,0.0,0.1,0.0,5.8,11.2,0.514,2.5,3.2,0.775,3.3,10.2,13.5,2.2,1.2,2.4,3.5,7.4,14.1,100.0,97.0,11.2,0.552,0.007,0.284,7.7,22.2,15.2,6.4,1.2,3.3,21.3,14.4,0.2,2.9,3.1,0.111,-3.7,2.1,-1.6,0.1
2007-08,31.0,TOT,NBA,C,63.0,5.0,813.0,5.9,15.3,0.39,0.0,0.1,0.0,5.9,15.2,0.391,1.7,2.4,0.703,3.2,9.7,12.9,1.6,1.0,1.3,3.0,6.2,13.6,83.0,104.0,6.9,0.416,0.004,0.157,7.1,21.0,14.2,4.6,1.0,1.8,15.7,17.0,-1.3,1.2,0.0,-0.001,-6.3,0.0,-6.3,-0.9
2007-08,31.0,SAS,NBA,C,41.0,3.0,534.0,6.3,15.0,0.419,0.0,0.0,,6.3,15.0,0.419,2.0,2.4,0.833,3.3,10.3,13.7,1.6,0.9,1.4,3.0,6.3,14.6,89.0,100.0,8.5,0.454,0.0,0.162,7.4,22.2,14.9,4.8,0.9,2.0,15.9,16.9,-0.5,1.0,0.5,0.043,-5.5,0.5,-4.9,-0.4
2007-08,31.0,SEA,NBA,C,22.0,2.0,279.0,5.4,15.7,0.341,0.0,0.2,0.0,5.4,15.5,0.345,1.1,2.3,0.462,3.0,8.6,11.6,1.4,1.1,1.1,3.0,6.1,11.8,73.0,109.0,3.8,0.352,0.011,0.148,6.7,18.7,12.7,4.2,1.1,1.5,15.4,17.2,-0.7,0.2,-0.5,-0.085,-7.9,-1.0,-8.9,-0.5
2008-09,32.0,MIL,NBA,C,59.0,23.0,977.0,4.4,9.0,0.491,0.1,0.2,0.25,4.4,8.8,0.497,1.8,2.1,0.846,5.3,6.8,12.2,1.7,1.9,1.9,2.5,7.6,10.6,107.0,106.0,10.3,0.537,0.024,0.231,11.6,16.3,13.8,4.8,1.9,3.1,20.5,10.8,0.5,1.3,1.8,0.089,-3.3,1.0,-2.2,-0.1
2009-10,33.0,TOT,NBA,C,12.0,0.0,66.0,4.0,11.9,0.333,0.0,0.0,,4.0,11.9,0.333,1.6,4.0,0.4,4.8,6.3,11.1,1.6,0.8,0.0,0.8,5.6,9.5,90.0,107.0,5.5,0.349,0.0,0.333,10.0,14.5,12.1,4.3,0.8,0.0,5.5,12.5,0.0,0.1,0.0,0.022,-4.7,-1.5,-6.2,-0.1
2009-10,33.0,MIL,NBA,C,11.0,0.0,62.0,3.4,11.0,0.308,0.0,0.0,,3.4,11.0,0.308,1.7,1.7,1.0,4.2,6.8,11.0,1.7,0.8,0.0,0.8,5.9,8.4,94.0,106.0,5.4,0.36,0.0,0.154,8.7,15.4,11.9,4.6,0.8,0.0,6.7,10.9,0.0,0.1,0.1,0.044,-4.9,-0.9,-5.7,-0.1
2009-10,33.0,PHI,NBA,C,1.0,0.0,4.0,13.1,26.2,0.5,0.0,0.0,,13.1,26.2,0.5,0.0,39.3,0.0,13.1,0.0,13.1,0.0,0.0,0.0,0.0,0.0,26.2,71.0,120.0,6.3,0.301,0.0,1.5,29.0,0.0,14.7,0.0,0.0,0.0,0.0,37.8,0.0,0.0,0.0,-0.326,-2.6,-11.5,-14.0,0.0
2010-11,34.0,UTA,NBA,C,62.0,1.0,610.0,4.7,9.8,0.478,0.0,0.0,,4.7,9.8,0.478,2.2,2.7,0.839,3.0,6.9,9.9,2.9,1.8,1.2,2.8,7.3,11.6,101.0,109.0,8.9,0.529,0.0,0.274,6.9,16.0,11.4,7.9,1.8,1.9,20.2,11.9,0.1,0.5,0.6,0.046,-3.8,0.3,-3.5,-0.2
2011-12,35.0,PHI,NBA,C,5.0,0.0,16.0,3.3,10.0,0.333,0.0,0.0,,3.3,10.0,0.333,0.0,0.0,,0.0,3.3,3.3,3.3,3.3,3.3,3.3,0.0,6.7,61.0,96.0,6.3,0.333,0.0,0.0,0.0,7.0,3.5,8.8,3.3,4.7,25.0,11.7,0.0,0.0,0.0,-0.026,-5.1,2.7,-2.5,0.0
Career,,,NBA,,472.0,149.0,7207.0,5.2,10.9,0.478,0.0,0.1,0.188,5.2,10.8,0.481,2.0,2.8,0.7,3.6,8.2,11.8,1.9,1.6,1.8,2.6,7.2,12.5,100.0,103.0,10.0,0.511,0.011,0.257,8.1,18.5,13.3,5.4,1.6,2.7,17.4,12.9,1.0,10.7,11.7,0.078,-3.8,1.1,-2.7,-1.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,DEN,NBA,,201.0,79.0,3393.0,5.2,10.6,0.495,0.0,0.1,0.222,5.2,10.4,0.499,1.9,3.0,0.626,3.4,7.8,11.2,1.7,1.9,1.9,2.1,7.3,12.4,103.0,103.0,10.5,0.52,0.013,0.283,7.7,17.6,12.6,5.0,1.9,2.7,15.1,12.1,1.5,4.7,6.2,0.088,-3.3,1.1,-2.2,-0.2
