Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2009-10,23.0,TOT,NBA,SG,27.0,4.0,334.0,6.8,15.7,0.436,2.0,5.7,0.351,4.8,9.9,0.484,5.4,7.8,0.7,0.9,3.9,4.8,3.3,2.0,0.9,4.2,6.5,21.1,99.0,107.0,10.5,0.553,0.366,0.495,2.1,8.8,5.4,9.6,2.0,1.3,18.0,20.3,0.0,0.4,0.4,0.057,-3.4,0.4,-2.9,-0.1
2009-10,23.0,HOU,NBA,SG,9.0,0.0,118.0,5.6,12.5,0.448,1.3,5.2,0.25,4.3,7.4,0.588,6.9,10.4,0.667,0.9,5.2,6.1,3.0,1.7,1.7,6.1,6.9,19.5,91.0,107.0,8.6,0.569,0.414,0.828,1.9,12.1,6.8,8.9,1.7,2.5,26.1,20.1,-0.1,0.1,0.0,0.004,-5.2,-0.3,-5.5,-0.1
2009-10,23.0,SAC,NBA,SG,5.0,0.0,23.0,6.7,17.8,0.375,0.0,4.4,0.0,6.7,13.3,0.5,11.1,11.1,1.0,2.2,4.4,6.7,4.4,2.2,0.0,4.4,2.2,24.4,106.0,111.0,15.4,0.539,0.25,0.625,4.9,10.1,7.5,13.2,2.2,0.0,16.4,23.5,0.0,0.0,0.0,0.078,0.0,0.5,0.5,0.0
2009-10,23.0,SAS,NBA,SG,13.0,4.0,193.0,7.6,17.4,0.438,2.7,6.2,0.435,4.9,11.1,0.439,3.8,5.7,0.667,0.8,3.0,3.8,3.3,2.2,0.5,3.0,6.8,21.7,104.0,106.0,11.1,0.546,0.359,0.328,1.9,6.6,4.3,9.5,2.2,0.7,13.1,20.0,0.1,0.2,0.3,0.086,-2.7,0.9,-1.8,0.0
2010-11,24.0,TOT,NBA,"PG,SG",24.0,0.0,230.0,4.6,15.8,0.294,2.3,8.6,0.27,2.3,7.2,0.323,1.6,3.9,0.412,0.2,5.1,5.3,7.4,2.6,1.4,5.3,5.6,13.2,73.0,104.0,4.7,0.378,0.544,0.25,0.5,11.6,6.0,21.9,2.6,2.1,23.4,20.1,-0.7,0.3,-0.4,-0.085,-6.2,-0.2,-6.4,-0.3
2010-11,24.0,SAS,NBA,SG,3.0,0.0,21.0,2.5,12.4,0.2,0.0,2.5,0.0,2.5,9.9,0.25,0.0,5.0,0.0,2.5,2.5,5.0,5.0,2.5,2.5,2.5,5.0,5.0,55.0,105.0,0.6,0.17,0.2,0.4,5.7,5.4,5.5,12.7,2.5,3.4,14.5,15.1,-0.1,0.0,-0.1,-0.135,-6.2,0.8,-5.4,0.0
2010-11,24.0,MIL,NBA,SG,9.0,0.0,83.0,4.5,13.5,0.333,1.9,6.4,0.3,2.6,7.1,0.364,0.0,2.6,0.0,0.0,3.9,3.9,3.9,0.6,0.6,1.3,5.2,11.0,81.0,107.0,3.1,0.373,0.476,0.19,0.0,8.6,4.2,11.6,0.6,0.9,8.1,14.0,-0.1,0.1,0.0,-0.019,-6.4,0.0,-6.4,-0.1
2010-11,24.0,CHA,NBA,PG,12.0,0.0,126.0,5.1,17.8,0.286,3.0,11.0,0.269,2.1,6.8,0.313,3.0,4.7,0.636,0.0,6.4,6.4,10.2,3.8,1.7,8.5,5.9,16.1,73.0,102.0,6.4,0.406,0.619,0.262,0.0,14.5,7.2,30.2,3.8,2.6,29.9,24.9,-0.5,0.2,-0.3,-0.119,-6.2,-0.4,-6.6,-0.1
2012-13,26.0,WAS,NBA,SG,51.0,36.0,1156.0,4.7,11.6,0.407,1.2,3.6,0.325,3.6,8.0,0.444,1.2,1.7,0.703,1.3,4.2,5.5,5.2,2.3,0.8,2.7,4.2,11.8,94.0,104.0,8.8,0.478,0.31,0.143,2.8,9.1,5.9,15.5,2.3,1.2,18.2,13.2,-0.3,1.5,1.2,0.049,-3.8,1.5,-2.3,-0.1
2013-14,27.0,WAS,NBA,SG,75.0,0.0,638.0,4.1,11.4,0.362,0.5,2.3,0.207,3.6,9.0,0.402,2.4,3.5,0.698,1.7,3.8,5.5,5.8,2.8,0.9,3.4,5.8,11.1,89.0,104.0,7.8,0.431,0.206,0.305,3.8,8.7,6.2,15.8,2.8,1.4,20.8,14.3,-0.5,0.9,0.3,0.025,-4.8,1.8,-3.0,-0.2
2014-15,28.0,WAS,NBA,SG,52.0,18.0,735.0,4.7,11.9,0.4,2.3,6.1,0.375,2.4,5.7,0.427,2.4,3.3,0.729,1.7,4.6,6.3,3.9,2.9,0.6,2.4,5.3,14.2,104.0,102.0,10.9,0.534,0.518,0.282,3.8,9.9,6.9,11.0,2.9,1.0,15.1,13.9,0.4,1.1,1.5,0.1,-2.0,2.6,0.6,0.5
2015-16,29.0,WAS,NBA,SF,80.0,43.0,1951.0,5.0,12.6,0.398,2.2,6.4,0.345,2.8,6.2,0.453,2.3,3.1,0.728,0.9,4.4,5.3,3.5,1.7,0.4,1.6,4.9,14.5,104.0,108.0,9.3,0.52,0.511,0.248,2.0,10.3,6.1,10.0,1.7,0.7,10.3,14.0,1.0,1.7,2.7,0.066,-2.5,0.4,-2.1,0.0
2016-17,30.0,SAC,NBA,SG,65.0,21.0,1728.0,5.4,12.6,0.424,2.4,6.4,0.373,3.0,6.2,0.476,1.7,2.2,0.784,0.9,4.5,5.4,4.9,2.5,0.8,2.3,4.1,14.8,106.0,111.0,11.2,0.545,0.509,0.171,2.2,10.1,6.2,14.4,2.5,1.5,14.4,14.2,0.9,1.3,2.2,0.061,-1.5,0.8,-0.8,0.5
2017-18,31.0,SAC,NBA,SG,65.0,35.0,1615.0,6.2,14.9,0.418,2.8,7.1,0.392,3.4,7.8,0.442,1.9,2.4,0.769,0.7,4.1,4.8,3.9,1.8,0.8,2.5,4.2,17.1,102.0,112.0,10.2,0.536,0.477,0.164,1.5,9.6,5.4,11.3,1.8,1.6,13.4,16.4,0.3,0.9,1.2,0.035,-2.2,-0.3,-2.5,-0.2
2018-19,32.0,TOT,NBA,SG,75.0,55.0,2040.0,5.0,11.9,0.422,2.2,6.3,0.341,2.8,5.5,0.515,1.9,2.6,0.748,0.7,4.5,5.2,2.5,1.8,0.7,1.7,4.9,14.1,103.0,111.0,8.5,0.543,0.535,0.217,1.5,10.2,5.8,7.4,1.8,1.4,11.5,13.2,0.3,2.0,2.2,0.052,-3.3,0.5,-2.8,-0.4
2018-19,32.0,MEM,NBA,SG,49.0,49.0,1530.0,5.4,12.6,0.429,2.4,6.8,0.352,3.0,5.7,0.52,1.9,2.5,0.75,0.6,4.4,4.9,2.2,1.6,0.8,1.8,4.4,15.0,103.0,111.0,8.6,0.551,0.543,0.196,1.3,10.0,5.6,6.7,1.6,1.5,11.4,13.9,0.1,1.5,1.6,0.05,-3.1,0.4,-2.7,-0.3
2018-19,32.0,LAC,NBA,SG,26.0,6.0,510.0,3.9,9.8,0.396,1.5,5.0,0.296,2.4,4.8,0.5,2.1,2.9,0.742,0.9,5.0,5.9,3.4,2.4,0.5,1.5,6.5,11.4,106.0,111.0,8.0,0.514,0.509,0.292,2.1,10.9,6.7,9.4,2.4,0.8,11.8,11.2,0.2,0.5,0.6,0.061,-4.1,1.0,-3.1,-0.1
2019-20,33.0,BRK,NBA,SG,62.0,35.0,1730.0,6.1,16.1,0.378,3.5,10.6,0.329,2.6,5.5,0.473,1.9,2.4,0.805,0.8,5.2,6.0,4.3,1.3,0.8,1.7,3.0,17.5,106.0,111.0,10.5,0.513,0.658,0.148,1.8,11.1,6.5,12.8,1.3,1.4,9.0,16.6,0.7,1.7,2.4,0.066,-1.4,0.3,-1.1,0.4
2020-21,34.0,CHI,NBA,SG,56.0,25.0,1528.0,5.0,12.1,0.415,2.1,6.3,0.335,2.9,5.7,0.503,1.3,1.6,0.8,0.9,4.2,5.1,3.9,1.4,1.0,1.8,4.0,13.4,105.0,113.0,8.2,0.525,0.525,0.131,2.1,9.4,5.8,10.5,1.4,1.7,12.6,13.1,0.2,1.4,1.6,0.05,-3.3,0.3,-3.1,-0.4
2021-22,35.0,NOP,NBA,SG,59.0,16.0,1098.0,5.0,13.3,0.376,2.7,8.3,0.319,2.3,4.9,0.473,1.3,1.8,0.683,1.3,5.1,6.4,3.3,1.9,1.0,1.9,3.6,13.9,101.0,113.0,8.6,0.494,0.627,0.139,2.9,11.8,7.2,9.2,1.9,2.0,11.8,13.9,-0.1,1.0,0.8,0.037,-2.8,0.3,-2.5,-0.1
2022-23,36.0,NOP,NBA,SG,23.0,0.0,152.0,5.1,13.4,0.381,3.2,7.6,0.417,1.9,5.7,0.333,1.0,1.3,0.75,1.3,3.2,4.5,3.8,2.9,0.3,1.3,4.5,14.3,110.0,113.0,9.5,0.514,0.571,0.095,3.0,7.5,5.2,10.3,2.9,0.6,8.4,13.4,0.1,0.2,0.2,0.077,-3.4,1.4,-2.0,0.0
Career,,,NBA,,714.0,288.0,14935.0,5.3,13.1,0.402,2.3,6.8,0.344,2.9,6.4,0.462,1.9,2.5,0.74,1.0,4.5,5.4,4.0,1.9,0.8,2.1,4.4,14.7,102.0,110.0,9.4,0.518,0.515,0.193,2.2,10.1,6.1,11.5,1.9,1.4,13.1,14.5,2.1,14.4,16.4,0.053,-2.7,0.6,-2.1,-0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,WAS,NBA,,258.0,97.0,4480.0,4.8,12.1,0.396,1.7,5.1,0.338,3.0,7.0,0.438,2.0,2.8,0.719,1.2,4.3,5.5,4.3,2.2,0.6,2.3,4.9,13.3,99.0,105.0,9.2,0.5,0.424,0.236,2.7,9.7,6.2,12.4,2.2,1.0,14.5,13.8,0.6,5.1,5.7,0.062,-3.1,1.3,-1.8,0.2
3 seasons,,SAC,NBA,,135.0,56.0,3366.0,5.8,13.8,0.42,2.6,6.7,0.381,3.2,7.0,0.458,1.8,2.4,0.783,0.8,4.3,5.1,4.4,2.1,0.8,2.4,4.2,16.0,104.0,112.0,10.8,0.54,0.49,0.171,1.9,9.8,5.8,12.9,2.1,1.5,13.9,15.3,1.2,2.3,3.4,0.049,-1.8,0.3,-1.6,0.4
2 seasons,,NOP,NBA,,82.0,16.0,1250.0,5.0,13.3,0.377,2.7,8.2,0.33,2.3,5.0,0.453,1.2,1.8,0.689,1.3,4.9,6.2,3.4,2.0,0.9,1.8,3.7,13.9,103.0,113.0,8.7,0.496,0.62,0.134,2.9,11.2,7.0,9.3,2.0,1.9,11.4,13.8,-0.1,1.2,1.1,0.042,-2.9,0.4,-2.5,-0.1
1 season,,BRK,NBA,,62.0,35.0,1730.0,6.1,16.1,0.378,3.5,10.6,0.329,2.6,5.5,0.473,1.9,2.4,0.805,0.8,5.2,6.0,4.3,1.3,0.8,1.7,3.0,17.5,106.0,111.0,10.5,0.513,0.658,0.148,1.8,11.1,6.5,12.8,1.3,1.4,9.0,16.6,0.7,1.7,2.4,0.066,-1.4,0.3,-1.1,0.4
1 season,,CHI,NBA,,56.0,25.0,1528.0,5.0,12.1,0.415,2.1,6.3,0.335,2.9,5.7,0.503,1.3,1.6,0.8,0.9,4.2,5.1,3.9,1.4,1.0,1.8,4.0,13.4,105.0,113.0,8.2,0.525,0.525,0.131,2.1,9.4,5.8,10.5,1.4,1.7,12.6,13.1,0.2,1.4,1.6,0.05,-3.3,0.3,-3.1,-0.4
