Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2019-20,23.0,WAS,NBA,SG,18.0,0.0,227.0,4.9,11.5,0.429,3.9,9.5,0.413,1.0,2.1,0.5,6.4,7.0,0.912,1.2,3.7,4.9,2.1,1.6,0.2,1.6,6.6,20.2,133.0,118.0,13.1,0.691,0.821,0.607,2.8,9.0,5.8,5.8,1.6,0.4,10.1,14.5,0.6,0.1,0.6,0.131,-0.6,-0.5,-1.1,0.1
2020-21,24.0,WAS,NBA,SG,64.0,24.0,1038.0,4.3,10.5,0.409,3.4,8.8,0.384,0.9,1.7,0.538,3.7,4.2,0.884,0.7,3.2,3.9,1.2,1.3,0.3,0.4,4.7,15.7,130.0,116.0,9.7,0.635,0.835,0.401,1.6,7.2,4.4,3.1,1.3,0.6,3.5,11.5,1.7,0.6,2.3,0.108,-1.7,-0.1,-1.8,0.1
2021-22,25.0,HOU,NBA,SG,65.0,33.0,1712.0,5.1,12.8,0.399,3.9,10.7,0.36,1.3,2.1,0.6,4.0,5.0,0.794,0.9,4.4,5.3,1.8,1.6,0.7,1.1,4.7,18.1,120.0,118.0,11.0,0.602,0.837,0.39,2.0,10.2,6.1,5.3,1.6,1.3,7.1,14.4,2.2,0.5,2.8,0.078,-1.3,-1.0,-2.3,-0.1
2022-23,26.0,TOT,NBA,SG,51.0,0.0,654.0,5.0,13.8,0.366,4.4,12.4,0.353,0.7,1.4,0.474,3.2,3.6,0.896,0.7,4.4,5.1,1.9,1.8,0.3,1.4,4.4,17.6,118.0,121.0,9.5,0.575,0.898,0.258,1.7,10.0,5.8,5.2,1.8,0.6,8.4,14.4,0.6,0.2,0.9,0.063,-2.1,-0.2,-2.4,-0.1
2022-23,26.0,HOU,NBA,SG,45.0,0.0,602.0,4.8,13.7,0.353,4.3,12.5,0.342,0.6,1.2,0.467,3.3,3.6,0.911,0.8,4.2,5.0,1.9,1.9,0.3,1.4,4.5,17.2,117.0,121.0,9.1,0.564,0.912,0.265,1.8,9.6,5.7,5.2,1.9,0.7,8.7,14.3,0.5,0.2,0.7,0.057,-2.3,-0.2,-2.5,-0.1
2022-23,26.0,ATL,NBA,SG,6.0,0.0,52.0,7.3,14.7,0.5,5.5,11.0,0.5,1.8,3.7,0.5,1.8,2.8,0.667,0.0,6.4,6.4,1.8,0.9,0.0,0.9,3.7,22.0,133.0,119.0,13.4,0.693,0.75,0.188,0.0,14.9,7.4,5.0,0.9,0.0,5.5,14.8,0.1,0.0,0.1,0.126,0.1,-1.1,-1.0,0.0
Career,,,NBA,,198.0,57.0,3631.0,4.9,12.2,0.397,3.8,10.4,0.368,1.0,1.9,0.559,3.9,4.6,0.843,0.8,4.0,4.8,1.6,1.5,0.5,1.0,4.8,17.4,123.0,118.0,10.5,0.611,0.848,0.38,1.9,9.2,5.6,4.7,1.5,0.9,6.6,13.6,5.1,1.5,6.6,0.087,-1.5,-0.6,-2.1,-0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,HOU,NBA,,110.0,33.0,2314.0,5.0,13.0,0.387,4.0,11.2,0.355,1.1,1.9,0.578,3.8,4.6,0.818,0.9,4.3,5.2,1.8,1.7,0.6,1.2,4.6,17.9,119.0,119.0,10.5,0.592,0.857,0.357,2.0,10.0,6.0,5.2,1.7,1.1,7.5,14.4,2.7,0.7,3.5,0.072,-1.6,-0.8,-2.4,-0.2
2 seasons,,WAS,NBA,,82.0,24.0,1265.0,4.4,10.7,0.413,3.5,8.9,0.389,0.9,1.8,0.531,4.2,4.7,0.891,0.8,3.3,4.1,1.3,1.4,0.3,0.7,5.0,16.5,131.0,116.0,10.3,0.646,0.833,0.44,1.8,7.5,4.7,3.6,1.4,0.5,4.9,12.0,2.3,0.7,3.0,0.112,-1.5,-0.1,-1.6,0.1
1 season,,ATL,NBA,,6.0,0.0,52.0,7.3,14.7,0.5,5.5,11.0,0.5,1.8,3.7,0.5,1.8,2.8,0.667,0.0,6.4,6.4,1.8,0.9,0.0,0.9,3.7,22.0,133.0,119.0,13.4,0.693,0.75,0.188,0.0,14.9,7.4,5.0,0.9,0.0,5.5,14.8,0.1,0.0,0.1,0.126,0.1,-1.1,-1.0,0.0
