Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014-15,20.0,DEN,NBA,SG,55.0,6.0,719.0,4.6,15.1,0.304,1.5,7.2,0.204,3.1,7.9,0.395,2.4,3.3,0.745,1.5,3.0,4.4,2.0,2.7,0.5,2.6,4.9,13.1,81.0,109.0,4.9,0.395,0.475,0.217,3.0,6.7,4.8,5.9,2.7,0.8,13.8,16.6,-1.2,0.5,-0.7,-0.046,-5.6,0.3,-5.3,-0.6
2015-16,21.0,DEN,NBA,SG,76.0,76.0,2439.0,7.4,15.7,0.469,2.2,6.1,0.354,5.2,9.6,0.543,2.2,2.7,0.82,1.1,3.4,4.5,3.0,2.0,0.4,2.0,2.9,19.2,110.0,111.0,12.7,0.566,0.388,0.174,2.4,7.7,5.0,9.5,2.0,0.6,10.6,16.5,2.8,1.2,4.0,0.079,-0.6,-0.2,-0.9,0.7
2016-17,22.0,DEN,NBA,SG,57.0,56.0,1782.0,8.8,17.5,0.502,2.9,7.0,0.42,5.8,10.5,0.558,2.8,3.7,0.776,1.3,3.6,4.9,4.5,1.9,0.2,2.1,2.5,23.3,121.0,114.0,16.5,0.611,0.4,0.21,3.0,8.0,5.5,13.6,1.9,0.3,9.8,18.4,3.9,0.7,4.6,0.124,1.5,-0.9,0.7,1.2
2017-18,23.0,DEN,NBA,SG,67.0,65.0,2304.0,9.5,19.5,0.485,3.4,8.5,0.396,6.1,11.1,0.553,2.9,3.5,0.827,0.8,3.0,3.8,4.2,2.6,0.3,2.6,2.6,25.2,115.0,112.0,16.5,0.597,0.434,0.178,1.8,6.8,4.3,13.0,2.6,0.5,10.8,20.7,3.9,1.5,5.5,0.114,1.0,-0.2,0.8,1.7
2018-19,24.0,DEN,NBA,SG,57.0,48.0,1639.0,8.1,19.1,0.424,2.5,7.3,0.339,5.6,11.8,0.476,3.4,4.3,0.799,1.2,3.6,4.8,3.8,1.6,0.6,2.0,3.4,22.1,108.0,111.0,12.2,0.526,0.38,0.226,2.7,7.9,5.3,11.0,1.6,1.0,8.9,20.0,1.1,1.5,2.6,0.076,-1.2,-0.4,-1.6,0.2
2019-20,25.0,DEN,NBA,SG,56.0,55.0,1780.0,6.1,14.4,0.42,1.9,5.8,0.333,4.1,8.6,0.479,2.1,2.6,0.815,0.7,3.8,4.5,3.3,2.1,0.4,1.7,3.2,16.1,105.0,113.0,9.7,0.519,0.405,0.177,1.6,8.6,5.1,8.9,2.1,0.7,9.7,15.1,0.5,1.4,1.9,0.052,-2.8,0.3,-2.5,-0.2
2020-21,26.0,TOT,NBA,SG,39.0,38.0,1080.0,6.3,15.7,0.4,2.2,6.4,0.34,4.1,9.3,0.441,2.9,3.5,0.821,1.0,2.6,3.6,3.5,1.3,0.5,1.7,3.2,17.6,105.0,117.0,9.1,0.511,0.409,0.226,2.1,5.9,4.0,10.3,1.3,1.0,8.9,16.7,0.2,0.6,0.7,0.033,-2.8,-1.3,-4.2,-0.6
2020-21,26.0,DEN,NBA,SG,19.0,19.0,581.0,5.9,13.3,0.442,2.0,6.4,0.32,3.8,6.9,0.556,1.9,2.6,0.733,1.1,2.9,4.0,2.7,1.4,0.3,1.2,3.1,15.7,112.0,116.0,9.3,0.544,0.481,0.192,2.5,6.6,4.6,7.1,1.4,0.7,7.6,13.8,0.4,0.4,0.8,0.065,-2.2,-0.6,-2.8,-0.1
2020-21,26.0,ORL,NBA,SG,20.0,19.0,499.0,6.7,18.4,0.365,2.3,6.4,0.364,4.4,12.0,0.366,4.1,4.7,0.875,0.8,2.3,3.1,4.5,1.1,0.7,2.2,3.3,19.9,99.0,118.0,9.0,0.485,0.349,0.254,1.6,5.2,3.3,14.0,1.1,1.3,9.9,20.2,-0.2,0.2,0.0,-0.005,-3.6,-2.2,-5.8,-0.5
2021-22,27.0,ORL,NBA,SG,61.0,30.0,1730.0,6.7,15.5,0.434,3.2,8.4,0.384,3.5,7.0,0.494,2.3,2.7,0.874,1.0,2.4,3.4,3.0,1.6,0.3,1.7,3.1,19.0,110.0,116.0,10.9,0.571,0.546,0.172,2.2,5.3,3.7,9.5,1.6,0.5,9.3,16.4,1.1,1.0,2.2,0.06,-2.0,-0.4,-2.4,-0.2
