Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018-19,20.0,POR,NBA,SG,15.0,1.0,111.0,7.0,21.8,0.32,2.2,9.2,0.238,4.8,12.7,0.379,1.3,3.1,0.429,0.4,4.4,4.8,2.2,0.4,0.9,1.7,1.7,17.5,81.0,115.0,3.6,0.377,0.42,0.14,1.0,9.4,5.3,6.2,0.4,1.4,7.0,21.7,-0.3,0.1,-0.2,-0.092,-6.6,-4.2,-10.8,-0.2
2019-20,21.0,POR,NBA,SF,61.0,8.0,1332.0,7.0,15.8,0.444,4.0,9.6,0.418,3.0,6.2,0.486,1.3,1.6,0.822,0.9,2.7,3.6,2.2,1.7,0.6,0.8,3.2,19.4,121.0,117.0,12.9,0.587,0.608,0.102,2.0,5.8,3.9,6.3,1.7,1.0,4.4,15.3,2.2,0.3,2.5,0.089,0.5,-0.8,-0.3,0.6
2020-21,22.0,TOT,NBA,SG,58.0,38.0,1802.0,8.6,21.2,0.408,4.5,11.6,0.385,4.2,9.6,0.435,2.2,2.9,0.783,0.7,3.4,4.1,2.2,1.5,0.3,1.2,2.5,24.0,108.0,118.0,12.1,0.534,0.546,0.135,1.6,7.7,4.6,6.6,1.5,0.5,4.9,20.9,1.0,0.7,1.7,0.045,-0.5,-1.7,-2.3,-0.1
2020-21,22.0,POR,NBA,SG,41.0,23.0,1262.0,8.4,20.3,0.414,4.7,11.8,0.397,3.7,8.5,0.438,2.2,2.9,0.773,0.8,2.7,3.5,2.2,1.4,0.2,1.2,2.4,23.7,112.0,119.0,12.4,0.55,0.582,0.143,1.7,6.1,3.9,6.7,1.4,0.4,5.3,20.1,1.2,0.3,1.5,0.056,-0.1,-1.8,-1.9,0.0
2020-21,22.0,TOR,NBA,SG,17.0,15.0,540.0,9.2,23.4,0.395,3.9,11.1,0.355,5.3,12.3,0.431,2.2,2.8,0.806,0.5,4.9,5.5,2.0,1.7,0.4,1.1,2.6,24.6,100.0,115.0,11.3,0.501,0.475,0.119,1.2,11.6,6.2,6.4,1.7,0.7,4.2,22.9,-0.2,0.4,0.2,0.019,-1.6,-1.5,-3.1,-0.2
2021-22,23.0,TOR,NBA,SG,70.0,69.0,2448.0,9.2,22.2,0.414,4.3,11.1,0.383,4.9,11.0,0.445,3.6,4.2,0.853,0.5,3.4,3.9,2.9,2.5,0.4,1.5,2.9,26.2,114.0,112.0,14.7,0.546,0.502,0.188,1.1,7.7,4.2,8.8,2.5,0.8,5.8,21.8,3.1,2.5,5.6,0.11,-0.1,0.3,0.2,1.3
2022-23,24.0,TOR,NBA,SG,63.0,43.0,2054.0,9.5,21.8,0.434,3.9,10.5,0.371,5.6,11.3,0.494,4.0,4.8,0.838,0.7,3.3,4.0,2.4,2.5,0.3,1.3,2.4,26.8,116.0,116.0,15.1,0.561,0.482,0.218,1.5,8.2,4.6,7.3,2.5,0.7,5.1,21.7,2.5,1.9,4.4,0.102,0.2,0.0,0.2,1.1
Career,,,NBA,,267.0,159.0,7747.0,8.7,20.7,0.421,4.1,10.8,0.384,4.6,9.9,0.461,2.9,3.5,0.827,0.7,3.2,3.9,2.5,2.1,0.4,1.2,2.7,24.5,114.0,115.0,13.7,0.55,0.52,0.171,1.5,7.6,4.4,7.4,2.1,0.7,5.2,20.5,8.5,5.5,13.9,0.086,-0.1,-0.5,-0.6,2.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,TOR,NBA,,150.0,127.0,5042.0,9.3,22.1,0.42,4.1,10.9,0.375,5.2,11.3,0.463,3.6,4.3,0.843,0.6,3.5,4.1,2.6,2.4,0.4,1.4,2.7,26.3,113.0,114.0,14.5,0.547,0.491,0.192,1.3,8.3,4.6,7.9,2.4,0.7,5.3,21.9,5.4,4.8,10.2,0.097,-0.1,0.0,-0.1,2.3
3 seasons,,POR,NBA,,117.0,32.0,2705.0,7.6,18.1,0.423,4.2,10.6,0.401,3.4,7.5,0.454,1.7,2.3,0.772,0.8,2.8,3.6,2.2,1.5,0.4,1.0,2.8,21.3,114.0,118.0,12.3,0.557,0.585,0.125,1.8,6.1,3.9,6.5,1.5,0.8,5.0,17.8,3.1,0.6,3.7,0.066,0.0,-1.4,-1.5,0.4
